Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests Weight,Weighted Hit Rate,Average Miss Penalty,Average Penalty,Steps,Time
linked.Lfu,"40,58",491389.0,719478.0,1210867.0,719452.0,"100,00",11362803712.0,"19,96","0,00","0,00",1509402.0,465.0
linked.Lfu_ComparisonAdmittor,"41,37",500957.0,709910.0,1210867.0,709891.0,"20,44",11362803712.0,"18,02","0,00","0,00",1267107.0,484.0
linked.Lfu_TinyLfu,"48,55",587917.0,622950.0,1210867.0,622923.0,"0,02",11362803712.0,"18,27","0,00","0,00",1211314.0,1035.0
linked.Lfu_TinyLfuCostMulti,"35,01",423895.0,786972.0,1210867.0,786960.0,"8,06",11362803712.0,"14,32","0,00","0,00",1270640.0,976.0
linked.Lfu_TinyLfuEqCost,"34,85",421971.0,788896.0,1210867.0,788884.0,"6,77",11362803712.0,"13,92","0,00","0,00",1261867.0,1065.0
linked.Lru,"32,97",399255.0,811779.0,1211034.0,811598.0,"100,00",11403751424.0,"17,63","0,00","0,00",1575783.0,481.0
linked.Lru_ComparisonAdmittor,"24,30",294321.0,916713.0,1211034.0,916535.0,"23,18",11403751424.0,"11,07","0,00","0,00",1320517.0,540.0
linked.Lru_TinyLfu,"47,57",576125.0,634909.0,1211034.0,634719.0,"0,01",11403751424.0,"20,45","0,00","0,00",1211069.0,681.0
linked.Lru_TinyLfuCostMulti,"21,62",261818.0,949216.0,1211034.0,949035.0,"0,03",11403751424.0,"9,63","0,00","0,00",1211230.0,944.0
linked.Lru_TinyLfuEqCost,"19,75",239228.0,971806.0,1211034.0,971625.0,"0,04",11403751424.0,"8,34","0,00","0,00",1211354.0,930.0
