,Policy,Hit rate,Weighted hit rate,Percentage hit rate change,Percentage weighted hit rate change
59,heap.Boost,46.36,37.88,0.0,0.0
58,heap.Boost_Secondary,46.01,37.01,-0.75,-2.3
57,heap.Boost_TinyLfu,46.02,37.03,-0.73,-2.24
56,heap.Boost_TinyLfuBoost,46.02,37.03,-0.73,-2.24
55,heap.None,47.99,38.97,0.0,0.0
54,heap.None_Secondary,46.34,37.36,-3.44,-4.13
53,heap.None_TinyLfu,46.22,37.24,-3.69,-4.44
52,heap.None_TinyLfuBoost,46.22,37.24,-3.69,-4.44
51,heap.One,47.99,38.97,0.0,0.0
50,heap.One_Secondary,46.34,37.36,-3.44,-4.13
49,heap.One_TinyLfu,46.22,37.24,-3.69,-4.44
48,heap.One_TinyLfuBoost,46.22,37.24,-3.69,-4.44
47,heap.Skip,47.9,38.84,0.0,0.0
46,heap.Skip_Secondary,46.3,37.3,-3.34,-3.96
45,heap.Skip_TinyLfu,46.22,37.24,-3.51,-4.12
44,heap.Skip_TinyLfuBoost,46.22,37.24,-3.51,-4.12
43,linked.Clock,57.78,49.62,0.0,0.0
42,linked.Clock_Secondary,57.32,48.23,-0.8,-2.8
41,linked.Clock_TinyLfu,55.77,47.06,-3.48,-5.16
40,linked.Clock_TinyLfuBoost,55.64,46.93,-3.7,-5.42
39,linked.Fifo,57.31,49.52,0.0,0.0
38,linked.Fifo_Secondary,46.01,37.01,-19.72,-25.26
37,linked.Fifo_TinyLfu,46.01,37.01,-19.72,-25.26
36,linked.Fifo_TinyLfuBoost,46.01,37.01,-19.72,-25.26
35,linked.Lfu,58.45,49.76,0.0,0.0
34,linked.Lfu_Secondary,58.85,50.26,0.68,1.0
33,linked.Lfu_TinyLfu,56.39,47.95,-3.52,-3.64
32,linked.Lfu_TinyLfuBoost,56.34,47.91,-3.61,-3.72
31,linked.Lfucostboost,58.45,49.76,0.0,0.0
30,linked.Lfucostboost_Secondary,58.85,50.26,0.68,1.0
29,linked.Lfucostboost_TinyLfu,56.39,47.95,-3.52,-3.64
28,linked.Lfucostboost_TinyLfuBoost,56.34,47.91,-3.61,-3.72
27,linked.Lru,57.18,48.96,0.0,0.0
26,linked.Lru_Secondary,50.63,42.23,-11.46,-13.75
25,linked.Lru_TinyLfu,50.57,42.23,-11.56,-13.75
24,linked.Lru_TinyLfuBoost,50.57,42.23,-11.56,-13.75
23,product.Cache2k,59.0,50.51,0.0,0.0
22,product.Caffeine,60.47,52.57,0.0,0.0
21,product.ElasticSearch,57.18,48.96,0.0,0.0
20,product.Guava,57.18,48.95,0.0,0.0
19,sampled.Fifo,57.62,49.85,0.0,0.0
18,sampled.Fifo_Secondary,58.25,48.82,1.09,-2.07
17,sampled.Fifo_TinyLfu,55.81,47.19,-3.14,-5.34
16,sampled.Fifo_TinyLfuBoost,55.8,47.19,-3.16,-5.34
15,sampled.Hyperbolic,59.24,50.79,0.0,0.0
14,sampled.Hyperbolic_Secondary,58.31,48.82,-1.57,-3.88
13,sampled.Hyperbolic_TinyLfu,55.15,46.61,-6.9,-8.23
12,sampled.Hyperbolic_TinyLfuBoost,55.16,46.62,-6.89,-8.21
11,sampled.Lfu,59.22,50.75,0.0,0.0
10,sampled.Lfu_Secondary,58.28,48.8,-1.59,-3.84
9,sampled.Lfu_TinyLfu,55.18,46.63,-6.82,-8.12
8,sampled.Lfu_TinyLfuBoost,55.17,46.63,-6.84,-8.12
7,sampled.Lru,57.72,49.64,0.0,0.0
6,sampled.Lru_Secondary,59.19,49.87,2.55,0.46
5,sampled.Lru_TinyLfu,56.31,47.68,-2.44,-3.95
4,sampled.Lru_TinyLfuBoost,56.31,47.69,-2.44,-3.93
3,sampled.Random,57.75,49.72,0.0,0.0
2,sampled.Random_Secondary,57.43,47.79,-0.55,-3.88
1,sampled.Random_TinyLfu,54.32,45.64,-5.94,-8.21
0,sampled.Random_TinyLfuBoost,54.33,45.65,-5.92,-8.19
