Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuBoost,"36,56",451761,783872,1235633,771532,"7,54",5561702,"25,86","0,00","0,00",1235633,60829
sampled.Random_TinyLfu,"36,56",451761,783872,1235633,771532,"7,54",5561702,"25,86","0,00","0,00",1235633,54706
sampled.Random_Secondary,"37,34",461339,774294,1235633,760241,"10,50",5561702,"26,19","0,00","0,00",1235633,58216
sampled.Random,"41,99",518896,716737,1235633,706278,"100,00",5561702,"34,86","0,00","0,00",1235633,22849
sampled.Mru_TinyLfuBoost,"31,05",383608,852025,1235633,845981,"4,95",5561702,"17,41","0,00","0,00",8003481,43851
sampled.Mru_TinyLfu,"31,05",383608,852025,1235633,845981,"4,95",5561702,"17,41","0,00","0,00",8003481,42934
sampled.Mru_Secondary,"31,12",384486,851147,1235633,844908,"7,26",5561702,"15,65","0,00","0,00",7994897,45764
sampled.Mru,"28,52",352430,883203,1235633,876952,"100,00",5561702,"25,66","0,00","0,00",8251249,41436
sampled.Mfu_TinyLfuBoost,"33,42",413010,822623,1235633,805936,"2,50",5561702,"21,17","0,00","0,00",7683121,61670
sampled.Mfu_TinyLfu,"33,42",413010,822623,1235633,805936,"2,50",5561702,"21,17","0,00","0,00",7683121,68240
sampled.Mfu_Secondary,"34,88",430960,804673,1235633,783268,"4,79",5561702,"21,68","0,00","0,00",7501777,92719
sampled.Mfu,"35,74",441608,794025,1235633,783653,"100,00",5561702,"30,42","0,00","0,00",7504857,36515
sampled.Lru_TinyLfuBoost,"36,81",454862,780771,1235633,764344,"5,83",5561702,"26,13","0,00","0,00",7350385,78616
sampled.Lru_TinyLfu,"36,81",454862,780771,1235633,764344,"5,83",5561702,"26,13","0,00","0,00",7350385,70247
sampled.Lru_Secondary,"37,54",463874,771759,1235633,754001,"8,43",5561702,"26,35","0,00","0,00",7267641,76891
sampled.Lru,"45,45",561540,674093,1235633,663525,"100,00",5561702,"37,18","0,00","0,00",6543833,11221
sampled.Lfu_TinyLfuBoost,"36,36",449277,786356,1235633,777144,"7,90",5561702,"26,47","0,00","0,00",7452785,51721
sampled.Lfu_TinyLfu,"36,35",449187,786446,1235633,777218,"7,93",5561702,"26,47","0,00","0,00",7453377,46244
sampled.Lfu_Secondary,"36,97",456867,778766,1235633,768924,"10,94",5561702,"26,83","0,00","0,00",7387025,53875
sampled.Lfu,"44,04",544208,691425,1235633,682140,"100,00",5561702,"36,84","0,00","0,00",6692753,36760
sampled.Hyperbolic_TinyLfuBoost,"36,72",453766,781867,1235633,770571,"8,12",5561702,"26,81","0,00","0,00",7400201,56948
sampled.Hyperbolic_TinyLfu,"36,73",453806,781827,1235633,770545,"8,15",5561702,"26,82","0,00","0,00",7399993,49125
sampled.Hyperbolic_Secondary,"37,49",463181,772452,1235633,759927,"11,46",5561702,"27,27","0,00","0,00",7315049,59687
sampled.Hyperbolic,"45,40",560966,674667,1235633,663681,"100,00",5561702,"38,10","0,00","0,00",6545081,36354
sampled.Fifo_TinyLfuBoost,"35,95",444219,791414,1235633,772474,"3,59",5561702,"25,21","0,00","0,00",7415425,80102
sampled.Fifo_TinyLfu,"35,95",444219,791414,1235633,772474,"3,59",5561702,"25,21","0,00","0,00",7415425,83828
sampled.Fifo_Secondary,"36,58",452012,783621,1235633,762696,"5,53",5561702,"25,28","0,00","0,00",7337201,94031
sampled.Fifo,"43,06",532033,703600,1235633,693071,"100,00",5561702,"35,38","0,00","0,00",6780201,9804
product.Guava,"45,63",563836,671797,1235633,661207,"100,00",5561702,"37,28","0,00","0,00",,2070
product.ElasticSearch,"45,58",563246,672387,1235633,661783,"100,00",5561702,"37,26","0,00","0,00",,2515
product.Caffeine,"43,98",543490,692143,1235633,674373,"100,00",5561702,"34,50","0,00","0,00",,3929
product.Cache2k,"45,41",561148,674485,1235633,662334,"100,00",5561702,"38,38","0,00","0,00",,3892
linked.Mru_TinyLfuBoost,"19,17",236833,998800,1235633,994090,"0,58",5561702,"6,81","0,00","0,00",1239485,835
linked.Mru_TinyLfu,"19,17",236833,998800,1235633,994090,"0,58",5561702,"6,81","0,00","0,00",1239485,805
linked.Mru_Secondary,"18,29",226035,1009598,1235633,1004483,"0,93",5561702,"5,04","0,00","0,00",1242100,893
linked.Mru,"2,19",27084,1208549,1235633,1202347,"100,00",5561702,"2,60","0,00","0,00",1667902,654
linked.Mfu_TinyLfuBoost,"9,51",117462,1118171,1235633,1113873,"0,04",5561702,"4,70","0,00","0,00",1240158,1027
linked.Mfu_TinyLfu,"9,51",117462,1118171,1235633,1113873,"0,04",5561702,"4,70","0,00","0,00",1240158,1192
linked.Mfu_Secondary,"9,78",120788,1114845,1235633,1110507,"0,04",5561702,"5,17","0,00","0,00",1240196,899
linked.Mfu,"28,55",352753,882880,1235633,872870,"100,00",5561702,"23,77","0,00","0,00",1585200,647
linked.Lru_TinyLfuBoost,"33,32",411700,823933,1235633,809288,"1,72",5561702,"22,32","0,00","0,00",1240424,942
linked.Lru_TinyLfu,"33,32",411700,823933,1235633,809288,"1,72",5561702,"22,32","0,00","0,00",1240424,1141
linked.Lru_Secondary,"33,91",419035,816598,1235633,801955,"2,37",5561702,"22,90","0,00","0,00",1242445,863
linked.Lru,"45,58",563246,672387,1235633,661783,"100,00",5561702,"37,26","0,00","0,00",1458623,568
linked.Lfucostboost_TinyLfuBoost,"32,98",407495,828138,1235633,820597,"1,78",5561702,"23,45","0,00","0,00",1249838,1139
linked.Lfucostboost_TinyLfu,"32,98",407495,828138,1235633,820597,"1,78",5561702,"23,45","0,00","0,00",1249838,874
linked.Lfucostboost_Secondary,"32,59",402649,832984,1235633,825228,"2,19",5561702,"22,91","0,00","0,00",1251844,772
linked.Lfucostboost,"34,10",421292,814341,1235633,807267,"100,00",5561702,"26,74","0,00","0,00",1481894,645
linked.Lfu_TinyLfuBoost,"32,98",407495,828138,1235633,820597,"1,78",5561702,"23,45","0,00","0,00",1249838,861
linked.Lfu_TinyLfu,"32,98",407495,828138,1235633,820597,"1,78",5561702,"23,45","0,00","0,00",1249838,1102
linked.Lfu_Secondary,"32,59",402649,832984,1235633,825228,"2,19",5561702,"22,91","0,00","0,00",1251844,879
linked.Lfu,"34,10",421292,814341,1235633,807267,"100,00",5561702,"26,74","0,00","0,00",1481894,1194
linked.Fifo_TinyLfuBoost,"12,05",148845,1086788,1235633,1079932,"0,15",5561702,"8,10","0,00","0,00",1235955,979
linked.Fifo_TinyLfu,"12,05",148845,1086788,1235633,1079932,"0,15",5561702,"8,10","0,00","0,00",1235955,1281
linked.Fifo_Secondary,"11,84",146355,1089278,1235633,1082522,"0,15",5561702,"7,94","0,00","0,00",1235922,1216
linked.Fifo,"43,16",533343,702290,1235633,691554,"100,00",5561702,"35,48","0,00","0,00",1480498,602
linked.Clock_TinyLfuBoost,"34,22",422799,812834,1235633,798903,"1,58",5561702,"24,53","0,00","0,00",1253988,709
linked.Clock_TinyLfu,"34,22",422799,812834,1235633,798903,"1,58",5561702,"24,53","0,00","0,00",1253988,927
linked.Clock_Secondary,"35,81",442482,793151,1235633,778097,"2,59",5561702,"26,06","0,00","0,00",1261439,776
linked.Clock,"46,06",569189,666444,1235633,655743,"100,00",5561702,"37,83","0,00","0,00",1635740,766
heap.Skip_TinyLfuBoost,"5,92",73176,1162457,1235633,1158404,"0,00",5561702,"3,63","0,00","0,00",1235633,26097
heap.Skip_TinyLfu,"5,92",73176,1162457,1235633,1158404,"0,00",5561702,"3,63","0,00","0,00",1235633,25034
heap.Skip_Secondary,"6,46",79833,1155800,1235633,1151730,"0,01",5561702,"3,81","0,00","0,00",1235633,22308
heap.Skip,"26,20",323687,911946,1235633,904469,"100,00",5561702,"12,67","0,00","0,00",1235633,4608
heap.One_TinyLfuBoost,"5,92",73176,1162457,1235633,1158404,"0,00",5561702,"3,63","0,00","0,00",1235633,24566
heap.One_TinyLfu,"5,92",73176,1162457,1235633,1158404,"0,00",5561702,"3,63","0,00","0,00",1235633,24484
heap.One_Secondary,"6,46",79833,1155800,1235633,1151730,"0,01",5561702,"3,81","0,00","0,00",1235633,23167
heap.One,"24,11",297915,937718,1235633,930615,"100,00",5561702,"11,41","0,00","0,00",1235633,1724
heap.None_TinyLfuBoost,"5,92",73176,1162457,1235633,1158404,"0,00",5561702,"3,63","0,00","0,00",1235633,24391
heap.None_TinyLfu,"5,92",73176,1162457,1235633,1158404,"0,00",5561702,"3,63","0,00","0,00",1235633,21113
heap.None_Secondary,"6,46",79833,1155800,1235633,1151730,"0,01",5561702,"3,81","0,00","0,00",1235633,25155
heap.None,"24,11",297915,937718,1235633,930615,"100,00",5561702,"11,41","0,00","0,00",1235633,698
heap.Boost_TinyLfuBoost,"5,84",72166,1163467,1235633,1159410,"0,00",5561702,"3,57","0,00","0,00",1235633,32085
heap.Boost_TinyLfu,"5,84",72166,1163467,1235633,1159410,"0,00",5561702,"3,57","0,00","0,00",1235633,24990
heap.Boost_Secondary,"6,31",77913,1157720,1235633,1153666,"0,01",5561702,"3,70","0,00","0,00",1235633,30270
heap.Boost,"16,90",208780,1026853,1235633,1020014,"100,00",5561702,"9,07","0,00","0,00",1235633,8230
