Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuBoost,"78,86",2402312,643800,3046112,613024,"12,14",13882741,"70,99","0,00","0,00",3046112,134290
sampled.Random_TinyLfu,"78,86",2402312,643800,3046112,613024,"12,14",13882741,"70,99","0,00","0,00",3046112,129117
sampled.Random_Secondary,"79,44",2419814,626298,3046112,592832,"15,04",13882741,"70,25","0,00","0,00",3046112,133547
sampled.Random,"74,86",2280277,765835,3046112,750782,"100,00",13882741,"70,75","0,00","0,00",3046112,58755
sampled.Lru_TinyLfuBoost,"79,13",2410390,635722,3046112,604525,"11,09",13882741,"71,59","0,00","0,00",7882312,118082
sampled.Lru_TinyLfu,"79,13",2410390,635722,3046112,604525,"11,09",13882741,"71,59","0,00","0,00",7882312,122694
sampled.Lru_Secondary,"79,80",2430710,615402,3046112,581748,"13,75",13882741,"71,64","0,00","0,00",7700096,135602
sampled.Lru,"78,61",2394551,651561,3046112,636229,"100,00",13882741,"74,99","0,00","0,00",8135944,32519
sampled.Lfu_TinyLfuBoost,"78,22",2382677,663435,3046112,639839,"14,35",13882741,"72,65","0,00","0,00",8164824,94944
sampled.Lfu_TinyLfu,"78,22",2382677,663435,3046112,639839,"14,35",13882741,"72,65","0,00","0,00",8164824,101804
sampled.Lfu_Secondary,"78,86",2402047,644065,3046112,618550,"18,10",13882741,"72,98","0,00","0,00",7994512,120381
sampled.Lfu,"79,83",2431659,614453,3046112,595199,"100,00",13882741,"76,01","0,00","0,00",7807704,76421
sampled.Hyperbolic_TinyLfuBoost,"78,35",2386724,659388,3046112,634986,"14,18",13882741,"72,66","0,00","0,00",8126000,104422
sampled.Hyperbolic_TinyLfu,"78,35",2386724,659388,3046112,634986,"14,18",13882741,"72,66","0,00","0,00",8126000,106675
sampled.Hyperbolic_Secondary,"79,08",2408905,637207,3046112,610052,"18,19",13882741,"73,02","0,00","0,00",7926528,109802
sampled.Hyperbolic,"79,38",2417858,628254,3046112,610683,"100,00",13882741,"75,61","0,00","0,00",7931576,73523
sampled.Fifo_TinyLfuBoost,"76,51",2330619,715493,3046112,676204,"4,13",13882741,"67,55","0,00","0,00",8455744,138769
sampled.Fifo_TinyLfu,"76,51",2330619,715493,3046112,676204,"4,13",13882741,"67,55","0,00","0,00",8455744,167733
sampled.Fifo_Secondary,"76,47",2329253,716859,3046112,671524,"6,50",13882741,"62,06","0,00","0,00",8418304,196212
sampled.Fifo,"75,42",2297311,748801,3046112,733687,"100,00",13882741,"71,37","0,00","0,00",8915608,18241
product.Guava,"78,75",2398867,647245,3046112,631617,"100,00",13882741,"75,18","0,00","0,00",,4208
