Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuMulti,"48,51",587446,623588,1211034,623394,"0,01",11403751424,"18,16","0,00","0,00",1211034,651
sampled.Random_TinyLfuBoost,"46,12",558498,652536,1211034,652347,"0,01",11403751424,"19,98","0,00","0,00",1211034,764
sampled.Random_TinyLfu,"48,51",587446,623588,1211034,623394,"0,01",11403751424,"18,16","0,00","0,00",1211034,668
sampled.Random_Threshold15,"28,77",348377,862657,1211034,862468,"100,00",11403751424,"15,02","0,00","0,00",1211034,794
sampled.Random_Secondary,"28,77",348377,862657,1211034,862468,"100,00",11403751424,"15,02","0,00","0,00",1211034,805
sampled.Random_Comparison,"26,55",321536,889498,1211034,889309,"100,00",11403751424,"11,54","0,00","0,00",1211034,626
sampled.Random,"28,77",348377,862657,1211034,862468,"100,00",11403751424,"15,02","0,00","0,00",1211034,659
sampled.Mru_TinyLfuMulti,"40,85",494712,716322,1211034,716125,"0,02",11403751424,"14,80","0,00","0,00",6940034,1268
sampled.Mru_TinyLfuBoost,"45,04",545506,665528,1211034,665331,"0,01",11403751424,"16,62","0,00","0,00",6533682,1393
sampled.Mru_TinyLfu,"40,85",494712,716322,1211034,716125,"0,02",11403751424,"14,80","0,00","0,00",6940034,1435
sampled.Mru_Threshold15,"17,86",216312,994722,1211034,994538,"100,00",11403751424,"8,32","0,00","0,00",9167338,1601
sampled.Mru_Secondary,"17,86",216312,994722,1211034,994538,"100,00",11403751424,"8,32","0,00","0,00",9167338,2223
sampled.Mru_Comparison,"26,55",321536,889498,1211034,889309,"100,00",11403751424,"11,54","0,00","0,00",8325506,1552
sampled.Mru,"17,86",216312,994722,1211034,994538,"100,00",11403751424,"8,32","0,00","0,00",9167338,1904
sampled.Mfu_TinyLfuMulti,"47,00",569201,641833,1211034,641636,"0,00",11403751424,"19,11","0,00","0,00",6344122,1599
sampled.Mfu_TinyLfuBoost,"44,87",543448,667586,1211034,667388,"0,01",11403751424,"17,55","0,00","0,00",6550138,1366
sampled.Mfu_TinyLfu,"47,00",569201,641833,1211034,641636,"0,00",11403751424,"19,11","0,00","0,00",6344122,1242
sampled.Mfu_Threshold15,"25,57",309706,901328,1211034,901149,"100,00",11403751424,"13,76","0,00","0,00",8420226,1310
sampled.Mfu_Secondary,"25,57",309706,901328,1211034,901149,"100,00",11403751424,"13,76","0,00","0,00",8420226,1616
sampled.Mfu_Comparison,"26,55",321536,889498,1211034,889309,"100,00",11403751424,"11,54","0,00","0,00",8325506,1431
sampled.Mfu,"25,57",309706,901328,1211034,901149,"100,00",11403751424,"13,76","0,00","0,00",8420226,2019
sampled.Lru_TinyLfuMulti,"48,41",586282,624752,1211034,624561,"0,01",11403751424,"20,45","0,00","0,00",6207522,1610
sampled.Lru_TinyLfuBoost,"39,84",482491,728543,1211034,728358,"0,01",11403751424,"18,73","0,00","0,00",7037898,1406
sampled.Lru_TinyLfu,"48,41",586282,624752,1211034,624561,"0,01",11403751424,"20,45","0,00","0,00",6207522,1216
sampled.Lru_Threshold15,"32,74",396468,814566,1211034,814385,"100,00",11403751424,"17,53","0,00","0,00",7726114,1228
sampled.Lru_Secondary,"32,74",396468,814566,1211034,814385,"100,00",11403751424,"17,53","0,00","0,00",7726114,1421
sampled.Lru_Comparison,"26,55",321536,889498,1211034,889309,"100,00",11403751424,"11,54","0,00","0,00",8325506,1431
sampled.Lru,"32,74",396468,814566,1211034,814385,"100,00",11403751424,"17,53","0,00","0,00",7726114,1970
sampled.Lfu_TinyLfuMulti,"45,54",551560,659474,1211034,659285,"0,01",11403751424,"19,62","0,00","0,00",6485314,1129
sampled.Lfu_TinyLfuBoost,"39,50",478397,732637,1211034,732452,"0,01",11403751424,"18,49","0,00","0,00",7070650,1553
sampled.Lfu_TinyLfu,"45,54",551560,659474,1211034,659285,"0,01",11403751424,"19,62","0,00","0,00",6485314,1349
sampled.Lfu_Threshold15,"41,99",508555,702479,1211034,702292,"100,00",11403751424,"20,71","0,00","0,00",6829370,1181
sampled.Lfu_Secondary,"41,99",508555,702479,1211034,702292,"100,00",11403751424,"20,71","0,00","0,00",6829370,1273
sampled.Lfu_Comparison,"26,55",321536,889498,1211034,889309,"100,00",11403751424,"11,54","0,00","0,00",8325506,1421
sampled.Lfu,"41,99",508555,702479,1211034,702292,"100,00",11403751424,"20,71","0,00","0,00",6829370,1205
sampled.Hyperbolic_TinyLfuMulti,"45,54",551558,659476,1211034,659287,"0,01",11403751424,"19,62","0,00","0,00",6485330,1926
sampled.Hyperbolic_TinyLfuBoost,"38,00",460199,750835,1211034,750651,"0,01",11403751424,"17,96","0,00","0,00",7216242,2230
sampled.Hyperbolic_TinyLfu,"45,54",551558,659476,1211034,659287,"0,01",11403751424,"19,62","0,00","0,00",6485330,1242
sampled.Hyperbolic_Threshold15,"35,91",434867,776167,1211034,775981,"100,00",11403751424,"18,10","0,00","0,00",7418882,1823
sampled.Hyperbolic_Secondary,"35,91",434867,776167,1211034,775981,"100,00",11403751424,"18,10","0,00","0,00",7418882,1577
sampled.Hyperbolic_Comparison,"26,55",321536,889498,1211034,889309,"100,00",11403751424,"11,54","0,00","0,00",8325506,1627
sampled.Hyperbolic,"35,91",434867,776167,1211034,775981,"100,00",11403751424,"18,10","0,00","0,00",7418882,1493
sampled.Fifo_TinyLfuMulti,"47,11",570522,640512,1211034,640317,"0,00",11403751424,"17,68","0,00","0,00",6333570,1172
sampled.Fifo_TinyLfuBoost,"41,63",504207,706827,1211034,706637,"0,01",11403751424,"18,23","0,00","0,00",6864130,1388
sampled.Fifo_TinyLfu,"47,11",570522,640512,1211034,640317,"0,00",11403751424,"17,68","0,00","0,00",6333570,1486
sampled.Fifo_Threshold15,"28,32",343015,868019,1211034,867837,"100,00",11403751424,"15,62","0,00","0,00",8153730,1900
sampled.Fifo_Secondary,"28,32",343015,868019,1211034,867837,"100,00",11403751424,"15,62","0,00","0,00",8153730,2074
sampled.Fifo_Comparison,"26,55",321536,889498,1211034,889309,"100,00",11403751424,"11,54","0,00","0,00",8325506,1851
sampled.Fifo,"28,32",343015,868019,1211034,867837,"100,00",11403751424,"15,62","0,00","0,00",8153730,1442
product.Guava,"37,60",455337,755697,1211034,755680,"100,00",11403751424,"19,16","0,00","0,00",,1845
product.ElasticSearch,"32,96",399214,811820,1211034,811806,"100,00",11403751424,"17,63","0,00","0,00",,2823
product.Caffeine,"47,20",571590,639444,1211034,639418,"100,00",11403751424,"21,08","0,00","0,00",,3883
product.Cache2k,"44,25",535827,675207,1211034,675187,"100,00",11403751424,"22,91","0,00","0,00",,3958
