Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests Weight,Weighted Hit Rate,Average Miss Penalty,Average Penalty,Steps,Time
product.Cache2k,"1,54",25256,1612455,1637711,1612439,"100,00",95253342720,"0,11","0,00","0,00",,8425
product.Caffeine,"1,49",24369,1613342,1637711,1613316,"100,00",95253342720,"0,10","0,00","0,00",,6142
sampled.Lfu_TinyLfuBoost,"1,47",24120,1611549,1635669,1611522,"0,02",94971726336,"0,10","0,00","0,00",14529887,3559
sampled.Lfu_TinyLfu,"1,47",24120,1611549,1635669,1611522,"0,02",94971726336,"0,10","0,00","0,00",14529887,3844
sampled.Lfu_TinyLfuMulti,"1,47",24120,1611549,1635669,1611522,"0,02",94971726336,"0,10","0,00","0,00",14529887,3515
sampled.Hyperbolic_TinyLfuMulti,"1,47",24119,1611550,1635669,1611523,"0,02",94971726336,"0,10","0,00","0,00",14529895,4214
sampled.Hyperbolic_TinyLfu,"1,47",24119,1611550,1635669,1611523,"0,02",94971726336,"0,10","0,00","0,00",14529895,3948
sampled.Hyperbolic_TinyLfuBoost,"1,47",24119,1611550,1635669,1611523,"0,02",94971726336,"0,10","0,00","0,00",14529895,4578
sampled.Random_TinyLfuBoost,"1,47",24079,1611590,1635669,1611563,"0,02",94971726336,"0,10","0,00","0,00",1637711,1590
sampled.Random_TinyLfu,"1,47",24079,1611590,1635669,1611563,"0,02",94971726336,"0,10","0,00","0,00",1637711,1745
sampled.Random_TinyLfuMulti,"1,47",24079,1611590,1635669,1611563,"0,02",94971726336,"0,10","0,00","0,00",1637711,1863
sampled.Lru_TinyLfu,"1,47",24027,1611642,1635669,1611615,"0,01",94971726336,"0,10","0,00","0,00",14530631,4049
sampled.Lru_TinyLfuMulti,"1,47",24027,1611642,1635669,1611615,"0,01",94971726336,"0,10","0,00","0,00",14530631,3667
sampled.Lru_TinyLfuBoost,"1,47",24027,1611642,1635669,1611615,"0,01",94971726336,"0,10","0,00","0,00",14530631,3880
linked.Clock_Secondary,"1,46",23869,1613842,1637711,1611765,"0,01",95253342720,"0,10","0,00","0,00",1638055,1498
sampled.Mru_TinyLfuBoost,"1,46",23825,1611844,1635669,1611819,"0,01",94971726336,"0,10","0,00","0,00",14532263,3145
sampled.Mru_TinyLfuMulti,"1,46",23825,1611844,1635669,1611819,"0,01",94971726336,"0,10","0,00","0,00",14532263,3547
sampled.Mru_TinyLfu,"1,46",23825,1611844,1635669,1611819,"0,01",94971726336,"0,10","0,00","0,00",14532263,3229
linked.Lfucostboost_Secondary,"1,46",23847,1613864,1637711,1611794,"0,02",95253342720,"0,10","0,00","0,00",1639997,1712
linked.Lfu_Secondary,"1,45",23824,1613887,1637711,1611817,"0,02",95253342720,"0,10","0,00","0,00",1640034,1561
linked.Lfu_TinyLfu,"1,45",23789,1613922,1637711,1611853,"0,02",95253342720,"0,10","0,00","0,00",1639972,2036
linked.Lfucostboost_TinyLfu,"1,45",23789,1613922,1637711,1611853,"0,02",95253342720,"0,10","0,00","0,00",1639972,1695
linked.Lru_Secondary,"1,45",23788,1613923,1637711,1611846,"0,01",95253342720,"0,10","0,00","0,00",1637772,1397
heap.None_Threshold15,"1,45",23759,1613952,1637711,1611886,"85,41",95253342720,"0,10","0,00","0,00",1639753,1897
heap.One_Threshold15,"1,45",23759,1613952,1637711,1611886,"85,41",95253342720,"0,10","0,00","0,00",1639753,1997
heap.Boost_Threshold15,"1,45",23735,1613976,1637711,1611911,"85,37",95253342720,"0,10","0,00","0,00",1639753,1758
heap.One,"1,45",23720,1613991,1637711,1611934,"100,00",95253342720,"0,10","0,00","0,00",1639753,1305
heap.None,"1,45",23720,1613991,1637711,1611934,"100,00",95253342720,"0,10","0,00","0,00",1639753,1124
heap.Boost,"1,44",23658,1614053,1637711,1611988,"100,00",95253342720,"0,10","0,00","0,00",1639753,994
sampled.Fifo_TinyLfu,"1,44",23602,1612067,1635669,1612040,"0,01",94971726336,"0,10","0,00","0,00",14534031,5045
sampled.Fifo_TinyLfuMulti,"1,44",23602,1612067,1635669,1612040,"0,01",94971726336,"0,10","0,00","0,00",14534031,3954
sampled.Fifo_TinyLfuBoost,"1,44",23602,1612067,1635669,1612040,"0,01",94971726336,"0,10","0,00","0,00",14534031,3891
linked.Clock_TinyLfu,"1,44",23504,1614207,1637711,1612135,"0,01",95253342720,"0,10","0,00","0,00",1638042,1533
linked.Lru_TinyLfu,"1,43",23478,1614233,1637711,1612159,"0,01",95253342720,"0,10","0,00","0,00",1637754,1260
sampled.Mfu_TinyLfu,"1,43",23388,1612281,1635669,1612252,"0,00",94971726336,"0,10","0,00","0,00",14535727,4322
sampled.Mfu_TinyLfuMulti,"1,43",23388,1612281,1635669,1612252,"0,00",94971726336,"0,10","0,00","0,00",14535727,3989
sampled.Mfu_TinyLfuBoost,"1,43",23388,1612281,1635669,1612252,"0,00",94971726336,"0,10","0,00","0,00",14535727,4140
linked.Lfu_TinyLfuBoost,"1,42",23288,1614423,1637711,1612369,"0,14",95253342720,"0,10","0,00","0,00",1641815,2406
linked.Lfucostboost_TinyLfuBoost,"1,42",23279,1614432,1637711,1612378,"0,14",95253342720,"0,10","0,00","0,00",1641850,2656
linked.Clock_TinyLfuBoost,"1,40",22941,1614770,1637711,1612712,"0,02",95253342720,"0,10","0,00","0,00",1638299,1710
heap.Boost_Comparison,"1,39",22776,1614935,1637711,1612881,"48,14",95253342720,"0,10","0,00","0,00",1639753,1313
heap.None_Comparison,"1,39",22765,1614946,1637711,1612889,"48,41",95253342720,"0,10","0,00","0,00",1639753,1163
heap.One_Comparison,"1,39",22765,1614946,1637711,1612889,"48,41",95253342720,"0,10","0,00","0,00",1639753,1566
heap.Skip_Threshold15,"1,38",22555,1615156,1637711,1613099,"85,37",95253342720,"0,10","0,00","0,00",1639753,1561
heap.Skip,"1,36",22297,1615414,1637711,1613349,"100,00",95253342720,"0,09","0,00","0,00",1639753,1278
linked.Lfu_Comparison,"1,36",22285,1615426,1637711,1613372,"46,13",95253342720,"0,09","0,00","0,00",1659468,1004
linked.Lfucostboost_Comparison,"1,36",22284,1615427,1637711,1613373,"46,13",95253342720,"0,09","0,00","0,00",1659461,768
linked.Lfucostboost_TinyLfuMulti,"1,36",22198,1615513,1637711,1613458,"0,25",95253342720,"0,10","0,00","0,00",1643003,1932
