Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests Weight,Weighted hit rate,Average Miss Penalty,Average Penalty,Steps,Time
linked.Fifo_Secondary,"35,34",4424828,8094140,12518968,8093438,"0,00",61035634176,"13,13","0,00","0,00",12519021,10254
sampled.Fifo_TinyLfu,"32,71",4094890,8424076,12518966,8423536,"0,01",61033537024,"20,91","0,00","0,00",79907256,43218
sampled.Fifo_TinyLfuBoost,"32,71",4094890,8424076,12518966,8423536,"0,01",61033537024,"20,91","0,00","0,00",79907256,45952
sampled.Fifo_TinyLfuMulti,"32,71",4094890,8424076,12518966,8423536,"0,01",61033537024,"20,91","0,00","0,00",79907256,44046
linked.Lru_Secondary,"32,15",4024377,8494591,12518968,8494061,"0,01",61035634176,"22,78","0,00","0,00",12519287,10431
linked.Clock_Secondary,"31,02",3883556,8635412,12518968,8634879,"0,01",61035634176,"22,22","0,00","0,00",12548991,10110
sampled.Random_TinyLfuMulti,"27,05",3385884,9133082,12518966,9132705,"0,02",61033537024,"21,39","0,00","0,00",12518968,27592
sampled.Random_TinyLfu,"27,05",3385884,9133082,12518966,9132705,"0,02",61033537024,"21,39","0,00","0,00",12518968,27120
sampled.Random_TinyLfuBoost,"27,05",3385884,9133082,12518966,9132705,"0,02",61033537024,"21,39","0,00","0,00",12518968,27412
sampled.Lfu_TinyLfuBoost,"25,90",3242662,9276304,12518966,9275957,"0,02",61033537024,"21,64","0,00","0,00",86726624,38204
sampled.Lfu_TinyLfuMulti,"25,90",3242662,9276304,12518966,9275957,"0,02",61033537024,"21,64","0,00","0,00",86726624,37010
sampled.Lfu_TinyLfu,"25,90",3242662,9276304,12518966,9275957,"0,02",61033537024,"21,64","0,00","0,00",86726624,37005
linked.Clock_TinyLfu,"25,68",3214392,9304576,12518968,9304227,"0,01",61035634176,"21,59","0,00","0,00",12522064,11728
sampled.Lru_TinyLfu,"25,63",3209155,9309811,12518966,9309464,"0,01",61033537024,"21,58","0,00","0,00",86994680,35852
sampled.Lru_TinyLfuBoost,"25,63",3209155,9309811,12518966,9309464,"0,01",61033537024,"21,58","0,00","0,00",86994680,37241
sampled.Lru_TinyLfuMulti,"25,63",3209155,9309811,12518966,9309464,"0,01",61033537024,"21,58","0,00","0,00",86994680,40255
sampled.Hyperbolic_TinyLfuMulti,"25,63",3208903,9310063,12518966,9309716,"0,02",61033537024,"21,58","0,00","0,00",86996696,38185
sampled.Hyperbolic_TinyLfu,"25,63",3208903,9310063,12518966,9309716,"0,02",61033537024,"21,58","0,00","0,00",86996696,37762
sampled.Hyperbolic_TinyLfuBoost,"25,63",3208903,9310063,12518966,9309716,"0,02",61033537024,"21,58","0,00","0,00",86996696,38811
linked.Lfu_TinyLfu,"25,48",3190209,9328759,12518968,9328421,"0,01",61035634176,"21,58","0,00","0,00",12519569,12480
linked.Lru_TinyLfu,"25,44",3184390,9334578,12518968,9334232,"0,01",61035634176,"21,55","0,00","0,00",12519173,12044
sampled.Mfu_TinyLfuMulti,"25,14",3147604,9371362,12518966,9370885,"0,01",61033537024,"17,87","0,00","0,00",87486048,41442
sampled.Mfu_TinyLfuBoost,"25,14",3147604,9371362,12518966,9370885,"0,01",61033537024,"17,87","0,00","0,00",87486048,39920
sampled.Mfu_TinyLfu,"25,14",3147604,9371362,12518966,9370885,"0,01",61033537024,"17,87","0,00","0,00",87486048,40813
product.Caffeine,"24,59",3078414,9440554,12518968,9440135,"100,00",61035634176,"23,03","0,00","0,00",,31865
