Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests Weight,Weighted Hit Rate,Average Miss Penalty,Average Penalty,Steps,Time
linked.Clock,"29,13",49116944,119522020,168638964,119521904,"100,00",2167691466240,"34,48","0,00","0,00",247036417,75776
product.Guava,"29,09",49055222,119583742,168638964,119583602,"100,00",2167691466240,"34,46","0,00","0,00",,173681
sampled.Lru_Threshold15,"29,09",49054742,119584222,168638964,119584080,"100,00",2167691466240,"34,46","0,00","0,00",1125311604,230998
sampled.Lru_Secondary,"29,09",49054742,119584222,168638964,119584080,"100,00",2167691466240,"34,46","0,00","0,00",1125311604,277319
sampled.Lru,"29,09",49054742,119584222,168638964,119584080,"100,00",2167691466240,"34,46","0,00","0,00",1125311604,230292
linked.Lru,"29,09",49053545,119585419,168638964,119585286,"100,00",2167691466240,"34,46","0,00","0,00",222889533,75991
product.ElasticSearch,"29,09",49053545,119585419,168638964,119585286,"100,00",2167691466240,"34,46","0,00","0,00",,141066
linked.Fifo,"28,83",48626075,120012889,168638964,120012755,"100,00",2167691466240,"34,37","0,00","0,00",223051568,74317
sampled.Fifo_Threshold15,"28,83",48625634,120013330,168638964,120013192,"100,00",2167691466240,"34,37","0,00","0,00",1128744500,227008
sampled.Fifo_Secondary,"28,83",48625634,120013330,168638964,120013192,"100,00",2167691466240,"34,37","0,00","0,00",1128744500,276818
sampled.Fifo,"28,83",48625634,120013330,168638964,120013192,"100,00",2167691466240,"34,37","0,00","0,00",1128744500,227432
sampled.Random,"28,06",47326205,121312759,168638964,121312626,"100,00",2167691466240,"33,53","0,00","0,00",168638964,159206
sampled.Random_Secondary,"28,06",47326205,121312759,168638964,121312626,"100,00",2167691466240,"33,53","0,00","0,00",168638964,198744
sampled.Random_Threshold15,"28,06",47326205,121312759,168638964,121312626,"100,00",2167691466240,"33,53","0,00","0,00",168638964,155315
product.Caffeine,"26,96",45468418,123170546,168638964,123170322,"100,00",2167691466240,"28,45","0,00","0,00",,252544
sampled.Mfu,"26,95",45452203,123186761,168638964,123186622,"100,00",2167691466240,"33,04","0,00","0,00",1154131940,268247
sampled.Mfu_Threshold15,"26,95",45452203,123186761,168638964,123186622,"100,00",2167691466240,"33,04","0,00","0,00",1154131940,262393
sampled.Mfu_Secondary,"26,95",45452203,123186761,168638964,123186622,"100,00",2167691466240,"33,04","0,00","0,00",1154131940,300811
linked.Clock_Threshold15,"26,82",45232965,123405999,168638964,123405825,"85,70",2167691466240,"29,80","0,00","0,00",238009020,148814
linked.Lru_Threshold15,"26,77",45150550,123488414,168638964,123488222,"85,70",2167691466240,"29,75","0,00","0,00",217523506,142952
sampled.Lfu_Secondary,"26,55",44779391,123859573,168638964,123859440,"100,00",2167691466240,"31,15","0,00","0,00",1159514484,345357
sampled.Lfu_Threshold15,"26,55",44779391,123859573,168638964,123859440,"100,00",2167691466240,"31,15","0,00","0,00",1159514484,306093
sampled.Lfu,"26,55",44779391,123859573,168638964,123859440,"100,00",2167691466240,"31,15","0,00","0,00",1159514484,305106
linked.Fifo_Threshold15,"26,52",44730693,123908271,168638964,123908114,"85,70",2167691466240,"29,67","0,00","0,00",217719024,151854
sampled.Hyperbolic_Threshold15,"26,02",43874876,124764088,168638964,124764004,"100,00",2167691466240,"32,32","0,00","0,00",1166750996,286669
sampled.Hyperbolic_Secondary,"26,02",43874876,124764088,168638964,124764004,"100,00",2167691466240,"32,32","0,00","0,00",1166750996,339649
sampled.Hyperbolic,"26,02",43874876,124764088,168638964,124764004,"100,00",2167691466240,"32,32","0,00","0,00",1166750996,289050
linked.Lfu,"24,59",41460790,127178174,168638964,127177960,"100,00",2167691466240,"29,45","0,00","0,00",221508036,81660
product.Cache2k,"24,16",40747874,127891090,168638964,127890951,"100,00",2167691466240,"31,10","0,00","0,00",,382550
linked.Lfu_Threshold15,"23,95",40384154,128254810,168638964,128254570,"85,69",2167691466240,"25,83","0,00","0,00",214760387,162003
linked.Mfu,"22,79",38429556,130209408,168638964,130209236,"100,00",2167691466240,"30,09","0,00","0,00",224176809,85917
linked.Lfucostboost,"21,49",36246138,132392826,168638964,132392767,"100,00",2167691466240,"28,29","0,00","0,00",222527591,84086
linked.Mfu_Threshold15,"20,59",34726003,133912961,168638964,133912778,"85,70",2167691466240,"25,48","0,00","0,00",218357185,167654
linked.Lfucostboost_Threshold15,"20,17",34008112,134630852,168638964,134630787,"85,70",2167691466240,"24,27","0,00","0,00",214911885,157852
sampled.Mru_Threshold15,"19,69",33210250,135428714,168638964,135428647,"100,00",2167691466240,"23,21","0,00","0,00",1252068140,274424
sampled.Mru,"19,69",33210250,135428714,168638964,135428647,"100,00",2167691466240,"23,21","0,00","0,00",1252068140,271927
sampled.Mru_Secondary,"19,69",33210250,135428714,168638964,135428647,"100,00",2167691466240,"23,21","0,00","0,00",1252068140,313410
heap.One_Threshold15,"16,98",28626489,140012475,168638964,140012245,"85,68",2167691466240,"7,99","0,00","0,00",168638964,191019
heap.None_Threshold15,"16,98",28626489,140012475,168638964,140012245,"85,68",2167691466240,"7,99","0,00","0,00",168638964,191116
heap.One,"16,89",28477756,140161208,168638964,140161000,"100,00",2167691466240,"8,06","0,00","0,00",168638964,100541
heap.None,"16,89",28477756,140161208,168638964,140161000,"100,00",2167691466240,"8,06","0,00","0,00",168638964,98310
linked.Lru_Secondary,"16,61",28014407,140624557,168638964,140623410,"0,00",2167691466240,"4,59","0,00","0,00",168640018,141516
linked.Clock_Secondary,"16,26",27414517,141224447,168638964,141223740,"0,00",2167691466240,"5,73","0,00","0,00",168651745,145052
heap.Boost,"16,17",27265870,141373094,168638964,141372894,"100,00",2167691466240,"7,94","0,00","0,00",168638964,129536
heap.Boost_Threshold15,"15,92",26843785,141795179,168638964,141794998,"85,68",2167691466240,"7,76","0,00","0,00",168638964,220473
sampled.Fifo_TinyLfuMulti,"15,84",26705244,141933720,168638964,141933361,"0,00",2167691466240,"6,46","0,00","0,00",1304105852,537944
sampled.Fifo_TinyLfuBoost,"15,84",26705244,141933720,168638964,141933361,"0,00",2167691466240,"6,46","0,00","0,00",1304105852,538800
sampled.Fifo_TinyLfu,"15,84",26705244,141933720,168638964,141933361,"0,00",2167691466240,"6,46","0,00","0,00",1304105852,535253
sampled.Hyperbolic_TinyLfuMulti,"15,77",26591364,142047600,168638964,142047353,"0,00",2167691466240,"6,72","0,00","0,00",1305017788,479969
sampled.Hyperbolic_TinyLfuBoost,"15,77",26591364,142047600,168638964,142047353,"0,00",2167691466240,"6,72","0,00","0,00",1305017788,476274
sampled.Hyperbolic_TinyLfu,"15,77",26591364,142047600,168638964,142047353,"0,00",2167691466240,"6,72","0,00","0,00",1305017788,472362
sampled.Random_TinyLfuMulti,"15,76",26582590,142056374,168638964,142056125,"0,00",2167691466240,"6,70","0,00","0,00",168638964,320315
sampled.Random_TinyLfuBoost,"15,76",26582590,142056374,168638964,142056125,"0,00",2167691466240,"6,70","0,00","0,00",168638964,325991
sampled.Random_TinyLfu,"15,76",26582590,142056374,168638964,142056125,"0,00",2167691466240,"6,70","0,00","0,00",168638964,324740
sampled.Lru_TinyLfuMulti,"15,75",26553749,142085215,168638964,142084963,"0,00",2167691466240,"6,66","0,00","0,00",1305318668,471199
sampled.Lru_TinyLfu,"15,75",26553749,142085215,168638964,142084963,"0,00",2167691466240,"6,66","0,00","0,00",1305318668,468818
sampled.Lru_TinyLfuBoost,"15,75",26553749,142085215,168638964,142084963,"0,00",2167691466240,"6,66","0,00","0,00",1305318668,467417
sampled.Lfu_TinyLfuMulti,"15,56",26242247,142396717,168638964,142396470,"0,00",2167691466240,"6,58","0,00","0,00",1307810724,460418
sampled.Lfu_TinyLfuBoost,"15,56",26242247,142396717,168638964,142396470,"0,00",2167691466240,"6,58","0,00","0,00",1307810724,462278
sampled.Lfu_TinyLfu,"15,56",26242247,142396717,168638964,142396470,"0,00",2167691466240,"6,58","0,00","0,00",1307810724,460739
sampled.Mfu_TinyLfuBoost,"15,55",26229553,142409411,168638964,142409005,"0,00",2167691466240,"6,19","0,00","0,00",1307911004,550288
sampled.Mfu_TinyLfu,"15,55",26229553,142409411,168638964,142409005,"0,00",2167691466240,"6,19","0,00","0,00",1307911004,546647
sampled.Mfu_TinyLfuMulti,"15,55",26229553,142409411,168638964,142409005,"0,00",2167691466240,"6,19","0,00","0,00",1307911004,549663
heap.Skip,"15,50",26143299,142495665,168638964,142495550,"100,00",2167691466240,"9,71","0,00","0,00",168638964,105041
linked.Clock_TinyLfu,"15,43",26022399,142616565,168638964,142616332,"0,00",2167691466240,"6,67","0,00","0,00",168647140,141818
linked.Lru_TinyLfu,"15,17",25578377,143060587,168638964,143060331,"0,00",2167691466240,"6,25","0,00","0,00",168639811,139203
heap.Skip_Threshold15,"14,82",24989963,143649001,168638964,143648908,"85,69",2167691466240,"8,91","0,00","0,00",168638964,187664
sampled.Mru_TinyLfuMulti,"14,74",24854223,143784741,168638964,143784523,"0,00",2167691466240,"6,38","0,00","0,00",1318915148,416317
sampled.Mru_TinyLfuBoost,"14,74",24854223,143784741,168638964,143784523,"0,00",2167691466240,"6,38","0,00","0,00",1318915148,417171
sampled.Mru_TinyLfu,"14,74",24854223,143784741,168638964,143784523,"0,00",2167691466240,"6,38","0,00","0,00",1318915148,415687
linked.Fifo_Secondary,"14,52",24492079,144146885,168638964,144146378,"0,00",2167691466240,"5,00","0,00","0,00",168639070,140285
linked.Mru_TinyLfu,"13,97",23557099,145081865,168638964,145081569,"0,00",2167691466240,"5,73","0,00","0,00",168640497,146164
linked.Lfu_Secondary,"13,86",23380473,145258491,168638964,145258287,"0,01",2167691466240,"6,23","0,00","0,00",168651110,147748
linked.Lfucostboost_Secondary,"13,81",23290316,145348648,168638964,145348451,"0,01",2167691466240,"6,23","0,00","0,00",168652389,146420
linked.Lfucostboost_TinyLfu,"13,57",22891595,145747369,168638964,145747214,"0,00",2167691466240,"6,18","0,00","0,00",168646135,149709
linked.Lfu_TinyLfu,"13,56",22868763,145770201,168638964,145770050,"0,00",2167691466240,"6,20","0,00","0,00",168639447,147815
linked.Clock_TinyLfuBoost,"13,11",22103797,146535167,168638964,146535024,"0,00",2167691466240,"5,98","0,00","0,00",168886563,152254
heap.None_Secondary,"12,69",21394317,147244647,168638964,147244413,"0,00",2167691466240,"5,06","0,00","0,00",168638964,238778
heap.One_Secondary,"12,69",21394317,147244647,168638964,147244413,"0,00",2167691466240,"5,06","0,00","0,00",168638964,237658
linked.Mru_TinyLfuBoost,"12,65",21337651,147301313,168638964,147301138,"0,00",2167691466240,"5,34","0,00","0,00",168640785,161833
linked.Lfucostboost_TinyLfuBoost,"12,59",21228673,147410291,168638964,147410190,"0,01",2167691466240,"6,12","0,00","0,00",168654764,167952
linked.Lfu_TinyLfuBoost,"12,59",21228671,147410293,168638964,147410192,"0,01",2167691466240,"6,12","0,00","0,00",168653855,165451
heap.Boost_Secondary,"12,57",21202237,147436727,168638964,147436503,"0,00",2167691466240,"5,04","0,00","0,00",168638964,258723
linked.Fifo_TinyLfu,"12,49",21059874,147579090,168638964,147578889,"0,00",2167691466240,"5,06","0,00","0,00",168638968,139882
heap.Skip_Secondary,"12,48",21037841,147601123,168638964,147600919,"0,00",2167691466240,"5,06","0,00","0,00",168638964,215920
heap.None_TinyLfu,"12,38",20881315,147757649,168638964,147757454,"0,00",2167691466240,"5,00","0,00","0,00",168638964,217711
heap.One_TinyLfu,"12,38",20881315,147757649,168638964,147757454,"0,00",2167691466240,"5,00","0,00","0,00",168638964,219751
heap.Boost_TinyLfu,"12,37",20861047,147777917,168638964,147777721,"0,00",2167691466240,"5,00","0,00","0,00",168638964,243676
heap.Skip_TinyLfuBoost,"12,35",20833184,147805780,168638964,147805588,"0,00",2167691466240,"5,10","0,00","0,00",168638964,226969
heap.One_TinyLfuBoost,"12,33",20797717,147841247,168638964,147841055,"0,00",2167691466240,"5,09","0,00","0,00",168638964,227434
heap.None_TinyLfuBoost,"12,33",20797717,147841247,168638964,147841055,"0,00",2167691466240,"5,09","0,00","0,00",168638964,232397
heap.Boost_TinyLfuBoost,"12,33",20797717,147841247,168638964,147841055,"0,00",2167691466240,"5,09","0,00","0,00",168638964,255953
linked.Lru_TinyLfuBoost,"12,31",20757186,147881778,168638964,147881633,"0,00",2167691466240,"5,15","0,00","0,00",168639146,160689
heap.Skip_TinyLfu,"12,26",20667043,147971921,168638964,147971727,"0,00",2167691466240,"4,93","0,00","0,00",168638964,218753
sampled.Fifo_Comparison,"12,13",20463803,148175161,168638964,148174974,"100,00",2167691466240,"4,88","0,00","0,00",1354038756,385890
sampled.Mru_Comparison,"12,13",20463803,148175161,168638964,148174974,"100,00",2167691466240,"4,88","0,00","0,00",1354038756,357640
sampled.Mfu_Comparison,"12,13",20463803,148175161,168638964,148174974,"100,00",2167691466240,"4,88","0,00","0,00",1354038756,368202
sampled.Lru_Comparison,"12,13",20463803,148175161,168638964,148174974,"100,00",2167691466240,"4,88","0,00","0,00",1354038756,393159
linked.Mfu_TinyLfuBoost,"12,13",20463803,148175161,168638964,148174974,"0,00",2167691466240,"4,88","0,00","0,00",168639151,186679
sampled.Random_Comparison,"12,13",20463803,148175161,168638964,148174974,"100,00",2167691466240,"4,88","0,00","0,00",168638964,240988
sampled.Lfu_Comparison,"12,13",20463803,148175161,168638964,148174974,"100,00",2167691466240,"4,88","0,00","0,00",1354038756,390981
linked.Mfu_TinyLfu,"12,13",20463803,148175161,168638964,148174974,"0,00",2167691466240,"4,88","0,00","0,00",168639151,174800
