Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuMulti,"27,05",3385884,9133084,12518968,9132705,"0,02",61035634176,"21,39","0,00","0,00",12518968,22150
sampled.Random_TinyLfuBoost,"24,17",3026163,9492805,12518968,9492480,"0,02",61035634176,"21,08","0,00","0,00",12518968,22183
sampled.Random_TinyLfu,"27,05",3385884,9133084,12518968,9132705,"0,02",61035634176,"21,39","0,00","0,00",12518968,21618
sampled.Random_Threshold15,"11,39",1425836,11093132,12518968,11092589,"100,00",61035634176,"11,46","0,00","0,00",12518968,18617
sampled.Random_Secondary,"11,39",1425836,11093132,12518968,11092589,"100,00",61035634176,"11,46","0,00","0,00",12518968,22072
sampled.Random_Comparison,"17,08",2138262,10380706,12518968,10380429,"100,00",61035634176,"16,35","0,00","0,00",12518968,16494
sampled.Random,"11,39",1425836,11093132,12518968,11092589,"100,00",61035634176,"11,46","0,00","0,00",12518968,19233
sampled.Mru_TinyLfuMulti,"23,85",2985456,9533512,12518968,9533085,"0,01",61035634176,"18,40","0,00","0,00",88783648,30531
sampled.Mru_TinyLfuBoost,"15,08",1887246,10631722,12518968,10631485,"0,01",61035634176,"16,27","0,00","0,00",97570848,26573
sampled.Mru_TinyLfu,"23,85",2985456,9533512,12518968,9533085,"0,01",61035634176,"18,40","0,00","0,00",88783648,29876
sampled.Mru_Threshold15,"3,89",487535,12031433,12518968,12031324,"100,00",61035634176,"3,94","0,00","0,00",108769560,22341
sampled.Mru_Secondary,"3,89",487535,12031433,12518968,12031324,"100,00",61035634176,"3,94","0,00","0,00",108769560,24475
sampled.Mru_Comparison,"17,08",2138262,10380706,12518968,10380429,"100,00",61035634176,"16,35","0,00","0,00",95562400,23937
sampled.Mru,"3,89",487535,12031433,12518968,12031324,"100,00",61035634176,"3,94","0,00","0,00",108769560,21572
sampled.Mfu_TinyLfuMulti,"25,14",3147604,9371364,12518968,9370885,"0,01",61035634176,"17,87","0,00","0,00",87486048,32972
sampled.Mfu_TinyLfuBoost,"20,17",2525301,9993667,12518968,9993306,"0,01",61035634176,"15,23","0,00","0,00",92465416,31293
sampled.Mfu_TinyLfu,"25,14",3147604,9371364,12518968,9370885,"0,01",61035634176,"17,87","0,00","0,00",87486048,33776
sampled.Mfu_Threshold15,"11,67",1460459,11058509,12518968,11057931,"100,00",61035634176,"10,30","0,00","0,00",100982416,26827
sampled.Mfu_Secondary,"11,67",1460459,11058509,12518968,11057931,"100,00",61035634176,"10,30","0,00","0,00",100982416,29410
sampled.Mfu_Comparison,"17,08",2138262,10380706,12518968,10380429,"100,00",61035634176,"16,35","0,00","0,00",95562400,24381
sampled.Mfu,"11,67",1460459,11058509,12518968,11057931,"100,00",61035634176,"10,30","0,00","0,00",100982416,26844
sampled.Lru_TinyLfuMulti,"25,63",3209155,9309813,12518968,9309464,"0,01",61035634176,"21,58","0,00","0,00",86994680,28544
sampled.Lru_TinyLfuBoost,"22,35",2797543,9721425,12518968,9721138,"0,01",61035634176,"20,95","0,00","0,00",90288072,27668
sampled.Lru_TinyLfu,"25,63",3209155,9309813,12518968,9309464,"0,01",61035634176,"21,58","0,00","0,00",86994680,28226
sampled.Lru_Threshold15,"7,92",991372,11527596,12518968,11527045,"100,00",61035634176,"9,81","0,00","0,00",104735328,19755
sampled.Lru_Secondary,"7,92",991372,11527596,12518968,11527045,"100,00",61035634176,"9,81","0,00","0,00",104735328,22320
sampled.Lru_Comparison,"17,08",2138262,10380706,12518968,10380429,"100,00",61035634176,"16,35","0,00","0,00",95562400,23715
sampled.Lru,"7,92",991372,11527596,12518968,11527045,"100,00",61035634176,"9,81","0,00","0,00",104735328,18867
sampled.Lfu_TinyLfuMulti,"25,90",3242662,9276306,12518968,9275957,"0,02",61035634176,"21,64","0,00","0,00",86726624,28677
sampled.Lfu_TinyLfuBoost,"22,43",2808335,9710633,12518968,9710346,"0,01",61035634176,"20,97","0,00","0,00",90201736,27569
sampled.Lfu_TinyLfu,"25,90",3242662,9276306,12518968,9275957,"0,02",61035634176,"21,64","0,00","0,00",86726624,28504
sampled.Lfu_Threshold15,"13,93",1744299,10774669,12518968,10774422,"100,00",61035634176,"19,45","0,00","0,00",98714344,24839
sampled.Lfu_Secondary,"13,93",1744299,10774669,12518968,10774422,"100,00",61035634176,"19,45","0,00","0,00",98714344,28557
sampled.Lfu_Comparison,"17,08",2138262,10380706,12518968,10380429,"100,00",61035634176,"16,35","0,00","0,00",95562400,23700
sampled.Lfu,"13,93",1744299,10774669,12518968,10774422,"100,00",61035634176,"19,45","0,00","0,00",98714344,24630
sampled.Hyperbolic_TinyLfuMulti,"25,63",3208903,9310065,12518968,9309716,"0,02",61035634176,"21,58","0,00","0,00",86996696,29032
sampled.Hyperbolic_TinyLfuBoost,"22,37",2799926,9719042,12518968,9718755,"0,02",61035634176,"20,96","0,00","0,00",90269008,28175
sampled.Hyperbolic_TinyLfu,"25,63",3208903,9310065,12518968,9309716,"0,02",61035634176,"21,58","0,00","0,00",86996696,29077
sampled.Hyperbolic_Threshold15,"13,32",1668034,10850934,12518968,10850740,"100,00",61035634176,"19,01","0,00","0,00",99324888,25381
sampled.Hyperbolic_Secondary,"13,32",1668034,10850934,12518968,10850740,"100,00",61035634176,"19,01","0,00","0,00",99324888,29093
sampled.Hyperbolic_Comparison,"17,08",2138262,10380706,12518968,10380429,"100,00",61035634176,"16,35","0,00","0,00",95562400,24536
sampled.Hyperbolic,"13,32",1668034,10850934,12518968,10850740,"100,00",61035634176,"19,01","0,00","0,00",99324888,26086
sampled.Fifo_TinyLfuMulti,"32,71",4094890,8424078,12518968,8423536,"0,01",61035634176,"20,91","0,00","0,00",79907256,31961
sampled.Fifo_TinyLfuBoost,"25,52",3195454,9323514,12518968,9323122,"0,01",61035634176,"20,74","0,00","0,00",87103944,30384
sampled.Fifo_TinyLfu,"32,71",4094890,8424078,12518968,8423536,"0,01",61035634176,"20,91","0,00","0,00",79907256,31880
sampled.Fifo_Threshold15,"7,33",918165,11600803,12518968,11600210,"100,00",61035634176,"9,27","0,00","0,00",105320648,19562
sampled.Fifo_Secondary,"7,33",918165,11600803,12518968,11600210,"100,00",61035634176,"9,27","0,00","0,00",105320648,22743
sampled.Fifo_Comparison,"17,08",2138262,10380706,12518968,10380429,"100,00",61035634176,"16,35","0,00","0,00",95562400,24006
sampled.Fifo,"7,33",918165,11600803,12518968,11600210,"100,00",61035634176,"9,27","0,00","0,00",105320648,19048
product.Guava,"7,48",936600,11582368,12518968,11581829,"100,00",61035634176,"8,39","0,00","0,00",,15970
product.ElasticSearch,"7,26",908514,11610454,12518968,11609918,"100,00",61035634176,"7,83","0,00","0,00",,16959
product.Caffeine,"24,58",3076734,9442234,12518968,9441790,"100,00",61035634176,"23,17","0,00","0,00",,21512
product.Cache2k,"10,86",1359250,11159718,12518968,11159570,"100,00",61035634176,"12,07","0,00","0,00",,30581
linked.Mru_TinyLfuMulti,"0,48",59802,12459166,12518968,12459097,"4,16",61035634176,"1,48","0,00","0,00",12979304,9898
linked.Mru_TinyLfuBoost,"16,05",2009884,10509084,12518968,10508828,"0,00",61035634176,"16,74","0,00","0,00",12519211,9080
linked.Mru_TinyLfu,"19,88",2488772,10030196,12518968,10029854,"0,00",61035634176,"17,59","0,00","0,00",12519074,9191
linked.Mru_Threshold15,"1,48",185160,12333808,12518968,12333674,"85,65",61035634176,"1,83","0,00","0,00",14742802,11057
linked.Mru_Secondary,"8,26",1034160,11484808,12518968,11483226,"0,05",61035634176,"1,67","0,00","0,00",12522585,8936
linked.Mru_Comparison,"0,63",78822,12440146,12518968,12440062,"33,73",61035634176,"1,52","0,00","0,00",13710809,5344
linked.Mru,"1,48",185788,12333180,12518968,12333044,"100,00",61035634176,"1,89","0,00","0,00",15041310,5117
linked.Mfu_TinyLfuMulti,"0,84",104684,12414284,12518968,12414117,"0,01",61035634176,"0,67","0,00","0,00",12519969,11055
linked.Mfu_TinyLfuBoost,"17,08",2138262,10380706,12518968,10380429,"0,00",61035634176,"16,35","0,00","0,00",12519245,9297
linked.Mfu_TinyLfu,"17,08",2138262,10380706,12518968,10380429,"0,00",61035634176,"16,35","0,00","0,00",12519245,8213
linked.Mfu_Threshold15,"5,94",744003,11774965,12518968,11774350,"85,70",61035634176,"7,93","0,00","0,00",16436054,11374
linked.Mfu_Secondary,"15,21",1903658,10615310,12518968,10615022,"0,00",61035634176,"13,44","0,00","0,00",12519256,9649
linked.Mfu_Comparison,"2,02",253267,12265701,12518968,12265670,"3,28",61035634176,"4,30","0,00","0,00",12668405,5641
linked.Mfu,"5,89",737171,11781797,12518968,11781263,"100,00",61035634176,"7,26","0,00","0,00",17614935,5941
linked.Lru_TinyLfuMulti,"10,94",1369796,11149172,12518968,11149127,"0,01",61035634176,"16,20","0,00","0,00",12519790,9334
linked.Lru_TinyLfuBoost,"19,09",2390145,10128823,12518968,10128562,"0,00",61035634176,"20,31","0,00","0,00",12519250,9057
linked.Lru_TinyLfu,"25,44",3184390,9334578,12518968,9334232,"0,01",61035634176,"21,55","0,00","0,00",12519173,9126
linked.Lru_Threshold15,"8,46",1058807,11460161,12518968,11459589,"85,70",61035634176,"10,94","0,00","0,00",16167631,10879
linked.Lru_Secondary,"32,15",4024377,8494591,12518968,8494061,"0,01",61035634176,"22,78","0,00","0,00",12519287,8103
linked.Lru_Comparison,"5,66",708013,11810955,12518968,11810919,"2,67",61035634176,"8,26","0,00","0,00",12611787,5740
linked.Lru,"7,26",908531,11610437,12518968,11609899,"100,00",61035634176,"7,83","0,00","0,00",17987273,5456
linked.Lfucostboost_TinyLfuMulti,"15,71",1966602,10552366,12518968,10552192,"2,09",61035634176,"19,77","0,00","0,00",12713956,9988
linked.Lfucostboost_TinyLfuBoost,"20,08",2513978,10004990,12518968,10004739,"0,00",61035634176,"20,52","0,00","0,00",12519544,10661
linked.Lfucostboost_TinyLfu,"23,25",2910540,9608428,12518968,9608115,"0,01",61035634176,"21,05","0,00","0,00",12519528,10366
linked.Lfucostboost_Threshold15,"9,21",1152392,11366576,12518968,11366381,"85,68",61035634176,"8,69","0,00","0,00",15729651,11145
linked.Lfucostboost_Secondary,"20,75",2598132,9920836,12518968,9920529,"0,02",61035634176,"20,46","0,00","0,00",12520192,10340
linked.Lfucostboost_Comparison,"13,86",1734842,10784126,12518968,10784005,"5,45",61035634176,"18,82","0,00","0,00",12727089,5180
linked.Lfucostboost,"9,07",1135772,11383196,12518968,11383013,"100,00",61035634176,"8,63","0,00","0,00",16326891,5945
