Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuBoost,"24,17",3026163,9492805,12518968,9492480,"0,02",61035634176,"21,08","0,00","0,00",12518968,41804
sampled.Random_TinyLfu,"27,05",3385884,9133084,12518968,9132705,"0,02",61035634176,"21,39","0,00","0,00",12518968,44457
sampled.Random_Secondary,"1,66",208130,12310838,12518968,12310818,"2,88",61035634176,"3,73","0,00","0,00",12518968,16328
sampled.Random,"11,39",1425836,11093132,12518968,11092589,"100,00",61035634176,"11,46","0,00","0,00",12518968,28482
sampled.Lru_TinyLfuBoost,"22,35",2797543,9721425,12518968,9721138,"0,01",61035634176,"20,95","0,00","0,00",90288072,46627
sampled.Lru_TinyLfu,"25,63",3209155,9309813,12518968,9309464,"0,01",61035634176,"21,58","0,00","0,00",86994680,52946
sampled.Lru_Secondary,"3,80",476100,12042868,12518968,12042836,"0,48",61035634176,"5,06","0,00","0,00",108861656,29950
sampled.Lru,"7,92",991372,11527596,12518968,11527045,"100,00",61035634176,"9,81","0,00","0,00",104735328,27758
sampled.Lfu_TinyLfuBoost,"22,43",2808335,9710633,12518968,9710346,"0,01",61035634176,"20,97","0,00","0,00",90201736,47656
sampled.Lfu_TinyLfu,"25,90",3242662,9276306,12518968,9275957,"0,02",61035634176,"21,64","0,00","0,00",86726624,50362
sampled.Lfu_Secondary,"4,60",575996,11942972,12518968,11942951,"3,59",61035634176,"6,71","0,00","0,00",108062576,28252
sampled.Lfu,"13,93",1744299,10774669,12518968,10774422,"100,00",61035634176,"19,45","0,00","0,00",98714344,34528
sampled.Hyperbolic_TinyLfuBoost,"22,37",2799926,9719042,12518968,9718755,"0,02",61035634176,"20,96","0,00","0,00",90269008,46073
sampled.Hyperbolic_TinyLfu,"25,63",3208903,9310065,12518968,9309716,"0,02",61035634176,"21,58","0,00","0,00",86996696,51026
sampled.Hyperbolic_Secondary,"6,77",847362,11671606,12518968,11671574,"2,22",61035634176,"8,90","0,00","0,00",105891560,29887
sampled.Hyperbolic,"13,32",1668034,10850934,12518968,10850740,"100,00",61035634176,"19,01","0,00","0,00",99324888,36797
sampled.Fifo_TinyLfuBoost,"25,52",3195454,9323514,12518968,9323122,"0,01",61035634176,"20,74","0,00","0,00",87103944,54500
sampled.Fifo_TinyLfu,"32,71",4094890,8424078,12518968,8423536,"0,01",61035634176,"20,91","0,00","0,00",79907256,62173
sampled.Fifo_Secondary,"5,10",638820,11880148,12518968,11880074,"2,52",61035634176,"5,47","0,00","0,00",107559560,34278
sampled.Fifo,"7,33",918165,11600803,12518968,11600210,"100,00",61035634176,"9,27","0,00","0,00",105320648,26132
product.Guava,"7,48",936600,11582368,12518968,11581829,"100,00",61035634176,"8,39","0,00","0,00",,22255
product.ElasticSearch,"7,26",908514,11610454,12518968,11609918,"100,00",61035634176,"7,83","0,00","0,00",,22394
product.Caffeine,"24,55",3073727,9445241,12518968,9444806,"100,00",61035634176,"23,13","0,00","0,00",,28202
product.Cache2k,"10,86",1359250,11159718,12518968,11159570,"100,00",61035634176,"12,07","0,00","0,00",,40393
linked.Lru_TinyLfuBoost,"19,09",2390145,10128823,12518968,10128562,"0,00",61035634176,"20,31","0,00","0,00",12519250,11612
linked.Lru_TinyLfu,"25,44",3184390,9334578,12518968,9334232,"0,01",61035634176,"21,55","0,00","0,00",12519173,12310
linked.Lru_Secondary,"14,82",1855086,10663882,12518968,10663759,"0,01",61035634176,"18,65","0,00","0,00",12519748,10557
linked.Lru,"7,26",908531,11610437,12518968,11609899,"100,00",61035634176,"7,83","0,00","0,00",17987273,7858
linked.Lfucostboost_TinyLfuBoost,"20,08",2513978,10004990,12518968,10004739,"0,00",61035634176,"20,52","0,00","0,00",12519544,13052
linked.Lfucostboost_TinyLfu,"23,25",2910540,9608428,12518968,9608115,"0,01",61035634176,"21,05","0,00","0,00",12519528,13763
linked.Lfucostboost_Secondary,"19,30",2416361,10102607,12518968,10102378,"1,67",61035634176,"20,40","0,00","0,00",12668735,11499
linked.Lfucostboost,"9,07",1135772,11383196,12518968,11383013,"100,00",61035634176,"8,63","0,00","0,00",16326891,8186
linked.Lfu_TinyLfuBoost,"21,74",2721631,9797337,12518968,9797052,"0,00",61035634176,"20,84","0,00","0,00",12519592,12489
linked.Lfu_TinyLfu,"25,48",3190209,9328759,12518968,9328421,"0,01",61035634176,"21,58","0,00","0,00",12519569,12392
linked.Lfu_Secondary,"19,95",2497512,10021456,12518968,10021214,"2,84",61035634176,"20,52","0,00","0,00",12751555,11630
linked.Lfu,"9,11",1139854,11379114,12518968,11378922,"100,00",61035634176,"8,62","0,00","0,00",16307810,7048
linked.Fifo_TinyLfuBoost,"15,26",1909946,10609022,12518968,10608780,"0,00",61035634176,"15,82","0,00","0,00",12519000,11925
linked.Fifo_TinyLfu,"16,69",2089305,10429663,12518968,10429392,"0,00",61035634176,"16,27","0,00","0,00",12518979,11411
linked.Fifo_Secondary,"7,75",970227,11548741,12518968,11548615,"0,00",61035634176,"13,06","0,00","0,00",12519367,10661
linked.Fifo,"6,64",831436,11687532,12518968,11686995,"100,00",61035634176,"7,42","0,00","0,00",17928553,7331
