Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuMulti,"20,44",2817,10963,13780,10917,"1,37",171779584,"6,75","0,00","0,00",13780,6
sampled.Random_TinyLfuBoost,"20,15",2776,11004,13780,10962,"1,42",171779584,"6,81","0,00","0,00",13780,7
sampled.Random_TinyLfu,"20,44",2817,10963,13780,10917,"1,37",171779584,"6,75","0,00","0,00",13780,18
sampled.Random_Threshold15,"10,57",1456,12324,13780,12297,"100,00",171779584,"3,48","0,00","0,00",13780,13
sampled.Random_Secondary,"10,57",1456,12324,13780,12297,"100,00",171779584,"3,48","0,00","0,00",13780,5
sampled.Random_Comparison,"0,03",4,13776,13780,13769,"100,00",171779584,"0,15","0,00","0,00",13780,95
sampled.Random,"10,57",1456,12324,13780,12297,"100,00",171779584,"3,48","0,00","0,00",13780,7
sampled.Mru_TinyLfuMulti,"14,76",2034,11746,13780,11738,"0,20",171779584,"4,99","0,00","0,00",107684,140
sampled.Mru_TinyLfuBoost,"14,92",2056,11724,13780,11712,"0,26",171779584,"5,00","0,00","0,00",107476,97
sampled.Mru_TinyLfu,"14,76",2034,11746,13780,11738,"0,20",171779584,"4,99","0,00","0,00",107684,10
sampled.Mru_Threshold15,"3,61",497,13283,13780,13267,"100,00",171779584,"1,23","0,00","0,00",119916,293
sampled.Mru_Secondary,"3,61",497,13283,13780,13267,"100,00",171779584,"1,23","0,00","0,00",119916,137
sampled.Mru_Comparison,"0,03",4,13776,13780,13769,"100,00",171779584,"0,15","0,00","0,00",123932,46
sampled.Mru,"3,61",497,13283,13780,13267,"100,00",171779584,"1,23","0,00","0,00",119916,71
sampled.Mfu_TinyLfuMulti,"18,89",2603,11177,13780,11127,"0,70",171779584,"6,21","0,00","0,00",102796,28
sampled.Mfu_TinyLfuBoost,"17,24",2375,11405,13780,11360,"0,51",171779584,"5,88","0,00","0,00",104660,160
sampled.Mfu_TinyLfu,"18,89",2603,11177,13780,11127,"0,70",171779584,"6,21","0,00","0,00",102796,12
sampled.Mfu_Threshold15,"7,01",966,12814,13780,12786,"100,00",171779584,"2,37","0,00","0,00",116068,152
sampled.Mfu_Secondary,"7,01",966,12814,13780,12786,"100,00",171779584,"2,37","0,00","0,00",116068,119
sampled.Mfu_Comparison,"0,03",4,13776,13780,13769,"100,00",171779584,"0,15","0,00","0,00",123932,188
sampled.Mfu,"7,01",966,12814,13780,12786,"100,00",171779584,"2,37","0,00","0,00",116068,12
sampled.Lru_TinyLfuMulti,"20,38",2809,10971,13780,10926,"1,13",171779584,"6,80","0,00","0,00",101188,169
sampled.Lru_TinyLfuBoost,"20,01",2757,11023,13780,10979,"1,37",171779584,"6,66","0,00","0,00",101612,14
sampled.Lru_TinyLfu,"20,38",2809,10971,13780,10926,"1,13",171779584,"6,80","0,00","0,00",101188,13
sampled.Lru_Threshold15,"12,63",1741,12039,13780,12013,"100,00",171779584,"4,26","0,00","0,00",109884,67
sampled.Lru_Secondary,"12,63",1741,12039,13780,12013,"100,00",171779584,"4,26","0,00","0,00",109884,45
sampled.Lru_Comparison,"0,03",4,13776,13780,13769,"100,00",171779584,"0,15","0,00","0,00",123932,12
sampled.Lru,"12,63",1741,12039,13780,12013,"100,00",171779584,"4,26","0,00","0,00",109884,17
sampled.Lfu_TinyLfuMulti,"20,61",2840,10940,13780,10896,"1,20",171779584,"6,90","0,00","0,00",100948,14
sampled.Lfu_TinyLfuBoost,"20,22",2787,10993,13780,10951,"1,64",171779584,"6,83","0,00","0,00",101388,19
sampled.Lfu_TinyLfu,"20,61",2840,10940,13780,10896,"1,20",171779584,"6,90","0,00","0,00",100948,153
sampled.Lfu_Threshold15,"17,10",2357,11423,13780,11387,"100,00",171779584,"5,66","0,00","0,00",104876,11
sampled.Lfu_Secondary,"17,10",2357,11423,13780,11387,"100,00",171779584,"5,66","0,00","0,00",104876,143
sampled.Lfu_Comparison,"0,03",4,13776,13780,13769,"100,00",171779584,"0,15","0,00","0,00",123932,161
sampled.Lfu,"17,10",2357,11423,13780,11387,"100,00",171779584,"5,66","0,00","0,00",104876,103
sampled.Hyperbolic_TinyLfuMulti,"20,69",2851,10929,13780,10884,"1,23",171779584,"6,90","0,00","0,00",100852,92
sampled.Hyperbolic_TinyLfuBoost,"20,18",2781,10999,13780,10957,"1,66",171779584,"6,83","0,00","0,00",101436,77
sampled.Hyperbolic_TinyLfu,"20,69",2851,10929,13780,10884,"1,23",171779584,"6,90","0,00","0,00",100852,13
