Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests Weight,Weighted Hit Rate,Average Miss Penalty,Average Penalty,Steps,Time
Lfu,"0,38",19442,5155926,5175368,5155373,"100,00",283041440768,"0,03","0,00","0,00",5482662,1150
Lfu_Comparison,"0,36",18717,5156651,5175368,5156585,"2,67",283041440768,"0,03","0,00","0,00",5182520,1344
Lfu_Secondary,"0,45",23199,5152169,5175368,5150408,"0,16",283041440768,"0,03","0,00","0,00",5184764,2936
Lfu_Threshold15,"0,38",19468,5155900,5175368,5155125,"85,49",283041440768,"0,03","0,00","0,00",5414110,3074
Lfu_TinyLfu,"0,43",22202,5153166,5175368,5152416,"0,04",283041440768,"0,03","0,00","0,00",5178050,2863
Lfu_TinyLfuBoost,"0,37",19163,5156205,5175368,5156076,"0,22",283041440768,"0,03","0,00","0,00",5186596,3399
Lfu_TinyLfuMulti,"0,36",18888,5156480,5175368,5156397,"0,00",283041440768,"0,03","0,00","0,00",5175570,2948
Lru,"0,34",17715,5157653,5175368,5157227,"100,00",283041440768,"0,03","0,00","0,00",5506658,1274
Lru_Comparison,"0,01",450,5174918,5175368,5174891,"2,68",283041440768,"0,00","0,00","0,00",5183151,1194
Lru_Secondary,"0,86",44362,5131006,5175368,5125864,"0,01",283041440768,"0,03","0,00","0,00",5175600,3081
Lru_Threshold15,"0,34",17629,5157739,5175368,5155216,"85,48",283041440768,"0,03","0,00","0,00",5434715,2736
Lru_TinyLfu,"0,72",37312,5138056,5175368,5134608,"0,03",283041440768,"0,03","0,00","0,00",5176642,3301
Lru_TinyLfuBoost,"0,37",18984,5156384,5175368,5156276,"0,04",283041440768,"0,03","0,00","0,00",5177085,3320
Lru_TinyLfuMulti,"0,01",424,5174944,5175368,5174896,"0,00",283041440768,"0,00","0,00","0,00",5175506,2770
