Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuMulti,"0,28",106163,37309450,37415613,37308716,"0,04",1651777138688,"0,03","0,00","0,00",37415613,148271
sampled.Random_TinyLfuBoost,"0,21",79058,37336555,37415613,37336374,"0,17",1651777138688,"0,02","0,00","0,00",37415613,95800
sampled.Random_TinyLfu,"0,28",106163,37309450,37415613,37308716,"0,04",1651777138688,"0,03","0,00","0,00",37415613,148985
sampled.Random_Threshold15,"0,13",47682,37367931,37415613,37367733,"100,00",1651777138688,"0,01","0,00","0,00",37415613,37831
sampled.Random_Secondary,"0,13",47682,37367931,37415613,37367733,"100,00",1651777138688,"0,01","0,00","0,00",37415613,49533
sampled.Random_Comparison,"0,17",62115,37353498,37415613,37353257,"100,00",1651777138688,"0,02","0,00","0,00",37415613,56056
sampled.Random,"0,13",47682,37367931,37415613,37367733,"100,00",1651777138688,"0,01","0,00","0,00",37415613,39071
sampled.Mru_TinyLfuMulti,"0,23",84564,37331049,37415613,37330614,"0,14",1651777138688,"0,02","0,00","0,00",336060525,124158
sampled.Mru_TinyLfuBoost,"0,19",70715,37344898,37415613,37344705,"0,32",1651777138688,"0,02","0,00","0,00",336173253,99418
sampled.Mru_TinyLfu,"0,23",84564,37331049,37415613,37330614,"0,14",1651777138688,"0,02","0,00","0,00",336060525,124929
sampled.Mru_Threshold15,"0,08",31766,37383847,37415613,37383745,"100,00",1651777138688,"0,01","0,00","0,00",336485573,63040
sampled.Mru_Secondary,"0,08",31766,37383847,37415613,37383745,"100,00",1651777138688,"0,01","0,00","0,00",336485573,75788
sampled.Mru_Comparison,"0,17",62115,37353498,37415613,37353257,"100,00",1651777138688,"0,02","0,00","0,00",336241669,79657
sampled.Mru,"0,08",31766,37383847,37415613,37383745,"100,00",1651777138688,"0,01","0,00","0,00",336485573,62088
sampled.Mfu_TinyLfuMulti,"0,27",101033,37314580,37415613,37313722,"0,01",1651777138688,"0,02","0,00","0,00",335925389,186242
sampled.Mfu_TinyLfuBoost,"0,23",85228,37330385,37415613,37329889,"0,10",1651777138688,"0,02","0,00","0,00",336054725,147868
sampled.Mfu_TinyLfu,"0,27",101033,37314580,37415613,37313722,"0,01",1651777138688,"0,02","0,00","0,00",335925389,185982
sampled.Mfu_Threshold15,"0,12",43331,37372282,37415613,37372132,"100,00",1651777138688,"0,01","0,00","0,00",336392669,62559
sampled.Mfu_Secondary,"0,12",43331,37372282,37415613,37372132,"100,00",1651777138688,"0,01","0,00","0,00",336392669,73686
sampled.Mfu_Comparison,"0,17",62115,37353498,37415613,37353257,"100,00",1651777138688,"0,02","0,00","0,00",336241669,81286
sampled.Mfu,"0,12",43331,37372282,37415613,37372132,"100,00",1651777138688,"0,01","0,00","0,00",336392669,61309
sampled.Lru_TinyLfuMulti,"0,29",107157,37308456,37415613,37307719,"0,02",1651777138688,"0,03","0,00","0,00",335877365,177073
sampled.Lru_TinyLfuBoost,"0,22",82282,37333331,37415613,37333068,"0,07",1651777138688,"0,02","0,00","0,00",336080157,136697
sampled.Lru_TinyLfu,"0,29",107157,37308456,37415613,37307719,"0,02",1651777138688,"0,03","0,00","0,00",335877365,177563
sampled.Lru_Threshold15,"0,13",48664,37366949,37415613,37366724,"100,00",1651777138688,"0,01","0,00","0,00",336349405,61386
