Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests Weight,Weighted Hit Rate,Average Miss Penalty,Average Penalty,Steps,Time
linked.Clock_Secondary,"43,67",680338,877476,1557814,877327,"0,03",11495121408,"23,93","0,00","0,00",1564036,1243
linked.Lfu_Secondary,"43,12",671676,886138,1557814,885997,"0,03",11495121408,"24,47","0,00","0,00",1558134,1786
linked.Lru_TinyLfu,"42,81",666868,890946,1557814,890812,"0,01",11495121408,"24,61","0,00","0,00",1557854,1412
product.Caffeine,"42,32",659226,898588,1557814,898557,"100,00",11495121408,"24,20","0,00","0,00",,3094
linked.Lfucostboost_Secondary,"42,22",657672,900142,1557814,899994,"0,18",11495121408,"23,60","0,00","0,00",1559401,1394
linked.Lru_Secondary,"41,63",648463,909351,1557814,909195,"0,03",11495121408,"19,83","0,00","0,00",1558016,1296
linked.Lru_TinyLfuBoost,"41,40",644907,912907,1557814,912775,"0,01",11495121408,"24,35","0,00","0,00",1557889,1321
sampled.Random_TinyLfuMulti,"40,54",631441,926263,1557704,926238,"0,02",11463295488,"23,57","0,00","0,00",1557814,1204
sampled.Random_TinyLfu,"40,54",631441,926263,1557704,926238,"0,02",11463295488,"23,57","0,00","0,00",1557814,1379
sampled.Random_TinyLfuBoost,"40,54",631441,926263,1557704,926238,"0,02",11463295488,"23,57","0,00","0,00",1557814,1317
sampled.Hyperbolic_TinyLfuMulti,"40,33",628272,929432,1557704,929411,"0,02",11463295488,"23,91","0,00","0,00",8993102,3676
sampled.Hyperbolic_TinyLfuBoost,"40,33",628272,929432,1557704,929411,"0,02",11463295488,"23,91","0,00","0,00",8993102,3382
sampled.Hyperbolic_TinyLfu,"40,33",628272,929432,1557704,929411,"0,02",11463295488,"23,91","0,00","0,00",8993102,2783
sampled.Lfu_TinyLfuMulti,"40,30",627775,929929,1557704,929907,"0,01",11463295488,"23,78","0,00","0,00",8997070,3315
sampled.Lfu_TinyLfuBoost,"40,30",627775,929929,1557704,929907,"0,01",11463295488,"23,78","0,00","0,00",8997070,2386
sampled.Lfu_TinyLfu,"40,30",627775,929929,1557704,929907,"0,01",11463295488,"23,78","0,00","0,00",8997070,2405
linked.Clock_TinyLfu,"40,20",626178,931636,1557814,931505,"0,00",11495121408,"23,77","0,00","0,00",1558959,1094
sampled.Lru_TinyLfuMulti,"40,14",625209,932495,1557704,932474,"0,01",11463295488,"23,99","0,00","0,00",9017606,3436
sampled.Lru_TinyLfu,"40,14",625209,932495,1557704,932474,"0,01",11463295488,"23,99","0,00","0,00",9017606,3233
sampled.Lru_TinyLfuBoost,"40,14",625209,932495,1557704,932474,"0,01",11463295488,"23,99","0,00","0,00",9017606,3010
sampled.Fifo_TinyLfuMulti,"40,08",624344,933360,1557704,933329,"0,00",11463295488,"22,79","0,00","0,00",9024446,2736
sampled.Fifo_TinyLfu,"40,08",624344,933360,1557704,933329,"0,00",11463295488,"22,79","0,00","0,00",9024446,2834
sampled.Fifo_TinyLfuBoost,"40,08",624344,933360,1557704,933329,"0,00",11463295488,"22,79","0,00","0,00",9024446,2903
heap.One,"39,83",620555,937259,1557814,937120,"100,00",11495121408,"25,60","0,00","0,00",1557924,1068
heap.None,"39,83",620555,937259,1557814,937120,"100,00",11495121408,"25,60","0,00","0,00",1557924,1548
linked.Lfu_TinyLfu,"39,75",619268,938546,1557814,938415,"0,00",11495121408,"23,71","0,00","0,00",1557960,1615
heap.Boost_Threshold15,"39,15",609840,947974,1557814,947839,"85,47",11495121408,"26,00","0,00","0,00",1557924,1751
heap.Boost,"38,93",606458,951356,1557814,951223,"100,00",11495121408,"26,39","0,00","0,00",1557924,1074
linked.Lfucostboost_TinyLfuBoost,"38,76",603740,954074,1557814,953942,"0,01",11495121408,"22,94","0,00","0,00",1558048,1706
linked.Clock_TinyLfuBoost,"38,39",598032,959782,1557814,959652,"0,00",11495121408,"22,72","0,00","0,00",1558638,1884
linked.Lfu_TinyLfuBoost,"38,24",595701,962113,1557814,961984,"0,01",11495121408,"23,22","0,00","0,00",1558031,2121
heap.Skip_Threshold15,"38,18",594748,963066,1557814,962937,"85,45",11495121408,"26,46","0,00","0,00",1557924,1603
heap.Skip,"38,01",592148,965666,1557814,965538,"100,00",11495121408,"26,53","0,00","0,00",1557924,1185
linked.Lfu_Threshold15,"37,78",588554,969260,1557814,969132,"85,56",11495121408,"25,66","0,00","0,00",1872681,1637
sampled.Mfu_TinyLfuBoost,"37,75",588009,969695,1557704,969660,"0,00",11463295488,"20,86","0,00","0,00",9315094,3569
sampled.Mfu_TinyLfu,"37,75",588009,969695,1557704,969660,"0,00",11463295488,"20,86","0,00","0,00",9315094,2896
sampled.Mfu_TinyLfuMulti,"37,75",588009,969695,1557704,969660,"0,00",11463295488,"20,86","0,00","0,00",9315094,3407
linked.Lfucostboost_TinyLfu,"37,67",586906,970908,1557814,970778,"0,01",11495121408,"22,27","0,00","0,00",1557987,1207
heap.One_Threshold15,"37,09",577848,979966,1557814,979834,"85,45",11495121408,"21,29","0,00","0,00",1557924,1900
heap.None_Threshold15,"37,09",577848,979966,1557814,979834,"85,45",11495121408,"21,29","0,00","0,00",1557924,1996
sampled.Lfu,"36,92",575084,982620,1557704,982600,"100,00",11463295488,"24,84","0,00","0,00",9418614,2489
sampled.Lfu_Threshold15,"36,92",575084,982620,1557704,982600,"100,00",11463295488,"24,84","0,00","0,00",9418614,2172
sampled.Lfu_Secondary,"36,92",575084,982620,1557704,982600,"100,00",11463295488,"24,84","0,00","0,00",9418614,3080
product.Cache2k,"36,89",574639,983175,1557814,983160,"100,00",11495121408,"25,47","0,00","0,00",,5114
heap.One_Comparison,"36,87",574337,983477,1557814,983352,"28,78",11495121408,"23,93","0,00","0,00",1557924,1205
heap.None_Comparison,"36,87",574337,983477,1557814,983352,"28,78",11495121408,"23,93","0,00","0,00",1557924,1387
heap.Boost_Comparison,"36,39",566933,990881,1557814,990752,"28,74",11495121408,"23,61","0,00","0,00",1557924,1329
heap.None_TinyLfuBoost,"35,19",548182,1009632,1557814,1009501,"0,00",11495121408,"20,89","0,00","0,00",1557924,1833
heap.One_TinyLfuBoost,"35,19",548182,1009632,1557814,1009501,"0,00",11495121408,"20,89","0,00","0,00",1557924,1893
heap.Skip_TinyLfuBoost,"35,19",548182,1009632,1557814,1009501,"0,00",11495121408,"20,89","0,00","0,00",1557924,2209
heap.Boost_TinyLfuBoost,"35,19",548182,1009632,1557814,1009501,"0,00",11495121408,"20,89","0,00","0,00",1557924,1755
heap.Skip_Secondary,"35,16",547716,1010098,1557814,1009964,"0,00",11495121408,"20,58","0,00","0,00",1557924,1429
heap.One_Secondary,"35,16",547716,1010098,1557814,1009964,"0,00",11495121408,"20,58","0,00","0,00",1557924,1355
heap.None_Secondary,"35,16",547716,1010098,1557814,1009964,"0,00",11495121408,"20,58","0,00","0,00",1557924,1852
heap.Boost_Secondary,"35,16",547716,1010098,1557814,1009964,"0,00",11495121408,"20,58","0,00","0,00",1557924,1591
linked.Lfucostboost_Threshold15,"34,71",540695,1017119,1557814,1016991,"85,54",11495121408,"25,55","0,00","0,00",1894354,1561
sampled.Mru_TinyLfu,"34,43",536297,1021407,1557704,1021384,"0,01",11463295488,"16,44","0,00","0,00",9728886,3743
sampled.Mru_TinyLfuBoost,"34,43",536297,1021407,1557704,1021384,"0,01",11463295488,"16,44","0,00","0,00",9728886,2898
sampled.Mru_TinyLfuMulti,"34,43",536297,1021407,1557704,1021384,"0,01",11463295488,"16,44","0,00","0,00",9728886,3197
linked.Lfu,"34,22",533069,1024745,1557814,1024615,"100,00",11495121408,"24,45","0,00","0,00",1941141,864
