Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests Weight,Weighted Hit Rate,Average Miss Penalty,Average Penalty,Steps,Time
linked.Lru_Secondary,"6,09",133828,2063033,2196861,2062978,"0,02",91814495232,"0,59","0,00","0,00",2197200,2058
linked.Clock_Secondary,"6,08",133511,2063350,2196861,2063295,"0,02",91814495232,"0,59","0,00","0,00",2206983,1929
linked.Lru_TinyLfu,"6,05",132866,2063995,2196861,2063946,"0,03",91814495232,"0,60","0,00","0,00",2197250,1570
sampled.Lfu_TinyLfu,"6,00",131745,2065116,2196861,2065070,"0,11",91814495232,"0,60","0,00","0,00",18717421,3983
sampled.Lfu_TinyLfuMulti,"6,00",131745,2065116,2196861,2065070,"0,11",91814495232,"0,60","0,00","0,00",18717421,3817
sampled.Lfu_TinyLfuBoost,"6,00",131745,2065116,2196861,2065070,"0,11",91814495232,"0,60","0,00","0,00",18717421,3618
sampled.Random_TinyLfuBoost,"5,97",131076,2065785,2196861,2065740,"0,07",91814495232,"0,60","0,00","0,00",2196861,2015
sampled.Random_TinyLfuMulti,"5,97",131076,2065785,2196861,2065740,"0,07",91814495232,"0,60","0,00","0,00",2196861,2227
sampled.Random_TinyLfu,"5,97",131076,2065785,2196861,2065740,"0,07",91814495232,"0,60","0,00","0,00",2196861,2464
sampled.Lru_TinyLfuBoost,"5,96",130960,2065901,2196861,2065856,"0,04",91814495232,"0,60","0,00","0,00",18723709,3728
sampled.Lru_TinyLfu,"5,96",130960,2065901,2196861,2065856,"0,04",91814495232,"0,60","0,00","0,00",18723709,3828
sampled.Lru_TinyLfuMulti,"5,96",130960,2065901,2196861,2065856,"0,04",91814495232,"0,60","0,00","0,00",18723709,3319
sampled.Fifo_TinyLfuBoost,"5,96",130950,2065911,2196861,2065861,"0,00",91814495232,"0,59","0,00","0,00",18723749,4808
sampled.Fifo_TinyLfuMulti,"5,96",130950,2065911,2196861,2065861,"0,00",91814495232,"0,59","0,00","0,00",18723749,3757
sampled.Fifo_TinyLfu,"5,96",130950,2065911,2196861,2065861,"0,00",91814495232,"0,59","0,00","0,00",18723749,3792
sampled.Hyperbolic_TinyLfu,"5,96",130916,2065945,2196861,2065900,"0,11",91814495232,"0,60","0,00","0,00",18724061,4182
sampled.Hyperbolic_TinyLfuBoost,"5,96",130916,2065945,2196861,2065900,"0,11",91814495232,"0,60","0,00","0,00",18724061,3926
sampled.Hyperbolic_TinyLfuMulti,"5,96",130916,2065945,2196861,2065900,"0,11",91814495232,"0,60","0,00","0,00",18724061,3803
