Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests Weight,Weighted Hit Rate,Average Miss Penalty,Average Penalty,Steps,Time
product.Cache2k,"50,87",581609,561652,1143261,561619,"100,00",10627698688,"30,23","0,00","0,00",,4201
heap.Boost,"50,84",581241,562020,1143261,558904,"100,00",10627698688,"29,17","0,00","0,00",1146345,572
heap.One_Threshold15,"50,71",579800,563461,1143261,560350,"84,98",10627698688,"29,09","0,00","0,00",1146345,746
heap.None_Threshold15,"50,71",579800,563461,1143261,560350,"84,98",10627698688,"29,09","0,00","0,00",1146345,937
heap.Boost_Threshold15,"50,61",578580,564681,1143261,561566,"84,96",10627698688,"28,72","0,00","0,00",1146345,865
heap.One,"50,58",578208,565053,1143261,561942,"100,00",10627698688,"28,81","0,00","0,00",1146345,523
heap.None,"50,58",578208,565053,1143261,561942,"100,00",10627698688,"28,81","0,00","0,00",1146345,485
sampled.Hyperbolic_TinyLfuBoost,"50,53",576095,564082,1140177,564046,"0,08",9402855424,"34,56","0,00","0,00",5655629,1445
sampled.Hyperbolic_TinyLfuMulti,"50,53",576095,564082,1140177,564046,"0,08",9402855424,"34,56","0,00","0,00",5655629,1122
sampled.Hyperbolic_TinyLfu,"50,53",576095,564082,1140177,564046,"0,08",9402855424,"34,56","0,00","0,00",5655629,2000
sampled.Lfu_TinyLfuBoost,"50,07",570897,569280,1140177,569245,"0,11",9402855424,"34,42","0,00","0,00",5697221,1334
sampled.Lfu_TinyLfuMulti,"50,07",570897,569280,1140177,569245,"0,11",9402855424,"34,42","0,00","0,00",5697221,1199
sampled.Lfu_TinyLfu,"50,07",570897,569280,1140177,569245,"0,11",9402855424,"34,42","0,00","0,00",5697221,1232
sampled.Lru_TinyLfuBoost,"50,03",570481,569696,1140177,569659,"0,04",9402855424,"34,30","0,00","0,00",5700533,1123
sampled.Lru_TinyLfu,"50,03",570481,569696,1140177,569659,"0,04",9402855424,"34,30","0,00","0,00",5700533,1221
sampled.Lru_TinyLfuMulti,"50,03",570481,569696,1140177,569659,"0,04",9402855424,"34,30","0,00","0,00",5700533,1221
linked.Lfu_TinyLfu,"49,90",570480,572781,1143261,569663,"0,02",10627698688,"30,42","0,00","0,00",1146442,658
linked.Clock_TinyLfu,"49,90",570476,572785,1143261,569667,"0,01",10627698688,"30,42","0,00","0,00",1144485,670
linked.Lfu_Secondary,"49,84",569809,573452,1143261,570331,"0,05",10627698688,"30,33","0,00","0,00",1146601,626
linked.Clock_TinyLfuBoost,"49,83",569701,573560,1143261,570442,"0,02",10627698688,"30,43","0,00","0,00",1147459,573
sampled.Random_TinyLfu,"49,82",568090,572087,1140177,572048,"0,09",9402855424,"32,98","0,00","0,00",1143261,665
sampled.Random_TinyLfuMulti,"49,82",568090,572087,1140177,572048,"0,09",9402855424,"32,98","0,00","0,00",1143261,712
sampled.Random_TinyLfuBoost,"49,82",568090,572087,1140177,572048,"0,09",9402855424,"32,98","0,00","0,00",1143261,664
linked.Lru_TinyLfu,"49,71",568276,574985,1143261,571868,"0,01",10627698688,"30,41","0,00","0,00",1143301,760
linked.Lfu_TinyLfuBoost,"49,51",565987,577274,1143261,574157,"0,04",10627698688,"30,30","0,00","0,00",1146561,720
heap.Skip_Threshold15,"49,47",565519,577742,1143261,574633,"84,99",10627698688,"29,47","0,00","0,00",1146345,731
linked.Lfucostboost_Secondary,"49,35",564253,579008,1143261,575885,"0,23",10627698688,"30,10","0,00","0,00",1147592,666
linked.Lfucostboost_TinyLfu,"49,31",563772,579489,1143261,576372,"0,06",10627698688,"30,15","0,00","0,00",1146664,929
linked.Lru_TinyLfuBoost,"49,21",562623,580638,1143261,577521,"0,02",10627698688,"30,16","0,00","0,00",1143319,760
linked.Lfucostboost_TinyLfuBoost,"49,06",560871,582390,1143261,579272,"0,03",10627698688,"30,09","0,00","0,00",1146517,771
heap.Skip,"48,98",560011,583250,1143261,580140,"100,00",10627698688,"29,46","0,00","0,00",1146345,673
linked.Lfu_Threshold15,"48,94",559510,583751,1143261,580635,"85,45",10627698688,"26,13","0,00","0,00",1304537,697
linked.Lru_Secondary,"48,59",555486,587775,1143261,584642,"0,02",10627698688,"27,62","0,00","0,00",1143315,843
sampled.Fifo_TinyLfuBoost,"48,56",553666,586511,1140177,586474,"0,01",9402855424,"32,53","0,00","0,00",5835053,1288
sampled.Fifo_TinyLfu,"48,56",553666,586511,1140177,586474,"0,01",9402855424,"32,53","0,00","0,00",5835053,1636
sampled.Fifo_TinyLfuMulti,"48,56",553666,586511,1140177,586474,"0,01",9402855424,"32,53","0,00","0,00",5835053,1884
linked.Clock_Secondary,"48,50",554508,588753,1143261,585620,"0,02",10627698688,"27,66","0,00","0,00",1144004,680
product.Caffeine,"48,23",551414,591847,1143261,591816,"100,00",10627698688,"27,85","0,00","0,00",,4034
linked.Lfucostboost_Threshold15,"48,14",550388,592873,1143261,589756,"85,44",10627698688,"25,89","0,00","0,00",1308327,777
sampled.Lfu_Secondary,"47,92",546392,593785,1140177,593757,"100,00",9402855424,"29,35","0,00","0,00",5893317,1372
sampled.Lfu,"47,92",546392,593785,1140177,593757,"100,00",9402855424,"29,35","0,00","0,00",5893317,1154
