,Policy,Hit rate,Weighted hit rate,Percentage hit rate change,Percentage weighted hit rate change
129,heap.Boost,30.06,10.05,0.0,0.0
128,heap.Boost_Comparison,28.0,8.95,-6.85,-10.95
127,heap.Boost_Secondary,25.04,7.93,-16.7,-21.09
126,heap.Boost_Threshold,26.36,8.67,-12.31,-13.73
125,heap.Boost_TinyLfu,23.16,7.38,-22.95,-26.57
124,heap.Boost_TinyLfuBoost,22.83,6.73,-24.05,-33.03
123,heap.Boost_TinyLfuMulti,21.02,6.81,-30.07,-32.24
122,heap.None,30.13,10.04,0.0,0.0
121,heap.None_Comparison,28.12,8.88,-6.67,-11.55
120,heap.None_Secondary,25.62,8.08,-14.97,-19.52
119,heap.None_Threshold,27.53,8.99,-8.63,-10.46
118,heap.None_TinyLfu,23.16,7.38,-23.13,-26.49
117,heap.None_TinyLfuBoost,24.02,6.89,-20.28,-31.37
116,heap.None_TinyLfuMulti,22.68,7.17,-24.73,-28.59
115,heap.One,30.13,10.04,0.0,0.0
114,heap.One_Comparison,28.12,8.88,-6.67,-11.55
113,heap.One_Secondary,25.62,8.08,-14.97,-19.52
112,heap.One_Threshold,27.53,8.99,-8.63,-10.46
111,heap.One_TinyLfu,23.16,7.38,-23.13,-26.49
110,heap.One_TinyLfuBoost,24.02,6.89,-20.28,-31.37
109,heap.One_TinyLfuMulti,22.68,7.17,-24.73,-28.59
108,heap.Skip,27.77,9.37,0.0,0.0
107,heap.Skip_Comparison,24.26,8.1,-12.64,-13.55
106,heap.Skip_Secondary,25.62,8.08,-7.74,-13.77
105,heap.Skip_Threshold,27.58,8.99,-0.68,-4.06
104,heap.Skip_TinyLfu,23.16,7.38,-16.6,-21.24
103,heap.Skip_TinyLfuBoost,22.77,6.55,-18.01,-30.1
102,heap.Skip_TinyLfuMulti,16.27,4.35,-41.41,-53.58
101,linked.Clock,21.76,7.59,0.0,0.0
100,linked.Clock_Comparison,19.26,5.2,-11.49,-31.49
99,linked.Clock_Secondary,28.24,7.2,29.78,-5.14
98,linked.Clock_Threshold,28.25,8.31,29.83,9.49
97,linked.Clock_TinyLfu,30.52,9.8,40.26,29.12
96,linked.Clock_TinyLfuBoost,24.84,7.94,14.15,4.61
95,linked.Clock_TinyLfuMulti,2.67,0.61,-87.73,-91.96
94,linked.Fifo,17.71,6.49,0.0,0.0
93,linked.Fifo_Comparison,11.26,3.02,-36.42,-53.47
92,linked.Fifo_Secondary,22.56,5.87,27.39,-9.55
91,linked.Fifo_Threshold,4.93,0.29,-72.16,-95.53
90,linked.Fifo_TinyLfu,19.4,4.7,9.54,-27.58
89,linked.Fifo_TinyLfuBoost,20.5,5.18,15.75,-20.18
88,linked.Fifo_TinyLfuMulti,1.23,0.27,-93.05,-95.84
87,linked.Lfu,26.22,9.09,0.0,0.0
86,linked.Lfu_Comparison,26.04,7.29,-0.69,-19.8
85,linked.Lfu_Secondary,31.77,9.54,21.17,4.95
84,linked.Lfu_Threshold,25.7,8.16,-1.98,-10.23
83,linked.Lfu_TinyLfu,28.67,9.34,9.34,2.75
82,linked.Lfu_TinyLfuBoost,26.46,8.38,0.92,-7.81
81,linked.Lfu_TinyLfuMulti,17.41,4.46,-33.6,-50.94
80,linked.Lfucostboost,25.73,9.24,0.0,0.0
79,linked.Lfucostboost_Comparison,25.07,7.21,-2.57,-21.97
78,linked.Lfucostboost_Secondary,32.08,9.91,24.68,7.25
77,linked.Lfucostboost_Threshold,26.54,7.92,3.15,-14.29
76,linked.Lfucostboost_TinyLfu,28.67,9.34,11.43,1.08
75,linked.Lfucostboost_TinyLfuBoost,26.54,8.37,3.15,-9.42
74,linked.Lfucostboost_TinyLfuMulti,16.85,4.47,-34.51,-51.62
73,linked.Lru,20.44,7.23,0.0,0.0
72,linked.Lru_Comparison,17.48,4.59,-14.48,-36.51
71,linked.Lru_Secondary,30.27,9.25,48.09,27.94
70,linked.Lru_Threshold,27.56,6.89,34.83,-4.7
69,linked.Lru_TinyLfu,30.66,9.84,50.0,36.1
68,linked.Lru_TinyLfuBoost,28.76,9.1,40.7,25.86
67,linked.Lru_TinyLfuMulti,2.11,0.45,-89.68,-93.78
66,linked.Mfu,16.71,6.26,0.0,0.0
65,linked.Mfu_Comparison,7.32,2.13,-56.19,-65.97
64,linked.Mfu_Secondary,6.06,1.09,-63.73,-82.59
63,linked.Mfu_Threshold,1.49,0.08,-91.08,-98.72
62,linked.Mfu_TinyLfu,18.37,4.45,9.93,-28.91
61,linked.Mfu_TinyLfuBoost,16.18,4.29,-3.17,-31.47
60,linked.Mfu_TinyLfuMulti,0.12,0.04,-99.28,-99.36
59,linked.Mru,8.48,3.24,0.0,0.0
58,linked.Mru_Comparison,4.67,1.79,-44.93,-44.75
57,linked.Mru_Secondary,4.01,0.24,-52.71,-92.59
56,linked.Mru_Threshold,1.44,0.06,-83.02,-98.15
55,linked.Mru_TinyLfu,22.63,5.46,166.86,68.52
54,linked.Mru_TinyLfuBoost,20.02,5.14,136.08,58.64
53,linked.Mru_TinyLfuMulti,1.5,0.42,-82.31,-87.04
52,product.Cache2k,27.73,9.15,0.0,0.0
51,product.Caffeine,31.61,9.67,0.0,0.0
50,product.ElasticSearch,20.42,7.23,0.0,0.0
49,product.Guava,24.2,7.59,0.0,0.0
48,sampled.Fifo,17.72,6.5,0.0,0.0
47,sampled.Fifo_Comparison,11.44,3.16,-35.44,-51.38
46,sampled.Fifo_Secondary,6.52,0.69,-63.21,-89.38
45,sampled.Fifo_Threshold,5.22,0.37,-70.54,-94.31
44,sampled.Fifo_TinyLfu,29.39,9.41,65.86,44.77
43,sampled.Fifo_TinyLfuBoost,27.74,8.26,56.55,27.08
42,sampled.Fifo_TinyLfuMulti,8.88,2.13,-49.89,-67.23
41,sampled.Hyperbolic,23.25,7.87,0.0,0.0
40,sampled.Hyperbolic_Comparison,18.5,5.84,-20.43,-25.79
39,sampled.Hyperbolic_Secondary,30.51,9.25,31.23,17.53
38,sampled.Hyperbolic_Threshold,27.87,8.27,19.87,5.08
37,sampled.Hyperbolic_TinyLfu,26.01,8.97,11.87,13.98
36,sampled.Hyperbolic_TinyLfuBoost,24.81,8.12,6.71,3.18
35,sampled.Hyperbolic_TinyLfuMulti,10.18,2.9,-56.22,-63.15
34,sampled.Lfu,27.29,9.3,0.0,0.0
33,sampled.Lfu_Comparison,20.76,6.99,-23.93,-24.84
32,sampled.Lfu_Secondary,30.76,9.31,12.72,0.11
31,sampled.Lfu_Threshold,27.06,8.9,-0.84,-4.3
30,sampled.Lfu_TinyLfu,28.82,9.43,5.61,1.4
29,sampled.Lfu_TinyLfuBoost,28.48,9.36,4.36,0.65
28,sampled.Lfu_TinyLfuMulti,12.74,4.48,-53.32,-51.83
27,sampled.Lru,20.33,7.2,0.0,0.0
26,sampled.Lru_Comparison,16.52,4.47,-18.74,-37.92
25,sampled.Lru_Secondary,30.06,7.2,47.86,0.0
24,sampled.Lru_Threshold,28.98,7.28,42.55,1.11
23,sampled.Lru_TinyLfu,28.68,9.33,41.07,29.58
22,sampled.Lru_TinyLfuBoost,29.13,9.2,43.29,27.78
21,sampled.Lru_TinyLfuMulti,13.02,3.27,-35.96,-54.58
20,sampled.Mfu,16.34,5.88,0.0,0.0
19,sampled.Mfu_Comparison,5.47,1.79,-66.52,-69.56
18,sampled.Mfu_Secondary,5.12,0.38,-68.67,-93.54
17,sampled.Mfu_Threshold,3.52,0.18,-78.46,-96.94
16,sampled.Mfu_TinyLfu,29.41,7.57,79.99,28.74
15,sampled.Mfu_TinyLfuBoost,22.72,5.98,39.05,1.7
14,sampled.Mfu_TinyLfuMulti,5.33,1.33,-67.38,-77.38
13,sampled.Mru,8.94,2.59,0.0,0.0
12,sampled.Mru_Comparison,5.34,1.53,-40.27,-40.93
11,sampled.Mru_Secondary,4.92,0.36,-44.97,-86.1
10,sampled.Mru_Threshold,3.1,0.16,-65.32,-93.82
9,sampled.Mru_TinyLfu,25.87,6.34,189.37,144.79
8,sampled.Mru_TinyLfuBoost,25.32,6.26,183.22,141.7
7,sampled.Mru_TinyLfuMulti,3.66,1.2,-59.06,-53.67
6,sampled.Random,18.45,6.37,0.0,0.0
5,sampled.Random_Comparison,6.42,2.02,-65.2,-68.29
4,sampled.Random_Secondary,9.35,1.39,-49.32,-78.18
3,sampled.Random_Threshold,5.67,0.5,-69.27,-92.15
2,sampled.Random_TinyLfu,26.98,8.94,46.23,40.35
1,sampled.Random_TinyLfuBoost,25.04,7.94,35.72,24.65
0,sampled.Random_TinyLfuMulti,4.3,1.29,-76.69,-79.75
