Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
linked.Lfucostboost_Secondary,"32,08",651135,1378810,2029945,1375683,"0,03",31163521536,"9,91","0,00","0,00",2033367,1648
linked.Lfu_Secondary,"31,77",644936,1385009,2029945,1381881,"0,03",31163521536,"9,54","0,00","0,00",2033439,1351
product.Caffeine,"31,67",642863,1387082,2029945,1387053,"100,00",31163521536,"9,72","0,00","0,00",,3815
linked.Lru_TinyLfu,"30,66",622287,1407658,2029945,1404533,"0,01",31163521536,"9,84","0,00","0,00",2030043,1077
linked.Clock_TinyLfu,"30,52",619512,1410433,2029945,1407308,"0,01",31163521536,"9,80","0,00","0,00",2031197,1100
linked.Lru_Secondary,"30,27",614422,1415523,2029945,1412379,"0,02",31163521536,"9,25","0,00","0,00",2030101,1367
heap.One_Threshold15,"30,17",612532,1417413,2029945,1414290,"85,34",31163521536,"9,96","0,00","0,00",2033046,1935
heap.None_Threshold15,"30,17",612532,1417413,2029945,1414290,"85,34",31163521536,"9,96","0,00","0,00",2033046,1761
heap.One,"30,13",611533,1418412,2029945,1415292,"100,00",31163521536,"10,04","0,00","0,00",2033046,1086
heap.None,"30,13",611533,1418412,2029945,1415292,"100,00",31163521536,"10,04","0,00","0,00",2033046,1156
heap.Boost_Threshold15,"30,10",611097,1418848,2029945,1415724,"85,36",31163521536,"9,98","0,00","0,00",2033046,1530
heap.Boost,"30,07",610415,1419530,2029945,1416412,"100,00",31163521536,"10,06","0,00","0,00",2033046,1226
heap.Skip,"29,43",597460,1432485,2029945,1429367,"100,00",31163521536,"9,86","0,00","0,00",2033046,1041
heap.Skip_Threshold15,"29,43",597416,1432529,2029945,1429411,"85,36",31163521536,"9,80","0,00","0,00",2033046,1944
sampled.Mfu_TinyLfu,"29,41",596924,1433021,2029945,1429878,"0,01",31163521536,"7,57","0,00","0,00",13468969,2738
sampled.Mfu_TinyLfuMulti,"29,41",596924,1433021,2029945,1429878,"0,01",31163521536,"7,57","0,00","0,00",13468969,2730
sampled.Fifo_TinyLfuMulti,"29,39",596681,1433264,2029945,1430131,"0,00",31163521536,"9,41","0,00","0,00",13470993,2727
sampled.Fifo_TinyLfu,"29,39",596681,1433264,2029945,1430131,"0,00",31163521536,"9,41","0,00","0,00",13470993,3381
sampled.Lru_TinyLfuBoost,"29,13",591318,1438627,2029945,1435503,"0,02",31163521536,"9,20","0,00","0,00",13513969,3217
sampled.Lfu_TinyLfu,"28,82",585070,1444875,2029945,1441753,"0,02",31163521536,"9,43","0,00","0,00",13563969,3102
sampled.Lfu_TinyLfuMulti,"28,82",585070,1444875,2029945,1441753,"0,02",31163521536,"9,43","0,00","0,00",13563969,3243
linked.Lru_TinyLfuBoost,"28,76",583790,1446155,2029945,1443034,"0,02",31163521536,"9,10","0,00","0,00",2030121,1535
sampled.Lru_TinyLfuMulti,"28,68",582196,1447749,2029945,1444625,"0,02",31163521536,"9,33","0,00","0,00",13586945,2829
sampled.Lru_TinyLfu,"28,68",582196,1447749,2029945,1444625,"0,02",31163521536,"9,33","0,00","0,00",13586945,3032
linked.Lfu_TinyLfu,"28,67",581960,1447985,2029945,1444863,"0,02",31163521536,"9,34","0,00","0,00",2033350,1726
linked.Lfucostboost_TinyLfu,"28,67",581958,1447987,2029945,1444865,"0,02",31163521536,"9,34","0,00","0,00",2033349,1456
