Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuMulti,"0,33",103,31277,31380,30708,"3,24",1225606656,"0,43","0,00","0,00",31380,122
sampled.Random_TinyLfuBoost,"1,28",403,30977,31380,30391,"1,99",1225606656,"0,53","0,00","0,00",31380,30
sampled.Random_TinyLfu,"1,74",547,30833,31380,30218,"0,92",1225606656,"0,37","0,00","0,00",31380,65
sampled.Random_Threshold15,"0,68",212,31168,31380,30570,"81,63",1225606656,"0,09","0,00","0,00",31380,178
sampled.Random_Secondary,"1,82",572,30808,31380,30189,"2,14",1225606656,"0,35","0,00","0,00",31380,114
sampled.Random_Comparison,"0,11",35,31345,31380,30769,"8,63",1225606656,"0,09","0,00","0,00",31380,7
sampled.Random,"0,90",282,31098,31380,30511,"100,00",1225606656,"0,11","0,00","0,00",31380,64
sampled.Mru_TinyLfuMulti,"0,63",199,31181,31380,30597,"6,68",1225606656,"0,19","0,00","0,00",276156,98
sampled.Mru_TinyLfuBoost,"1,33",418,30962,31380,30349,"2,39",1225606656,"0,30","0,00","0,00",274172,125
sampled.Mru_TinyLfu,"1,54",482,30898,31380,30261,"0,38",1225606656,"0,21","0,00","0,00",273468,194
sampled.Mru_Threshold15,"0,55",172,31208,31380,30606,"80,73",1225606656,"0,11","0,00","0,00",276228,125
sampled.Mru_Secondary,"1,59",499,30881,31380,30240,"1,02",1225606656,"0,21","0,00","0,00",273300,105
sampled.Mru_Comparison,"0,36",114,31266,31380,30687,"10,06",1225606656,"0,08","0,00","0,00",276876,113
sampled.Mru,"0,64",201,31179,31380,30586,"100,00",1225606656,"0,10","0,00","0,00",276068,155
sampled.Mfu_TinyLfuMulti,"0,23",73,31307,31380,30736,"1,94",1225606656,"0,42","0,00","0,00",277268,366
sampled.Mfu_TinyLfuBoost,"1,06",334,31046,31380,30467,"0,50",1225606656,"0,56","0,00","0,00",275116,48
sampled.Mfu_TinyLfu,"1,67",523,30857,31380,30187,"0,41",1225606656,"0,24","0,00","0,00",272876,97
sampled.Mfu_Threshold15,"0,56",175,31205,31380,30615,"80,71",1225606656,"0,07","0,00","0,00",276300,36
sampled.Mfu_Secondary,"1,70",532,30848,31380,30162,"1,54",1225606656,"0,27","0,00","0,00",272676,136
sampled.Mfu_Comparison,"0,15",46,31334,31380,30766,"8,65",1225606656,"0,10","0,00","0,00",277508,277
sampled.Mfu,"0,77",243,31137,31380,30549,"100,00",1225606656,"0,10","0,00","0,00",275772,375
sampled.Lru_TinyLfuMulti,"0,23",72,31308,31380,30738,"0,91",1225606656,"0,42","0,00","0,00",277284,545
sampled.Lru_TinyLfuBoost,"1,40",438,30942,31380,30347,"1,70",1225606656,"0,38","0,00","0,00",274156,696
sampled.Lru_TinyLfu,"1,60",502,30878,31380,30258,"1,10",1225606656,"0,27","0,00","0,00",273444,207
sampled.Lru_Threshold15,"0,71",224,31156,31380,30574,"82,30",1225606656,"0,09","0,00","0,00",275972,210
sampled.Lru_Secondary,"1,59",500,30880,31380,30241,"2,44",1225606656,"0,20","0,00","0,00",273308,310
sampled.Lru_Comparison,"0,17",54,31326,31380,30757,"2,05",1225606656,"0,02","0,00","0,00",277436,71
sampled.Lru,"0,95",297,31083,31380,30501,"100,00",1225606656,"0,12","0,00","0,00",275388,24
sampled.Lfu_TinyLfuMulti,"0,65",203,31177,31380,30606,"2,98",1225606656,"0,39","0,00","0,00",276228,629
sampled.Lfu_TinyLfuBoost,"1,30",407,30973,31380,30389,"2,84",1225606656,"0,39","0,00","0,00",274492,146
sampled.Lfu_TinyLfu,"1,71",537,30843,31380,30239,"0,92",1225606656,"0,39","0,00","0,00",273292,175
sampled.Lfu_Threshold15,"1,22",384,30996,31380,30396,"81,44",1225606656,"0,14","0,00","0,00",274548,38
sampled.Lfu_Secondary,"1,70",533,30847,31380,30228,"2,58",1225606656,"0,32","0,00","0,00",273204,169
sampled.Lfu_Comparison,"0,48",152,31228,31380,30656,"5,78",1225606656,"0,06","0,00","0,00",276628,142
sampled.Lfu,"1,31",412,30968,31380,30371,"100,00",1225606656,"0,16","0,00","0,00",274348,169
sampled.Hyperbolic_TinyLfuMulti,"0,58",183,31197,31380,30627,"4,52",1225606656,"0,46","0,00","0,00",276396,398
sampled.Hyperbolic_TinyLfuBoost,"1,28",401,30979,31380,30394,"2,04",1225606656,"0,43","0,00","0,00",274532,157
sampled.Hyperbolic_TinyLfu,"1,67",523,30857,31380,30253,"1,00",1225606656,"0,38","0,00","0,00",273404,411
sampled.Hyperbolic_Threshold15,"1,07",337,31043,31380,30451,"81,34",1225606656,"0,13","0,00","0,00",274988,239
sampled.Hyperbolic_Secondary,"1,71",538,30842,31380,30224,"2,58",1225606656,"0,28","0,00","0,00",273172,326
sampled.Hyperbolic_Comparison,"0,28",88,31292,31380,30721,"14,55",1225606656,"0,03","0,00","0,00",277148,242
sampled.Hyperbolic,"1,13",354,31026,31380,30436,"100,00",1225606656,"0,13","0,00","0,00",274868,160
sampled.Fifo_TinyLfuMulti,"0,36",112,31268,31380,30698,"0,90",1225606656,"0,44","0,00","0,00",276964,37
sampled.Fifo_TinyLfuBoost,"1,31",410,30970,31380,30372,"0,95",1225606656,"0,33","0,00","0,00",274356,140
sampled.Fifo_TinyLfu,"1,88",589,30791,31380,30144,"0,50",1225606656,"0,43","0,00","0,00",272532,293
sampled.Fifo_Threshold15,"0,71",223,31157,31380,30573,"82,29",1225606656,"0,09","0,00","0,00",275964,143
