,Policy,Hit rate,Weighted Hit Rate,Percentage hit rate change,Percentage weighted hit rate change
39,heap.Boost,1.38,0.22,0.0,0.0
42,heap.Boost_Comparison,1.35,0.22,-2.17,0.0
52,heap.Boost_Secondary,1.27,0.13,-7.97,-40.91
40,heap.Boost_Threshold15,1.36,0.28,-1.45,27.27
53,heap.Boost_TinyLfu,1.27,0.14,-7.97,-36.36
70,heap.Boost_TinyLfuBoost,1.13,0.17,-18.12,-22.73
38,heap.Boost_TinyLfuMulti,1.38,0.2,0.0,-9.09
33,heap.None,1.5,0.23,0.0,0.0
48,heap.None_Comparison,1.32,0.24,-12.0,4.35
50,heap.None_Secondary,1.31,0.14,-12.67,-39.13
30,heap.None_Threshold15,1.5,0.35,0.0,52.17
47,heap.None_TinyLfu,1.33,0.14,-11.33,-39.13
68,heap.None_TinyLfuBoost,1.13,0.17,-24.67,-26.09
37,heap.None_TinyLfuMulti,1.4,0.23,-6.67,0.0
34,heap.One,1.5,0.23,0.0,0.0
49,heap.One_Comparison,1.32,0.24,-12.0,4.35
51,heap.One_Secondary,1.31,0.14,-12.67,-39.13
32,heap.One_Threshold15,1.5,0.35,0.0,52.17
46,heap.One_TinyLfu,1.33,0.14,-11.33,-39.13
69,heap.One_TinyLfuBoost,1.13,0.17,-24.67,-26.09
36,heap.One_TinyLfuMulti,1.4,0.23,-6.67,0.0
100,heap.Skip,0.9,0.14,0.0,0.0
115,heap.Skip_Comparison,0.62,0.12,-31.11,-14.29
57,heap.Skip_Secondary,1.22,0.12,35.56,-14.29
73,heap.Skip_Threshold15,1.1,0.28,22.22,100.0
54,heap.Skip_TinyLfu,1.24,0.12,37.78,-14.29
67,heap.Skip_TinyLfuBoost,1.14,0.17,26.67,21.43
116,heap.Skip_TinyLfuMulti,0.61,0.15,-32.22,7.14
95,linked.Clock,0.95,0.12,0.0,0.0
128,linked.Clock_Comparison,0.04,0.0,-95.79,-100.0
31,linked.Clock_Secondary,1.5,0.38,57.89,216.67
101,linked.Clock_Threshold15,0.81,0.1,-14.74,-16.67
28,linked.Clock_TinyLfu,1.56,0.34,64.21,183.33
41,linked.Clock_TinyLfuBoost,1.36,0.42,43.16,250.0
122,linked.Clock_TinyLfuMulti,0.11,0.41,-88.42,241.67
96,linked.Fifo,0.95,0.12,0.0,0.0
127,linked.Fifo_Comparison,0.04,0.0,-95.79,-100.0
74,linked.Fifo_Secondary,1.09,0.12,14.74,0.0
105,linked.Fifo_Threshold15,0.75,0.09,-21.05,-25.0
62,linked.Fifo_TinyLfu,1.15,0.12,21.05,0.0
66,linked.Fifo_TinyLfuBoost,1.14,0.12,20.0,0.0
121,linked.Fifo_TinyLfuMulti,0.15,0.42,-84.21,250.0
59,linked.Lfu,1.21,0.14,0.0,0.0
110,linked.Lfu_Comparison,0.65,0.07,-46.28,-50.0
22,linked.Lfu_Secondary,1.59,0.2,31.4,42.86
72,linked.Lfu_Threshold15,1.12,0.13,-7.44,-7.14
15,linked.Lfu_TinyLfu,1.64,0.25,35.54,78.57
75,linked.Lfu_TinyLfuBoost,1.0,0.42,-17.36,200.0
109,linked.Lfu_TinyLfuMulti,0.65,0.47,-46.28,235.71
58,linked.Lfucostboost,1.21,0.14,0.0,0.0
111,linked.Lfucostboost_Comparison,0.65,0.07,-46.28,-50.0
23,linked.Lfucostboost_Secondary,1.59,0.2,31.4,42.86
71,linked.Lfucostboost_Threshold15,1.12,0.13,-7.44,-7.14
16,linked.Lfucostboost_TinyLfu,1.64,0.25,35.54,78.57
84,linked.Lfucostboost_TinyLfuBoost,0.98,0.42,-19.01,200.0
107,linked.Lfucostboost_TinyLfuMulti,0.7,0.47,-42.15,235.71
93,linked.Lru,0.95,0.12,0.0,0.0
129,linked.Lru_Comparison,0.04,0.0,-95.79,-100.0
20,linked.Lru_Secondary,1.63,0.31,71.58,158.33
108,linked.Lru_Threshold15,0.7,0.08,-26.32,-33.33
27,linked.Lru_TinyLfu,1.56,0.32,64.21,166.67
35,linked.Lru_TinyLfuBoost,1.5,0.33,57.89,175.0
126,linked.Lru_TinyLfuMulti,0.05,0.4,-94.74,233.33
106,linked.Mfu,0.7,0.09,0.0,0.0
125,linked.Mfu_Comparison,0.06,0.01,-91.43,-88.89
85,linked.Mfu_Secondary,0.97,0.1,38.57,11.11
117,linked.Mfu_Threshold15,0.53,0.07,-24.29,-22.22
86,linked.Mfu_TinyLfu,0.97,0.1,38.57,11.11
60,linked.Mfu_TinyLfuBoost,1.16,0.12,65.71,33.33
124,linked.Mfu_TinyLfuMulti,0.06,0.41,-91.43,355.56
119,linked.Mru,0.39,0.07,0.0,0.0
123,linked.Mru_Comparison,0.08,0.01,-79.49,-85.71
56,linked.Mru_Secondary,1.22,0.13,212.82,85.71
118,linked.Mru_Threshold15,0.41,0.07,5.13,0.0
55,linked.Mru_TinyLfu,1.23,0.13,215.38,85.71
61,linked.Mru_TinyLfuBoost,1.16,0.57,197.44,714.29
120,linked.Mru_TinyLfuMulti,0.19,0.42,-51.28,500.0
29,product.Cache2k,1.53,0.24,0.0,0.0
21,product.Caffeine,1.6,0.19,0.0,0.0
94,product.ElasticSearch,0.95,0.12,0.0,0.0
76,product.Guava,0.99,0.12,0.0,0.0
92,sampled.Fifo,0.96,0.22,0.0,0.0
83,sampled.Fifo_Comparison,0.99,0.19,3.12,-13.64
91,sampled.Fifo_Secondary,0.96,0.22,0.0,0.0
90,sampled.Fifo_Threshold15,0.96,0.22,0.0,0.0
0,sampled.Fifo_TinyLfu,1.91,0.83,98.96,277.27
1,sampled.Fifo_TinyLfuBoost,1.91,0.83,98.96,277.27
2,sampled.Fifo_TinyLfuMulti,1.91,0.83,98.96,277.27
63,sampled.Hyperbolic,1.15,0.26,0.0,0.0
80,sampled.Hyperbolic_Comparison,0.99,0.19,-13.91,-26.92
64,sampled.Hyperbolic_Secondary,1.15,0.26,0.0,0.0
65,sampled.Hyperbolic_Threshold15,1.15,0.26,0.0,0.0
10,sampled.Hyperbolic_TinyLfu,1.7,0.74,47.83,184.62
12,sampled.Hyperbolic_TinyLfuBoost,1.7,0.74,47.83,184.62
9,sampled.Hyperbolic_TinyLfuMulti,1.7,0.74,47.83,184.62
43,sampled.Lfu,1.34,0.31,0.0,0.0
77,sampled.Lfu_Comparison,0.99,0.19,-26.12,-38.71
45,sampled.Lfu_Secondary,1.34,0.31,0.0,0.0
44,sampled.Lfu_Threshold15,1.34,0.31,0.0,0.0
7,sampled.Lfu_TinyLfu,1.74,0.76,29.85,145.16
6,sampled.Lfu_TinyLfuBoost,1.74,0.76,29.85,145.16
8,sampled.Lfu_TinyLfuMulti,1.74,0.76,29.85,145.16
88,sampled.Lru,0.96,0.22,0.0,0.0
78,sampled.Lru_Comparison,0.99,0.19,3.12,-13.64
89,sampled.Lru_Secondary,0.96,0.22,0.0,0.0
87,sampled.Lru_Threshold15,0.96,0.22,0.0,0.0
17,sampled.Lru_TinyLfu,1.63,0.53,69.79,140.91
18,sampled.Lru_TinyLfuBoost,1.63,0.53,69.79,140.91
19,sampled.Lru_TinyLfuMulti,1.63,0.53,69.79,140.91
104,sampled.Mfu,0.79,0.19,0.0,0.0
79,sampled.Mfu_Comparison,0.99,0.19,25.32,0.0
102,sampled.Mfu_Secondary,0.79,0.19,0.0,0.0
103,sampled.Mfu_Threshold15,0.79,0.19,0.0,0.0
