Policy,Percentage hit rate change,Percentage weighted hit rate change
heap.Boost,0.0,0.0
heap.Boost_Comparison,-2.385,-3.095
heap.Boost_Secondary,-7.835,-13.58
heap.Boost_Threshold15,0.8499999999999999,8.33
heap.Boost_TinyLfu,-1.1250000000000004,-9.4725
heap.Boost_TinyLfuBoost,-3.7775,-12.09
heap.Boost_TinyLfuMulti,-12.595,-14.775000000000002
heap.None,0.0,0.0
heap.None_Comparison,-2.7175,-3.845
heap.None_Secondary,-10.0025,-12.845
heap.None_Threshold15,0.53,13.865
heap.None_TinyLfu,-4.8475,-10.2675
heap.None_TinyLfuBoost,-8.030000000000001,-13.115
heap.None_TinyLfuMulti,-13.870000000000001,-12.26
heap.One,0.0,0.0
heap.One_Comparison,-2.7175,-3.845
heap.One_Secondary,-10.0025,-12.845
heap.One_Threshold15,0.53,13.865
heap.One_TinyLfu,-4.8475,-10.2675
heap.One_TinyLfuBoost,-8.030000000000001,-13.115
heap.One_TinyLfuMulti,-13.870000000000001,-12.26
heap.Skip,0.0,0.0
heap.Skip_Comparison,-0.02999999999999936,3.505000000000001
heap.Skip_Secondary,14.535,3.1100000000000003
heap.Skip_Threshold15,10.987499999999999,35.64
heap.Skip_TinyLfu,21.35,5.15
heap.Skip_TinyLfuBoost,5.120000000000001,-4.842499999999999
heap.Skip_TinyLfuMulti,-45.035,-43.475
linked.Clock,0.0,0.0
linked.Clock_Comparison,-27.65,-38.825
linked.Clock_Secondary,161.4675,121.33500000000001
linked.Clock_Threshold15,9.295,3.807499999999999
linked.Clock_TinyLfu,158.07500000000002,158.47
linked.Clock_TinyLfuBoost,74.3025,139.445
linked.Clock_TinyLfuMulti,4.507499999999997,55.682500000000005
linked.Fifo,0.0,0.0
linked.Fifo_Comparison,-42.1525,-52.1975
linked.Fifo_Secondary,194.905,76.07
linked.Fifo_Threshold15,12.912500000000001,1.8999999999999986
linked.Fifo_TinyLfu,128.62,111.9875
linked.Fifo_TinyLfuBoost,97.79,86.445
linked.Fifo_TinyLfuMulti,19.685,78.4325
linked.Lfu,0.0,0.0
linked.Lfu_Comparison,-15.919999999999998,-27.35
linked.Lfu_Secondary,53.1,40.525000000000006
linked.Lfu_Threshold15,27.555,11.41
linked.Lfu_TinyLfu,44.1825,50.78
linked.Lfu_TinyLfuBoost,8.582500000000001,70.98
linked.Lfu_TinyLfuMulti,-37.47,34.6
linked.Lfucostboost,0.0,0.0
linked.Lfucostboost_Comparison,-24.052500000000002,-34.9475
linked.Lfucostboost_Secondary,40.612500000000004,28.62
linked.Lfucostboost_Threshold15,10.850000000000001,1.4075
linked.Lfucostboost_TinyLfu,32.870000000000005,37.2975
