Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuMulti,"13,93",637667,3941152,4578819,3885796,"5,00",138024592,"8,34","0,00","0,00",4578819,582036
sampled.Random_TinyLfuBoost,"13,93",637667,3941152,4578819,3885796,"5,00",138024592,"8,34","0,00","0,00",4578819,572226
sampled.Random_TinyLfu,"13,93",637667,3941152,4578819,3885796,"5,00",138024592,"8,34","0,00","0,00",4578819,577527
sampled.Random_Threshold15,"1,24",56621,4522198,4578819,4489623,"100,00",138024592,"0,84","0,00","0,00",4578819,171003
sampled.Random_Secondary,"1,24",56621,4522198,4578819,4489623,"100,00",138024592,"0,84","0,00","0,00",4578819,165413
sampled.Random_Comparison,"4,65",212856,4365963,4578819,4333262,"100,00",138024592,"3,85","0,00","0,00",4578819,410991
sampled.Random,"1,24",56621,4522198,4578819,4489623,"100,00",138024592,"0,84","0,00","0,00",4578819,163771
sampled.Mru_TinyLfuMulti,"11,64",533085,4045734,4578819,3991868,"3,55",138024592,"6,97","0,00","0,00",36513763,527470
sampled.Mru_TinyLfuBoost,"11,64",533085,4045734,4578819,3991868,"3,55",138024592,"6,97","0,00","0,00",36513763,553974
sampled.Mru_TinyLfu,"11,64",533085,4045734,4578819,3991868,"3,55",138024592,"6,97","0,00","0,00",36513763,533216
sampled.Mru_Threshold15,"2,08",95240,4483579,4578819,4453341,"100,00",138024592,"1,87","0,00","0,00",40205547,244446
sampled.Mru_Secondary,"2,08",95240,4483579,4578819,4453341,"100,00",138024592,"1,87","0,00","0,00",40205547,239805
sampled.Mru_Comparison,"4,65",212856,4365963,4578819,4333262,"100,00",138024592,"3,85","0,00","0,00",39244915,431027
sampled.Mru,"2,08",95240,4483579,4578819,4453341,"100,00",138024592,"1,87","0,00","0,00",40205547,253243
sampled.Mfu_TinyLfuMulti,"10,54",482468,4096351,4578819,4042884,"1,80",138024592,"6,19","0,00","0,00",36921891,569011
sampled.Mfu_TinyLfuBoost,"10,54",482468,4096351,4578819,4042884,"1,80",138024592,"6,19","0,00","0,00",36921891,557170
sampled.Mfu_TinyLfu,"10,54",482468,4096351,4578819,4042884,"1,80",138024592,"6,19","0,00","0,00",36921891,548370
