Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuBoost,"37,85",467666,767967,1235633,757967,"7,34",5561702,"29,46","0,00","0,00",1235633,30013
sampled.Random_TinyLfu,"37,87",467885,767748,1235633,757748,"7,35",5561702,"29,47","0,00","0,00",1235633,32647
sampled.Random_Secondary,"38,52",475965,759668,1235633,749668,"11,11",5561702,"29,62","0,00","0,00",1235633,31214
sampled.Random,"41,77",516100,719533,1235633,709533,"100,00",5561702,"34,77","0,00","0,00",1235633,14701
sampled.Lru_TinyLfuBoost,"38,09",470655,764978,1235633,754978,"7,48",5561702,"29,77","0,00","0,00",7275457,32516
sampled.Lru_TinyLfu,"38,09",470696,764937,1235633,754937,"7,48",5561702,"29,76","0,00","0,00",7275129,32213
sampled.Lru_Secondary,"38,44",474935,760698,1235633,750698,"10,31",5561702,"29,60","0,00","0,00",7241217,31053
sampled.Lru,"45,20",558447,677186,1235633,667186,"100,00",5561702,"37,01","0,00","0,00",6573121,6204
sampled.Lfu_TinyLfuBoost,"37,81",467227,768406,1235633,758406,"6,66",5561702,"29,33","0,00","0,00",7302881,33029
sampled.Lfu_TinyLfu,"37,81",467152,768481,1235633,758481,"6,66",5561702,"29,32","0,00","0,00",7303481,33971
sampled.Lfu_Secondary,"38,52",476014,759619,1235633,749619,"10,53",5561702,"29,59","0,00","0,00",7232585,32729
sampled.Lfu,"44,99",555922,679711,1235633,669711,"100,00",5561702,"37,67","0,00","0,00",6593321,16194
sampled.Hyperbolic_TinyLfuBoost,"38,29",473175,762458,1235633,752458,"7,72",5561702,"29,92","0,00","0,00",7255297,32674
sampled.Hyperbolic_TinyLfu,"38,29",473139,762494,1235633,752494,"7,72",5561702,"29,92","0,00","0,00",7255585,32112
sampled.Hyperbolic_Secondary,"39,05",482533,753100,1235633,743100,"12,35",5561702,"30,22","0,00","0,00",7180433,32731
sampled.Hyperbolic,"45,40",561021,674612,1235633,664612,"100,00",5561702,"38,15","0,00","0,00",6552529,17442
sampled.Fifo_TinyLfuBoost,"36,51",451071,784562,1235633,774562,"5,46",5561702,"28,05","0,00","0,00",7432129,34261
sampled.Fifo_TinyLfu,"36,51",451071,784562,1235633,774562,"5,46",5561702,"28,05","0,00","0,00",7432129,34270
sampled.Fifo_Secondary,"36,64",452730,782903,1235633,772903,"6,96",5561702,"27,81","0,00","0,00",7418857,32298
sampled.Fifo,"42,90",530085,705548,1235633,695548,"100,00",5561702,"35,30","0,00","0,00",6800017,4985
product.Guava,"45,34",560215,675418,1235633,665418,"100,00",5561702,"37,09","0,00","0,00",,2633
