Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuBoost,"37,85",467666,767967,1235633,757967,"7,34",5561702,"29,46","0,00","0,00",1235633,23364
sampled.Random_TinyLfu,"37,87",467885,767748,1235633,757748,"7,35",5561702,"29,47","0,00","0,00",1235633,23034
sampled.Random_Secondary,"38,24",472542,763091,1235633,753091,"10,10",5561702,"30,50","0,00","0,00",1235633,25107
sampled.Random,"41,77",516100,719533,1235633,709533,"100,00",5561702,"34,77","0,00","0,00",1235633,12924
sampled.Mru_TinyLfuBoost,"34,17",422162,813471,1235633,803471,"2,91",5561702,"25,45","0,00","0,00",7663401,29352
sampled.Mru_TinyLfu,"34,16",422117,813516,1235633,803516,"2,90",5561702,"25,46","0,00","0,00",7663761,34663
sampled.Mru_Secondary,"34,36",424593,811040,1235633,801040,"3,71",5561702,"26,10","0,00","0,00",7643953,29544
sampled.Mru,"31,91",394329,841304,1235633,831304,"100,00",5561702,"28,14","0,00","0,00",7886065,23706
sampled.Mfu_TinyLfuBoost,"34,18",422352,813281,1235633,803281,"3,16",5561702,"25,42","0,00","0,00",7661881,26052
sampled.Mfu_TinyLfu,"34,18",422352,813281,1235633,803281,"3,16",5561702,"25,42","0,00","0,00",7661881,26332
sampled.Mfu_Secondary,"34,26",423363,812270,1235633,802270,"3,90",5561702,"25,88","0,00","0,00",7653793,38271
sampled.Mfu,"35,59",439762,795871,1235633,785871,"100,00",5561702,"30,42","0,00","0,00",7522601,15794
sampled.Lru_TinyLfuBoost,"38,09",470655,764978,1235633,754978,"7,48",5561702,"29,77","0,00","0,00",7275457,26117
sampled.Lru_TinyLfu,"38,09",470696,764937,1235633,754937,"7,48",5561702,"29,76","0,00","0,00",7275129,24032
sampled.Lru_Secondary,"38,24",472493,763140,1235633,753140,"9,51",5561702,"30,43","0,00","0,00",7260753,27237
sampled.Lru,"45,20",558447,677186,1235633,667186,"100,00",5561702,"37,01","0,00","0,00",6573121,5882
sampled.Lfu_TinyLfuBoost,"37,81",467227,768406,1235633,758406,"6,66",5561702,"29,33","0,00","0,00",7302881,24908
sampled.Lfu_TinyLfu,"37,81",467152,768481,1235633,758481,"6,66",5561702,"29,32","0,00","0,00",7303481,24691
sampled.Lfu_Secondary,"38,32",473442,762191,1235633,752191,"9,36",5561702,"30,44","0,00","0,00",7253161,25038
sampled.Lfu,"44,99",555922,679711,1235633,669711,"100,00",5561702,"37,67","0,00","0,00",6593321,17107
sampled.Hyperbolic_TinyLfuBoost,"38,29",473175,762458,1235633,752458,"7,72",5561702,"29,92","0,00","0,00",7255297,28659
sampled.Hyperbolic_TinyLfu,"38,29",473139,762494,1235633,752494,"7,72",5561702,"29,92","0,00","0,00",7255585,33653
sampled.Hyperbolic_Secondary,"38,90",480705,754928,1235633,744928,"11,13",5561702,"31,22","0,00","0,00",7195057,35876
sampled.Hyperbolic,"45,40",561021,674612,1235633,664612,"100,00",5561702,"38,15","0,00","0,00",6552529,16481
sampled.Fifo_TinyLfuBoost,"36,51",451071,784562,1235633,774562,"5,46",5561702,"28,05","0,00","0,00",7432129,25561
sampled.Fifo_TinyLfu,"36,51",451071,784562,1235633,774562,"5,46",5561702,"28,05","0,00","0,00",7432129,25451
sampled.Fifo_Secondary,"36,55",451661,783972,1235633,773972,"6,64",5561702,"28,49","0,00","0,00",7427409,25174
sampled.Fifo,"42,90",530085,705548,1235633,695548,"100,00",5561702,"35,30","0,00","0,00",6800017,5650
