Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuMulti,"75,81",918070,292964,1211034,291964,"10,32",11403751424,"42,72","0,00","0,00",1211034,2689
sampled.Random_TinyLfuBoost,"74,58",903241,307793,1211034,306793,"36,78",11403751424,"42,65","0,00","0,00",1211034,2693
sampled.Random_TinyLfu,"75,81",918070,292964,1211034,291964,"10,32",11403751424,"42,72","0,00","0,00",1211034,3366
sampled.Random_Threshold15,"73,94",895419,315615,1211034,314615,"100,00",11403751424,"41,65","0,00","0,00",1211034,1767
sampled.Random_Secondary,"73,94",895419,315615,1211034,314615,"100,00",11403751424,"41,65","0,00","0,00",1211034,2017
sampled.Random_Comparison,"64,84",785294,425740,1211034,424740,"100,00",11403751424,"34,15","0,00","0,00",1211034,4946
sampled.Random,"73,94",895419,315615,1211034,314615,"100,00",11403751424,"41,65","0,00","0,00",1211034,1759
sampled.Mru_TinyLfuMulti,"73,62",891581,319453,1211034,318453,"4,19",11403751424,"41,49","0,00","0,00",3758658,3660
sampled.Mru_TinyLfuBoost,"72,75",880970,330064,1211034,329064,"14,16",11403751424,"41,52","0,00","0,00",3843546,4309
sampled.Mru_TinyLfu,"73,62",891581,319453,1211034,318453,"4,19",11403751424,"41,49","0,00","0,00",3758658,3485
sampled.Mru_Threshold15,"67,48",817157,393877,1211034,392877,"100,00",11403751424,"37,55","0,00","0,00",4354050,4084
sampled.Mru_Secondary,"67,48",817157,393877,1211034,392877,"100,00",11403751424,"37,55","0,00","0,00",4354050,4100
sampled.Mru_Comparison,"64,84",785294,425740,1211034,424740,"100,00",11403751424,"34,15","0,00","0,00",4608954,3160
sampled.Mru,"67,48",817157,393877,1211034,392877,"100,00",11403751424,"37,55","0,00","0,00",4354050,4837
sampled.Mfu_TinyLfuMulti,"73,63",891722,319312,1211034,318312,"6,01",11403751424,"41,46","0,00","0,00",3757530,3656
