Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuMulti,"94,94",11886093,632875,12518968,532875,"11,66",61035634176,"85,51","0,00","0,00",12518968,183276
sampled.Random_TinyLfuBoost,"95,12",11907716,611252,12518968,511252,"19,99",61035634176,"88,15","0,00","0,00",12518968,164864
sampled.Random_TinyLfu,"94,94",11886093,632875,12518968,532875,"11,66",61035634176,"85,51","0,00","0,00",12518968,178641
sampled.Random_Threshold15,"94,25",11799043,719925,12518968,619925,"100,00",61035634176,"84,12","0,00","0,00",12518968,101364
sampled.Random_Secondary,"94,25",11799043,719925,12518968,619925,"100,00",61035634176,"84,12","0,00","0,00",12518968,107047
sampled.Random_Comparison,"90,72",11356746,1162222,12518968,1062222,"100,00",61035634176,"42,27","0,00","0,00",12518968,372615
sampled.Random,"94,25",11799043,719925,12518968,619925,"100,00",61035634176,"84,12","0,00","0,00",12518968,104218
sampled.Mru_TinyLfuMulti,"93,97",11764308,754660,12518968,654660,"5,74",61035634176,"77,37","0,00","0,00",17756248,227766
sampled.Mru_TinyLfuBoost,"94,14",11785368,733600,12518968,633600,"7,66",61035634176,"80,96","0,00","0,00",17587768,224924
sampled.Mru_TinyLfu,"93,97",11764308,754660,12518968,654660,"5,74",61035634176,"77,37","0,00","0,00",17756248,229451
sampled.Mru_Threshold15,"91,37",11439110,1079858,12518968,979858,"100,00",61035634176,"72,84","0,00","0,00",20357832,254988
sampled.Mru_Secondary,"91,37",11439110,1079858,12518968,979858,"100,00",61035634176,"72,84","0,00","0,00",20357832,255769
sampled.Mru_Comparison,"90,72",11356746,1162222,12518968,1062222,"100,00",61035634176,"42,27","0,00","0,00",21016744,374052
sampled.Mru,"91,37",11439110,1079858,12518968,979858,"100,00",61035634176,"72,84","0,00","0,00",20357832,249054
sampled.Mfu_TinyLfuMulti,"93,85",11748938,770030,12518968,670030,"4,29",61035634176,"77,07","0,00","0,00",17879208,229955
sampled.Mfu_TinyLfuBoost,"93,96",11762403,756565,12518968,656565,"6,77",61035634176,"79,80","0,00","0,00",17771488,227736
sampled.Mfu_TinyLfu,"93,85",11748938,770030,12518968,670030,"4,29",61035634176,"77,07","0,00","0,00",17879208,230498
sampled.Mfu_Threshold15,"91,98",11514442,1004526,12518968,904526,"100,00",61035634176,"76,71","0,00","0,00",19755176,183571
sampled.Mfu_Secondary,"91,98",11514442,1004526,12518968,904526,"100,00",61035634176,"76,71","0,00","0,00",19755176,182260
sampled.Mfu_Comparison,"90,72",11356746,1162222,12518968,1062222,"100,00",61035634176,"42,27","0,00","0,00",21016744,370326
sampled.Mfu,"91,98",11514442,1004526,12518968,904526,"100,00",61035634176,"76,71","0,00","0,00",19755176,177342
sampled.Lru_TinyLfuMulti,"95,14",11910971,607997,12518968,507997,"14,90",61035634176,"86,67","0,00","0,00",16582944,168988
sampled.Lru_TinyLfuBoost,"95,25",11924829,594139,12518968,494139,"24,10",61035634176,"89,02","0,00","0,00",16472080,152802
sampled.Lru_TinyLfu,"95,14",11910971,607997,12518968,507997,"14,90",61035634176,"86,67","0,00","0,00",16582944,164554
sampled.Lru_Threshold15,"94,82",11870831,648137,12518968,548137,"100,00",61035634176,"86,05","0,00","0,00",16904064,55859
sampled.Lru_Secondary,"94,82",11870831,648137,12518968,548137,"100,00",61035634176,"86,05","0,00","0,00",16904064,59254
sampled.Lru_Comparison,"90,72",11356746,1162222,12518968,1062222,"100,00",61035634176,"42,27","0,00","0,00",21016744,377110
sampled.Lru,"94,82",11870831,648137,12518968,548137,"100,00",61035634176,"86,05","0,00","0,00",16904064,58273
sampled.Lfu_TinyLfuMulti,"95,12",11907617,611351,12518968,511351,"14,90",61035634176,"86,53","0,00","0,00",16609776,169331
sampled.Lfu_TinyLfuBoost,"95,30",11930143,588825,12518968,488825,"25,25",61035634176,"89,17","0,00","0,00",16429568,160191
sampled.Lfu_TinyLfu,"95,12",11907617,611351,12518968,511351,"14,90",61035634176,"86,53","0,00","0,00",16609776,168122
sampled.Lfu_Threshold15,"95,24",11923152,595816,12518968,495816,"100,00",61035634176,"88,73","0,00","0,00",16485496,112679
sampled.Lfu_Secondary,"95,24",11923152,595816,12518968,495816,"100,00",61035634176,"88,73","0,00","0,00",16485496,112504
sampled.Lfu_Comparison,"90,72",11356746,1162222,12518968,1062222,"100,00",61035634176,"42,27","0,00","0,00",21016744,372855
sampled.Lfu,"95,24",11923152,595816,12518968,495816,"100,00",61035634176,"88,73","0,00","0,00",16485496,111095
sampled.Hyperbolic_TinyLfuMulti,"95,12",11907763,611205,12518968,511205,"14,95",61035634176,"86,54","0,00","0,00",16608608,166214
sampled.Hyperbolic_TinyLfuBoost,"95,29",11929786,589182,12518968,489182,"25,41",61035634176,"89,17","0,00","0,00",16432424,154880
sampled.Hyperbolic_TinyLfu,"95,12",11907763,611205,12518968,511205,"14,95",61035634176,"86,54","0,00","0,00",16608608,167390
sampled.Hyperbolic_Threshold15,"95,24",11922471,596497,12518968,496497,"100,00",61035634176,"88,74","0,00","0,00",16490944,112399
sampled.Hyperbolic_Secondary,"95,24",11922471,596497,12518968,496497,"100,00",61035634176,"88,74","0,00","0,00",16490944,113166
sampled.Hyperbolic_Comparison,"90,72",11356746,1162222,12518968,1062222,"100,00",61035634176,"42,27","0,00","0,00",21016744,379991
sampled.Hyperbolic,"95,24",11922471,596497,12518968,496497,"100,00",61035634176,"88,74","0,00","0,00",16490944,107806
sampled.Fifo_TinyLfuMulti,"94,76",11863014,655954,12518968,555954,"9,59",61035634176,"84,20","0,00","0,00",16966600,183554
sampled.Fifo_TinyLfuBoost,"94,89",11879707,639261,12518968,539261,"15,62",61035634176,"86,72","0,00","0,00",16833056,169979
sampled.Fifo_TinyLfu,"94,76",11863014,655954,12518968,555954,"9,59",61035634176,"84,20","0,00","0,00",16966600,184736
sampled.Fifo_Threshold15,"94,30",11805748,713220,12518968,613220,"100,00",61035634176,"85,12","0,00","0,00",17424728,40725
sampled.Fifo_Secondary,"94,30",11805748,713220,12518968,613220,"100,00",61035634176,"85,12","0,00","0,00",17424728,44990
sampled.Fifo_Comparison,"90,72",11356746,1162222,12518968,1062222,"100,00",61035634176,"42,27","0,00","0,00",21016744,362927
sampled.Fifo,"94,30",11805748,713220,12518968,613220,"100,00",61035634176,"85,12","0,00","0,00",17424728,40147
product.Guava,"94,83",11872160,646808,12518968,546808,"100,00",61035634176,"86,03","0,00","0,00",,9667
product.ElasticSearch,"94,83",11872006,646962,12518968,546962,"100,00",61035634176,"86,02","0,00","0,00",,19935
product.Caffeine,"95,06",11900481,618487,12518968,518487,"100,00",61035634176,"85,62","0,00","0,00",,11242
product.Cache2k,"95,39",11941613,577355,12518968,477356,"100,00",61035634176,"89,31","0,00","0,00",,7010
linked.Mru_TinyLfuMulti,"34,70",4343613,8175355,12518968,8075355,"0,59",61035634176,"40,06","0,00","0,00",12518968,10374
linked.Mru_TinyLfuBoost,"91,27",11426442,1092526,12518968,992526,"0,30",61035634176,"43,95","0,00","0,00",12518968,6807
linked.Mru_TinyLfu,"91,34",11435262,1083706,12518968,983706,"0,29",61035634176,"44,24","0,00","0,00",12518968,6800
linked.Mru_Threshold15,"22,49",2816113,9702855,12518968,9602855,"84,71",61035634176,"16,72","0,00","0,00",12518968,9631
linked.Mru_Secondary,"91,22",11419648,1099320,12518968,999320,"0,40",61035634176,"42,72","0,00","0,00",12518968,6514
linked.Mru_Comparison,"17,74",2220808,10298160,12518968,10198160,"4,43",61035634176,"20,99","0,00","0,00",12518968,6037
linked.Mru,"22,71",2843251,9675717,12518968,9575717,"100,00",61035634176,"14,65","0,00","0,00",12518968,6727
