Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuMulti,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,177
sampled.Random_TinyLfuBoost,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,7
sampled.Random_TinyLfu,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,122
sampled.Random_Threshold15,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,4
sampled.Random_Secondary,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,3
sampled.Random_Comparison,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,32
sampled.Random,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,2
sampled.Mru_TinyLfuMulti,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,3
sampled.Mru_TinyLfuBoost,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,7
sampled.Mru_TinyLfu,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,25
sampled.Mru_Threshold15,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,3
sampled.Mru_Secondary,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,71
sampled.Mru_Comparison,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,145
sampled.Mru,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,3
sampled.Mfu_TinyLfuMulti,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,3
sampled.Mfu_TinyLfuBoost,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,89
sampled.Mfu_TinyLfu,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,23
sampled.Mfu_Threshold15,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,183
sampled.Mfu_Secondary,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,3
sampled.Mfu_Comparison,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,82
sampled.Mfu,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,3
sampled.Lru_TinyLfuMulti,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,3
sampled.Lru_TinyLfuBoost,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,13
sampled.Lru_TinyLfu,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,79
sampled.Lru_Threshold15,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,6
sampled.Lru_Secondary,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,4
sampled.Lru_Comparison,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,2
sampled.Lru,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,3
sampled.Lfu_TinyLfuMulti,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,3
sampled.Lfu_TinyLfuBoost,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,4
sampled.Lfu_TinyLfu,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,6
sampled.Lfu_Threshold15,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,150
sampled.Lfu_Secondary,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,60
sampled.Lfu_Comparison,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,8
sampled.Lfu,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,6
sampled.Hyperbolic_TinyLfuMulti,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,14
sampled.Hyperbolic_TinyLfuBoost,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,309
sampled.Hyperbolic_TinyLfu,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,3
sampled.Hyperbolic_Threshold15,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,86
sampled.Hyperbolic_Secondary,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,81
sampled.Hyperbolic_Comparison,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,176
sampled.Hyperbolic,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,10
sampled.Fifo_TinyLfuMulti,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,119
sampled.Fifo_TinyLfuBoost,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,157
sampled.Fifo_TinyLfu,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,6
sampled.Fifo_Threshold15,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,2
sampled.Fifo_Secondary,"65,87",9077,4703,13780,0,"100,00",171779584,"29,05","0,00","0,00",13780,120
