Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuMulti,"81,87",1275433,282381,1557814,272381,"7,25",11495121408,"61,73","0,00","0,00",1557814,8895
sampled.Random_TinyLfuBoost,"81,90",1275781,282033,1557814,272033,"20,62",11495121408,"63,81","0,00","0,00",1557814,7574
sampled.Random_TinyLfu,"81,87",1275433,282381,1557814,272381,"7,25",11495121408,"61,73","0,00","0,00",1557814,7855
sampled.Random_Threshold15,"81,13",1263911,293903,1557814,283903,"100,00",11495121408,"61,85","0,00","0,00",1557814,5207
sampled.Random_Secondary,"81,13",1263911,293903,1557814,283903,"100,00",11495121408,"61,85","0,00","0,00",1557814,5273
sampled.Random_Comparison,"71,97",1121087,436727,1557814,426727,"100,00",11495121408,"51,89","0,00","0,00",1557814,13313
sampled.Random,"81,13",1263911,293903,1557814,283903,"100,00",11495121408,"61,85","0,00","0,00",1557814,5079
sampled.Mru_TinyLfuMulti,"80,80",1258770,299044,1557814,289044,"2,65",11495121408,"60,76","0,00","0,00",3870166,9185
sampled.Mru_TinyLfuBoost,"80,57",1255193,302621,1557814,292621,"6,55",11495121408,"61,82","0,00","0,00",3898782,9644
sampled.Mru_TinyLfu,"80,80",1258770,299044,1557814,289044,"2,65",11495121408,"60,76","0,00","0,00",3870166,9745
sampled.Mru_Threshold15,"76,89",1197747,360067,1557814,350067,"100,00",11495121408,"58,12","0,00","0,00",4358350,10433
sampled.Mru_Secondary,"76,89",1197747,360067,1557814,350067,"100,00",11495121408,"58,12","0,00","0,00",4358350,13916
sampled.Mru_Comparison,"71,97",1121087,436727,1557814,426727,"100,00",11495121408,"51,89","0,00","0,00",4971630,13640
sampled.Mru,"76,89",1197747,360067,1557814,350067,"100,00",11495121408,"58,12","0,00","0,00",4358350,10636
sampled.Mfu_TinyLfuMulti,"80,49",1253827,303987,1557814,293987,"2,01",11495121408,"60,54","0,00","0,00",3909710,9130
sampled.Mfu_TinyLfuBoost,"80,34",1251522,306292,1557814,296292,"7,64",11495121408,"61,65","0,00","0,00",3928150,9188
sampled.Mfu_TinyLfu,"80,49",1253827,303987,1557814,293987,"2,01",11495121408,"60,54","0,00","0,00",3909710,9632
sampled.Mfu_Threshold15,"78,06",1215981,341833,1557814,331833,"100,00",11495121408,"59,49","0,00","0,00",4212478,6582
sampled.Mfu_Secondary,"78,06",1215981,341833,1557814,331833,"100,00",11495121408,"59,49","0,00","0,00",4212478,7164
sampled.Mfu_Comparison,"71,97",1121087,436727,1557814,426727,"100,00",11495121408,"51,89","0,00","0,00",4971630,12881
sampled.Mfu,"78,06",1215981,341833,1557814,331833,"100,00",11495121408,"59,49","0,00","0,00",4212478,6565
sampled.Lru_TinyLfuMulti,"82,02",1277690,280124,1557814,270124,"8,16",11495121408,"61,86","0,00","0,00",3718806,9468
sampled.Lru_TinyLfuBoost,"82,08",1278625,279189,1557814,269189,"23,25",11495121408,"64,02","0,00","0,00",3711326,8309
sampled.Lru_TinyLfu,"82,02",1277690,280124,1557814,270124,"8,16",11495121408,"61,86","0,00","0,00",3718806,9022
