Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuMulti,"75,04",1524094,506821,2030915,486821,"7,15",24073370624,"40,93","0,00","0,00",2030915,20927
sampled.Random_TinyLfuBoost,"74,36",1510275,520640,2030915,500640,"25,16",24073370624,"42,83","0,00","0,00",2030915,19849
sampled.Random_TinyLfu,"75,04",1524094,506821,2030915,486821,"7,15",24073370624,"40,93","0,00","0,00",2030915,20687
sampled.Random_Threshold15,"74,28",1508578,522337,2030915,502337,"100,00",24073370624,"40,77","0,00","0,00",2030915,12468
sampled.Random_Secondary,"74,28",1508578,522337,2030915,502337,"100,00",24073370624,"40,77","0,00","0,00",2030915,12458
sampled.Random_Comparison,"67,36",1367996,662919,2030915,642919,"100,00",24073370624,"32,39","0,00","0,00",2030915,27891
sampled.Random,"74,28",1508578,522337,2030915,502337,"100,00",24073370624,"40,77","0,00","0,00",2030915,12486
sampled.Mru_TinyLfuMulti,"73,72",1497160,533755,2030915,513755,"2,43",24073370624,"39,25","0,00","0,00",6140955,22989
sampled.Mru_TinyLfuBoost,"72,73",1477085,553830,2030915,533830,"9,77",24073370624,"40,28","0,00","0,00",6301555,31750
sampled.Mru_TinyLfu,"73,72",1497160,533755,2030915,513755,"2,43",24073370624,"39,25","0,00","0,00",6140955,22995
sampled.Mru_Threshold15,"69,88",1419109,611806,2030915,591806,"100,00",24073370624,"35,89","0,00","0,00",6765363,24087
sampled.Mru_Secondary,"69,88",1419109,611806,2030915,591806,"100,00",24073370624,"35,89","0,00","0,00",6765363,24619
sampled.Mru_Comparison,"67,36",1367996,662919,2030915,642919,"100,00",24073370624,"32,39","0,00","0,00",7174267,27987
sampled.Mru,"69,88",1419109,611806,2030915,591806,"100,00",24073370624,"35,89","0,00","0,00",6765363,23789
sampled.Mfu_TinyLfuMulti,"73,32",1489035,541880,2030915,521880,"1,98",24073370624,"38,92","0,00","0,00",6205955,23130
sampled.Mfu_TinyLfuBoost,"72,56",1473731,557184,2030915,537184,"14,58",24073370624,"40,16","0,00","0,00",6328387,22083
sampled.Mfu_TinyLfu,"73,32",1489035,541880,2030915,521880,"1,98",24073370624,"38,92","0,00","0,00",6205955,23650
sampled.Mfu_Threshold15,"71,07",1443433,587482,2030915,567482,"100,00",24073370624,"37,97","0,00","0,00",6570771,16176
sampled.Mfu_Secondary,"71,07",1443433,587482,2030915,567482,"100,00",24073370624,"37,97","0,00","0,00",6570771,16433
sampled.Mfu_Comparison,"67,36",1367996,662919,2030915,642919,"100,00",24073370624,"32,39","0,00","0,00",7174267,28303
sampled.Mfu,"71,07",1443433,587482,2030915,567482,"100,00",24073370624,"37,97","0,00","0,00",6570771,17423
sampled.Lru_TinyLfuMulti,"75,18",1526828,504087,2030915,484087,"8,10",24073370624,"41,17","0,00","0,00",5903611,21535
sampled.Lru_TinyLfuBoost,"74,59",1514925,515990,2030915,495990,"27,76",24073370624,"43,26","0,00","0,00",5998835,19203
sampled.Lru_TinyLfu,"75,18",1526828,504087,2030915,484087,"8,10",24073370624,"41,17","0,00","0,00",5903611,21668
sampled.Lru_Threshold15,"75,63",1535909,495006,2030915,475006,"100,00",24073370624,"42,23","0,00","0,00",5830963,6948
sampled.Lru_Secondary,"75,63",1535909,495006,2030915,475006,"100,00",24073370624,"42,23","0,00","0,00",5830963,9612
sampled.Lru_Comparison,"67,36",1367996,662919,2030915,642919,"100,00",24073370624,"32,39","0,00","0,00",7174267,29068
sampled.Lru,"75,63",1535909,495006,2030915,475006,"100,00",24073370624,"42,23","0,00","0,00",5830963,9235
sampled.Lfu_TinyLfuMulti,"75,30",1529218,501697,2030915,481697,"7,82",24073370624,"41,15","0,00","0,00",5884491,21432
sampled.Lfu_TinyLfuBoost,"75,20",1527213,503702,2030915,483702,"20,07",24073370624,"43,19","0,00","0,00",5900531,21852
sampled.Lfu_TinyLfu,"75,30",1529218,501697,2030915,481697,"7,82",24073370624,"41,15","0,00","0,00",5884491,21518
sampled.Lfu_Threshold15,"76,47",1553123,477792,2030915,457792,"100,00",24073370624,"42,09","0,00","0,00",5693251,17888
