Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuMulti,"85,09",972853,170408,1143261,160408,"6,01",10627698688,"66,08","0,00","0,00",1143261,4647
sampled.Random_TinyLfuBoost,"84,76",968998,174263,1143261,164263,"16,78",10627698688,"67,70","0,00","0,00",1143261,4536
sampled.Random_TinyLfu,"85,09",972853,170408,1143261,160408,"6,01",10627698688,"66,08","0,00","0,00",1143261,6235
sampled.Random_Threshold15,"80,14",916158,227103,1143261,217103,"100,00",10627698688,"59,44","0,00","0,00",1143261,2605
sampled.Random_Secondary,"80,14",916158,227103,1143261,217103,"100,00",10627698688,"59,44","0,00","0,00",1143261,2582
sampled.Random_Comparison,"79,61",910156,233105,1143261,223105,"100,00",10627698688,"60,61","0,00","0,00",1143261,6542
sampled.Random,"80,14",916158,227103,1143261,217103,"100,00",10627698688,"59,44","0,00","0,00",1143261,2700
sampled.Mru_TinyLfuMulti,"83,24",951608,191653,1143261,181653,"2,44",10627698688,"63,26","0,00","0,00",2596485,6776
sampled.Mru_TinyLfuBoost,"82,62",944589,198672,1143261,188672,"4,66",10627698688,"65,36","0,00","0,00",2652637,5849
sampled.Mru_TinyLfu,"83,24",951608,191653,1143261,181653,"2,44",10627698688,"63,26","0,00","0,00",2596485,5582
sampled.Mru_Threshold15,"73,36",838732,304529,1143261,294529,"100,00",10627698688,"52,19","0,00","0,00",3499493,5460
sampled.Mru_Secondary,"73,36",838732,304529,1143261,294529,"100,00",10627698688,"52,19","0,00","0,00",3499493,6833
sampled.Mru_Comparison,"79,61",910156,233105,1143261,223105,"100,00",10627698688,"60,61","0,00","0,00",2928101,6979
sampled.Mru,"73,36",838732,304529,1143261,294529,"100,00",10627698688,"52,19","0,00","0,00",3499493,5325
sampled.Mfu_TinyLfuMulti,"82,22",940016,203245,1143261,193245,"1,80",10627698688,"62,02","0,00","0,00",2689221,6094
sampled.Mfu_TinyLfuBoost,"81,43",930917,212344,1143261,202344,"5,24",10627698688,"63,83","0,00","0,00",2762013,5992
sampled.Mfu_TinyLfu,"82,22",940016,203245,1143261,193245,"1,80",10627698688,"62,02","0,00","0,00",2689221,6274
sampled.Mfu_Threshold15,"75,06",858156,285105,1143261,275105,"100,00",10627698688,"54,51","0,00","0,00",3344101,3802
sampled.Mfu_Secondary,"75,06",858156,285105,1143261,275105,"100,00",10627698688,"54,51","0,00","0,00",3344101,5370
sampled.Mfu_Comparison,"79,61",910156,233105,1143261,223105,"100,00",10627698688,"60,61","0,00","0,00",2928101,7072
sampled.Mfu,"75,06",858156,285105,1143261,275105,"100,00",10627698688,"54,51","0,00","0,00",3344101,4026
sampled.Lru_TinyLfuMulti,"85,47",977130,166131,1143261,156131,"7,19",10627698688,"66,70","0,00","0,00",2392309,5395
sampled.Lru_TinyLfuBoost,"84,94",971084,172177,1143261,162177,"21,41",10627698688,"68,07","0,00","0,00",2440677,4386
sampled.Lru_TinyLfu,"85,47",977130,166131,1143261,156131,"7,19",10627698688,"66,70","0,00","0,00",2392309,4532
sampled.Lru_Threshold15,"82,92",947977,195284,1143261,185284,"100,00",10627698688,"62,57","0,00","0,00",2625533,1895
sampled.Lru_Secondary,"82,92",947977,195284,1143261,185284,"100,00",10627698688,"62,57","0,00","0,00",2625533,1944
sampled.Lru_Comparison,"79,61",910156,233105,1143261,223105,"100,00",10627698688,"60,61","0,00","0,00",2928101,6569
sampled.Lru,"82,92",947977,195284,1143261,185284,"100,00",10627698688,"62,57","0,00","0,00",2625533,1807
sampled.Lfu_TinyLfuMulti,"85,49",977393,165868,1143261,155868,"7,48",10627698688,"66,77","0,00","0,00",2390205,5941
sampled.Lfu_TinyLfuBoost,"85,26",974750,168511,1143261,158511,"20,57",10627698688,"68,45","0,00","0,00",2411349,4696
sampled.Lfu_TinyLfu,"85,49",977393,165868,1143261,155868,"7,48",10627698688,"66,77","0,00","0,00",2390205,5531
sampled.Lfu_Threshold15,"85,30",975206,168055,1143261,158055,"100,00",10627698688,"65,84","0,00","0,00",2407701,3123
sampled.Lfu_Secondary,"85,30",975206,168055,1143261,158055,"100,00",10627698688,"65,84","0,00","0,00",2407701,3098
sampled.Lfu_Comparison,"79,61",910156,233105,1143261,223105,"100,00",10627698688,"60,61","0,00","0,00",2928101,8119
sampled.Lfu,"85,30",975206,168055,1143261,158055,"100,00",10627698688,"65,84","0,00","0,00",2407701,2838
sampled.Hyperbolic_TinyLfuMulti,"85,51",977596,165665,1143261,155665,"7,56",10627698688,"66,76","0,00","0,00",2388581,4800
sampled.Hyperbolic_TinyLfuBoost,"85,24",974553,168708,1143261,158708,"21,23",10627698688,"68,47","0,00","0,00",2412925,4664
sampled.Hyperbolic_TinyLfu,"85,51",977596,165665,1143261,155665,"7,56",10627698688,"66,76","0,00","0,00",2388581,5136
sampled.Hyperbolic_Threshold15,"85,10",972886,170375,1143261,160375,"100,00",10627698688,"65,51","0,00","0,00",2426261,2823
sampled.Hyperbolic_Secondary,"85,10",972886,170375,1143261,160375,"100,00",10627698688,"65,51","0,00","0,00",2426261,3030
sampled.Hyperbolic_Comparison,"79,61",910156,233105,1143261,223105,"100,00",10627698688,"60,61","0,00","0,00",2928101,7044
sampled.Hyperbolic,"85,10",972886,170375,1143261,160375,"100,00",10627698688,"65,51","0,00","0,00",2426261,2999
sampled.Fifo_TinyLfuMulti,"83,97",959972,183289,1143261,173289,"3,08",10627698688,"64,23","0,00","0,00",2529573,5283
sampled.Fifo_TinyLfuBoost,"83,39",953420,189841,1143261,179841,"8,81",10627698688,"65,68","0,00","0,00",2581989,5273
sampled.Fifo_TinyLfu,"83,97",959972,183289,1143261,173289,"3,08",10627698688,"64,23","0,00","0,00",2529573,5327
sampled.Fifo_Threshold15,"79,91",913587,229674,1143261,219674,"100,00",10627698688,"59,10","0,00","0,00",2900653,1570
sampled.Fifo_Secondary,"79,91",913587,229674,1143261,219674,"100,00",10627698688,"59,10","0,00","0,00",2900653,1969
sampled.Fifo_Comparison,"79,61",910156,233105,1143261,223105,"100,00",10627698688,"60,61","0,00","0,00",2928101,6776
sampled.Fifo,"79,91",913587,229674,1143261,219674,"100,00",10627698688,"59,10","0,00","0,00",2900653,2047
product.Guava,"83,23",951563,191698,1143261,181698,"100,00",10627698688,"63,06","0,00","0,00",,1107
product.ElasticSearch,"83,21",951336,191925,1143261,181925,"100,00",10627698688,"63,01","0,00","0,00",,1680
product.Caffeine,"85,92",982303,160958,1143261,150958,"100,00",10627698688,"67,24","0,00","0,00",,2221
product.Cache2k,"86,23",985866,157395,1143261,147396,"100,00",10627698688,"67,88","0,00","0,00",,1882
