Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
linked.Clock_TinyLfuBoost,"78,30",1589374,440571,2029945,337470,"20,57",31163521536,"56,53","0,00","0,00",2173098,1260
product.Caffeine,"78,07",1584757,445188,2029945,345188,"100,00",31163521536,"56,85","0,00","0,00",,4771
sampled.Hyperbolic_TinyLfuBoost,"78,07",1582309,444535,2026844,344535,"11,45",30282869248,"56,57","0,00","0,00",4786225,108559
sampled.Hyperbolic_TinyLfuMulti,"78,07",1582309,444535,2026844,344535,"11,45",30282869248,"56,57","0,00","0,00",4786225,108558
sampled.Hyperbolic_TinyLfu,"78,07",1582309,444535,2026844,344535,"11,45",30282869248,"56,57","0,00","0,00",4786225,106077
sampled.Lru_TinyLfu,"78,04",1581758,445086,2026844,345086,"11,58",30282869248,"56,44","0,00","0,00",4790633,96504
sampled.Lru_TinyLfuBoost,"78,04",1581758,445086,2026844,345086,"11,58",30282869248,"56,44","0,00","0,00",4790633,109906
sampled.Lru_TinyLfuMulti,"78,04",1581758,445086,2026844,345086,"11,58",30282869248,"56,44","0,00","0,00",4790633,108991
sampled.Lfu_TinyLfuBoost,"78,04",1581692,445152,2026844,345152,"11,35",30282869248,"56,54","0,00","0,00",4791161,104528
sampled.Lfu_TinyLfu,"78,04",1581692,445152,2026844,345152,"11,35",30282869248,"56,54","0,00","0,00",4791161,109095
sampled.Lfu_TinyLfuMulti,"78,04",1581692,445152,2026844,345152,"11,35",30282869248,"56,54","0,00","0,00",4791161,113038
linked.Lfu_TinyLfu,"78,03",1584012,445933,2029945,342832,"9,95",31163521536,"55,07","0,00","0,00",2133046,1753
linked.Lfucostboost_TinyLfu,"78,03",1584012,445933,2029945,342832,"9,95",31163521536,"55,07","0,00","0,00",2133046,1975
linked.Lfu_TinyLfuBoost,"77,93",1581927,448018,2029945,344917,"17,43",31163521536,"55,98","0,00","0,00",2133046,1943
linked.Lfucostboost_TinyLfuBoost,"77,93",1581927,448018,2029945,344917,"17,43",31163521536,"55,98","0,00","0,00",2133046,1769
linked.Lru_TinyLfuBoost,"77,82",1579750,450195,2029945,347094,"17,31",31163521536,"56,34","0,00","0,00",2029945,2277
sampled.Random_TinyLfuMulti,"77,69",1574699,452145,2026844,352145,"7,70",30282869248,"55,98","0,00","0,00",2029945,101120
sampled.Random_TinyLfu,"77,69",1574699,452145,2026844,352145,"7,70",30282869248,"55,98","0,00","0,00",2029945,101072
sampled.Random_TinyLfuBoost,"77,69",1574699,452145,2026844,352145,"7,70",30282869248,"55,98","0,00","0,00",2029945,108861
sampled.Fifo_TinyLfu,"77,59",1572665,454179,2026844,354179,"4,74",30282869248,"56,07","0,00","0,00",4863377,105897
sampled.Fifo_TinyLfuMulti,"77,59",1572665,454179,2026844,354179,"4,74",30282869248,"56,07","0,00","0,00",4863377,106769
sampled.Fifo_TinyLfuBoost,"77,59",1572665,454179,2026844,354179,"4,74",30282869248,"56,07","0,00","0,00",4863377,105632
sampled.Mru_TinyLfuMulti,"77,11",1562967,463877,2026844,363877,"2,49",30282869248,"55,09","0,00","0,00",4940961,111379
sampled.Mru_TinyLfu,"77,11",1562967,463877,2026844,363877,"2,49",30282869248,"55,09","0,00","0,00",4940961,105760
sampled.Mru_TinyLfuBoost,"77,11",1562967,463877,2026844,363877,"2,49",30282869248,"55,09","0,00","0,00",4940961,115037
sampled.Mfu_TinyLfuMulti,"77,04",1561430,465414,2026844,365414,"1,41",30282869248,"55,14","0,00","0,00",4953257,118119
sampled.Mfu_TinyLfu,"77,04",1561430,465414,2026844,365414,"1,41",30282869248,"55,14","0,00","0,00",4953257,115876
sampled.Mfu_TinyLfuBoost,"77,04",1561430,465414,2026844,365414,"1,41",30282869248,"55,14","0,00","0,00",4953257,117405
linked.Clock_TinyLfu,"76,69",1556758,473187,2029945,370086,"6,95",31163521536,"54,45","0,00","0,00",2104344,1120
linked.Lfu_Secondary,"76,18",1546496,483449,2029945,380348,"25,09",31163521536,"48,89","0,00","0,00",2133046,1620
linked.Lfucostboost_Secondary,"76,18",1546496,483449,2029945,380348,"25,09",31163521536,"48,89","0,00","0,00",2133046,1537
linked.Mru_TinyLfu,"76,10",1544824,485121,2029945,382020,"0,61",31163521536,"53,86","0,00","0,00",2029945,1163
linked.Mru_TinyLfuBoost,"75,99",1542571,487374,2029945,384273,"1,19",31163521536,"54,00","0,00","0,00",2029945,1535
linked.Lfu_TinyLfuMulti,"75,99",1542547,487398,2029945,384297,"6,28",31163521536,"55,98","0,00","0,00",2133046,1658
linked.Lfucostboost_TinyLfuMulti,"75,99",1542547,487398,2029945,384297,"6,28",31163521536,"55,98","0,00","0,00",2133046,1691
linked.Clock_TinyLfuMulti,"75,96",1542006,487939,2029945,384838,"6,33",31163521536,"55,96","0,00","0,00",2109080,1429
linked.Mru_Secondary,"75,94",1541586,488359,2029945,385258,"0,93",31163521536,"53,32","0,00","0,00",2029945,1497
product.Cache2k,"75,94",1541446,488499,2029945,388500,"100,00",31163521536,"49,61","0,00","0,00",,5064
heap.One_Threshold15,"75,80",1538607,491338,2029945,388237,"100,00",31163521536,"53,79","0,00","0,00",2033046,36586
heap.One,"75,80",1538607,491338,2029945,388237,"100,00",31163521536,"53,79","0,00","0,00",2033046,31506
heap.None_Threshold15,"75,80",1538607,491338,2029945,388237,"100,00",31163521536,"53,79","0,00","0,00",2033046,1371
heap.None,"75,80",1538607,491338,2029945,388237,"100,00",31163521536,"53,79","0,00","0,00",2033046,923
linked.Lru_Threshold15,"75,62",1534993,494952,2029945,391851,"92,72",31163521536,"48,97","0,00","0,00",2029945,1258
linked.Lru_TinyLfuMulti,"75,60",1534624,495321,2029945,392220,"4,79",31163521536,"55,39","0,00","0,00",2029945,2052
linked.Lru_Secondary,"75,54",1533511,496434,2029945,393333,"1,29",31163521536,"53,57","0,00","0,00",2029945,1420
linked.Clock_Threshold15,"75,21",1526780,503165,2029945,400064,"93,32",31163521536,"47,88","0,00","0,00",2207489,1004
sampled.Lru,"75,20",1524160,502684,2026844,402684,"100,00",30282869248,"48,50","0,00","0,00",5251417,44570
sampled.Lru_Threshold15,"75,20",1524160,502684,2026844,402684,"100,00",30282869248,"48,50","0,00","0,00",5251417,42582
sampled.Lru_Secondary,"75,20",1524160,502684,2026844,402684,"100,00",30282869248,"48,50","0,00","0,00",5251417,41807
sampled.Hyperbolic_Secondary,"75,19",1523914,502930,2026844,402930,"100,00",30282869248,"46,83","0,00","0,00",5253385,87116
sampled.Hyperbolic,"75,19",1523914,502930,2026844,402930,"100,00",30282869248,"46,83","0,00","0,00",5253385,96146
sampled.Hyperbolic_Threshold15,"75,19",1523914,502930,2026844,402930,"100,00",30282869248,"46,83","0,00","0,00",5253385,92355
sampled.Lfu,"75,12",1522574,504270,2026844,404270,"100,00",30282869248,"46,68","0,00","0,00",5264105,93726
sampled.Lfu_Secondary,"75,12",1522574,504270,2026844,404270,"100,00",30282869248,"46,68","0,00","0,00",5264105,97921
sampled.Lfu_Threshold15,"75,12",1522574,504270,2026844,404270,"100,00",30282869248,"46,68","0,00","0,00",5264105,92469
linked.Clock,"74,90",1520468,509477,2029945,406376,"100,00",31163521536,"46,46","0,00","0,00",2200222,833
product.ElasticSearch,"74,85",1519324,510621,2029945,410621,"100,00",31163521536,"48,09","0,00","0,00",,5020
product.Guava,"74,83",1519108,510837,2029945,410837,"100,00",31163521536,"48,05","0,00","0,00",,3557
heap.Boost_Threshold15,"74,79",1518141,511804,2029945,408703,"100,00",31163521536,"53,63","0,00","0,00",2033046,427871
heap.Boost,"74,79",1518141,511804,2029945,408703,"100,00",31163521536,"53,63","0,00","0,00",2033046,338701
linked.Lru,"74,75",1517350,512595,2029945,409494,"100,00",31163521536,"46,00","0,00","0,00",2029945,981
heap.Skip,"74,58",1513897,516048,2029945,412947,"100,00",31163521536,"53,60","0,00","0,00",2033046,46927
linked.Lru_TinyLfu,"73,62",1494536,535409,2029945,432308,"0,48",31163521536,"53,19","0,00","0,00",2029945,1508
linked.Fifo_Threshold15,"73,56",1493281,536664,2029945,433563,"92,06",31163521536,"44,79","0,00","0,00",2029945,1397
heap.Skip_Threshold15,"73,36",1489221,540724,2029945,437623,"49,76",31163521536,"53,20","0,00","0,00",2033046,155606
