,Policy,Hit rate,Weighted hit rate,Percentage hit rate change,Percentage weighted hit rate change
129,heap.Boost,56.09,23.21,0.0,0.0
128,heap.Boost_Comparison,51.59,21.53,-8.02,-7.24
127,heap.Boost_Secondary,52.12,21.46,-7.08,-7.54
126,heap.Boost_Threshold15,54.59,22.65,-2.67,-2.41
125,heap.Boost_TinyLfu,52.43,21.56,-6.53,-7.11
124,heap.Boost_TinyLfuBoost,52.26,21.67,-6.83,-6.64
123,heap.Boost_TinyLfuMulti,51.59,21.63,-8.02,-6.81
122,heap.None,57.32,23.55,0.0,0.0
121,heap.None_Comparison,51.59,21.53,-10.0,-8.58
120,heap.None_Secondary,53.34,21.78,-6.94,-7.52
119,heap.None_Threshold15,56.89,23.29,-0.75,-1.1
118,heap.None_TinyLfu,52.69,21.64,-8.08,-8.11
117,heap.None_TinyLfuBoost,52.61,21.79,-8.22,-7.47
116,heap.None_TinyLfuMulti,51.59,21.63,-10.0,-8.15
115,heap.One,57.32,23.55,0.0,0.0
114,heap.One_Comparison,51.59,21.53,-10.0,-8.58
113,heap.One_Secondary,53.34,21.78,-6.94,-7.52
112,heap.One_Threshold15,56.89,23.29,-0.75,-1.1
111,heap.One_TinyLfu,52.69,21.64,-8.08,-8.11
110,heap.One_TinyLfuBoost,52.61,21.79,-8.22,-7.47
109,heap.One_TinyLfuMulti,51.59,21.63,-10.0,-8.15
108,heap.Skip,54.84,22.84,0.0,0.0
107,heap.Skip_Comparison,51.6,21.82,-5.91,-4.47
106,heap.Skip_Secondary,52.83,21.59,-3.67,-5.47
105,heap.Skip_Threshold15,54.35,22.6,-0.89,-1.05
104,heap.Skip_TinyLfu,52.7,21.64,-3.9,-5.25
103,heap.Skip_TinyLfuBoost,52.06,21.57,-5.07,-5.56
102,heap.Skip_TinyLfuMulti,51.71,22.05,-5.71,-3.46
101,linked.Clock,62.47,26.87,0.0,0.0
100,linked.Clock_Comparison,50.64,26.03,-18.94,-3.13
99,linked.Clock_Secondary,62.79,26.23,0.51,-2.38
98,linked.Clock_Threshold15,62.28,26.72,-0.3,-0.56
97,linked.Clock_TinyLfu,63.08,26.83,0.98,-0.15
96,linked.Clock_TinyLfuBoost,60.92,26.69,-2.48,-0.67
95,linked.Clock_TinyLfuMulti,55.79,28.02,-10.69,4.28
94,linked.Fifo,61.28,26.32,0.0,0.0
93,linked.Fifo_Comparison,31.01,17.85,-49.4,-32.18
92,linked.Fifo_Secondary,56.25,23.12,-8.21,-12.16
91,linked.Fifo_Threshold15,61.06,26.13,-0.36,-0.72
90,linked.Fifo_TinyLfu,51.37,21.04,-16.17,-20.06
89,linked.Fifo_TinyLfuBoost,52.84,22.78,-13.77,-13.45
88,linked.Fifo_TinyLfuMulti,50.66,25.01,-17.33,-4.98
87,linked.Lfu,61.8,27.17,0.0,0.0
86,linked.Lfu_Comparison,51.15,26.23,-17.23,-3.46
85,linked.Lfu_Secondary,62.26,26.49,0.74,-2.5
84,linked.Lfu_Threshold15,61.76,27.11,-0.06,-0.22
83,linked.Lfu_TinyLfu,61.31,26.14,-0.79,-3.79
82,linked.Lfu_TinyLfuBoost,61.41,27.44,-0.63,0.99
81,linked.Lfu_TinyLfuMulti,55.54,27.85,-10.13,2.5
80,linked.Lfucostboost,61.8,27.17,0.0,0.0
79,linked.Lfucostboost_Comparison,51.15,26.23,-17.23,-3.46
78,linked.Lfucostboost_Secondary,62.26,26.49,0.74,-2.5
77,linked.Lfucostboost_Threshold15,61.76,27.11,-0.06,-0.22
76,linked.Lfucostboost_TinyLfu,61.31,26.14,-0.79,-3.79
75,linked.Lfucostboost_TinyLfuBoost,61.41,27.44,-0.63,0.99
74,linked.Lfucostboost_TinyLfuMulti,55.54,27.85,-10.13,2.5
73,linked.Lru,62.22,26.67,0.0,0.0
72,linked.Lru_Comparison,48.57,25.46,-21.94,-4.54
71,linked.Lru_Secondary,62.54,26.45,0.51,-0.82
70,linked.Lru_Threshold15,62.0,26.48,-0.35,-0.71
69,linked.Lru_TinyLfu,62.71,26.48,0.79,-0.71
68,linked.Lru_TinyLfuBoost,60.57,26.31,-2.65,-1.35
67,linked.Lru_TinyLfuMulti,57.02,28.39,-8.36,6.45
66,linked.Mfu,35.28,16.07,0.0,0.0
65,linked.Mfu_Comparison,4.05,5.11,-88.52,-68.2
64,linked.Mfu_Secondary,31.68,13.96,-10.2,-13.13
