Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuMulti,"46,04",934662,1095283,2029945,1085283,"6,92",31163521536,"27,98","0,00","0,00",2029945,40817
sampled.Random_TinyLfuBoost,"60,65",1231069,798876,2029945,788876,"29,49",31163521536,"26,97","0,00","0,00",2029945,26739
sampled.Random_TinyLfu,"62,66",1271892,758053,2029945,748053,"6,69",31163521536,"26,56","0,00","0,00",2029945,28319
sampled.Random_Threshold15,"60,63",1230749,799196,2029945,789196,"86,76",31163521536,"25,96","0,00","0,00",2029945,19191
sampled.Random_Secondary,"62,34",1265474,764471,2029945,754471,"11,94",31163521536,"27,20","0,00","0,00",2029945,28191
sampled.Random_Comparison,"3,99",81044,1948901,2029945,1938901,"0,73",31163521536,"9,75","0,00","0,00",2029945,73042
sampled.Random,"61,00",1238264,791681,2029945,781681,"100,00",31163521536,"26,19","0,00","0,00",2029945,16713
sampled.Mru_TinyLfuMulti,"41,39",840249,1189696,2029945,1179696,"3,78",31163521536,"25,53","0,00","0,00",11467513,48130
sampled.Mru_TinyLfuBoost,"59,25",1202837,827108,2029945,817108,"12,01",31163521536,"26,41","0,00","0,00",8566809,35818
sampled.Mru_TinyLfu,"61,30",1244450,785495,2029945,775495,"2,78",31163521536,"25,44","0,00","0,00",8233905,30939
sampled.Mru_Threshold15,"56,69",1150776,879169,2029945,869169,"85,40",31163521536,"24,18","0,00","0,00",8983297,32503
sampled.Mru_Secondary,"61,11",1240575,789370,2029945,779370,"4,81",31163521536,"26,11","0,00","0,00",8264905,31719
sampled.Mru_Comparison,"7,34",149075,1880870,2029945,1870870,"0,83",31163521536,"10,96","0,00","0,00",16996905,74148
sampled.Mru,"57,10",1159020,870925,2029945,860925,"100,00",31163521536,"24,39","0,00","0,00",8917345,30554
sampled.Mfu_TinyLfuMulti,"42,98",872377,1157568,2029945,1147568,"5,34",31163521536,"26,15","0,00","0,00",11210489,43330
sampled.Mfu_TinyLfuBoost,"59,26",1202846,827099,2029945,817099,"18,45",31163521536,"26,33","0,00","0,00",8566737,31641
sampled.Mfu_TinyLfu,"60,69",1232037,797908,2029945,787908,"2,61",31163521536,"25,25","0,00","0,00",8333209,32450
sampled.Mfu_Threshold15,"57,96",1176503,853442,2029945,843442,"86,11",31163521536,"24,90","0,00","0,00",8777481,23410
sampled.Mfu_Secondary,"60,47",1227556,802389,2029945,792389,"4,44",31163521536,"25,91","0,00","0,00",8369057,32698
sampled.Mfu_Comparison,"3,84",77967,1951978,2029945,1941978,"0,75",31163521536,"9,05","0,00","0,00",17565769,76543
sampled.Mfu,"58,44",1186327,843618,2029945,833618,"100,00",31163521536,"25,14","0,00","0,00",8698889,19548
sampled.Lru_TinyLfuMulti,"51,05",1036208,993737,2029945,983737,"7,49",31163521536,"27,50","0,00","0,00",9899841,39237
sampled.Lru_TinyLfuBoost,"60,70",1232209,797736,2029945,787736,"31,67",31163521536,"26,85","0,00","0,00",8331833,26540
sampled.Lru_TinyLfu,"62,67",1272164,757781,2029945,747781,"7,11",31163521536,"26,55","0,00","0,00",8012193,30745
sampled.Lru_Threshold15,"61,94",1257437,772508,2029945,762508,"88,94",31163521536,"26,53","0,00","0,00",8130009,13388
sampled.Lru_Secondary,"62,13",1261154,768791,2029945,758791,"11,47",31163521536,"26,82","0,00","0,00",8100273,29463
sampled.Lru_Comparison,"41,60",844544,1185401,2029945,1175401,"1,11",31163521536,"24,56","0,00","0,00",11433153,40597
sampled.Lru,"62,22",1263040,766905,2029945,756905,"100,00",31163521536,"26,75","0,00","0,00",8085185,10080
sampled.Lfu_TinyLfuMulti,"57,49",1167065,862880,2029945,852880,"6,47",31163521536,"30,11","0,00","0,00",8852985,36186
sampled.Lfu_TinyLfuBoost,"62,36",1265941,764004,2029945,754004,"21,94",31163521536,"27,89","0,00","0,00",8061977,33726
sampled.Lfu_TinyLfu,"63,14",1281698,748247,2029945,738247,"6,22",31163521536,"26,85","0,00","0,00",7935921,32733
sampled.Lfu_Threshold15,"63,86",1296369,733576,2029945,723576,"95,85",31163521536,"27,31","0,00","0,00",7818553,25575
sampled.Lfu_Secondary,"62,99",1278595,751350,2029945,741350,"11,44",31163521536,"27,60","0,00","0,00",7960745,31321
sampled.Lfu_Comparison,"51,08",1036921,993024,2029945,983024,"1,13",31163521536,"26,95","0,00","0,00",9894137,40567
sampled.Lfu,"63,89",1297017,732928,2029945,722928,"100,00",31163521536,"27,40","0,00","0,00",7813369,24625
sampled.Hyperbolic_TinyLfuMulti,"57,54",1167949,861996,2029945,851996,"6,68",31163521536,"30,16","0,00","0,00",8845913,35233
sampled.Hyperbolic_TinyLfuBoost,"62,25",1263717,766228,2029945,756228,"23,24",31163521536,"27,68","0,00","0,00",8079769,30672
sampled.Hyperbolic_TinyLfu,"63,10",1280907,749038,2029945,739038,"6,59",31163521536,"26,84","0,00","0,00",7942249,31616
sampled.Hyperbolic_Threshold15,"63,53",1289588,740357,2029945,730357,"95,88",31163521536,"27,05","0,00","0,00",7872801,27260
sampled.Hyperbolic_Secondary,"62,93",1277498,752447,2029945,742447,"12,16",31163521536,"27,52","0,00","0,00",7969521,31303
sampled.Hyperbolic_Comparison,"51,21",1039550,990395,2029945,980395,"1,12",31163521536,"27,05","0,00","0,00",9873105,39140
sampled.Hyperbolic,"63,59",1290858,739087,2029945,729087,"100,00",31163521536,"27,10","0,00","0,00",7862641,24963
sampled.Fifo_TinyLfuMulti,"51,48",1045076,984869,2029945,974869,"6,51",31163521536,"28,27","0,00","0,00",9828897,38705
sampled.Fifo_TinyLfuBoost,"60,24",1222918,807027,2029945,797027,"26,65",31163521536,"26,32","0,00","0,00",8406161,27268
sampled.Fifo_TinyLfu,"62,08",1260172,769773,2029945,759773,"4,47",31163521536,"26,55","0,00","0,00",8108129,30509
sampled.Fifo_Threshold15,"61,03",1238785,791160,2029945,781160,"89,05",31163521536,"26,13","0,00","0,00",8279225,12991
sampled.Fifo_Secondary,"61,61",1250638,779307,2029945,769307,"7,20",31163521536,"26,78","0,00","0,00",8184401,30716
sampled.Fifo_Comparison,"17,17",348610,1681335,2029945,1671335,"0,73",31163521536,"17,62","0,00","0,00",15400625,68655
sampled.Fifo,"61,32",1244752,785193,2029945,775193,"100,00",31163521536,"26,38","0,00","0,00",8231489,8344
product.Guava,"62,21",1262912,767033,2029945,757033,"100,00",31163521536,"26,68","0,00","0,00",,5921
product.ElasticSearch,"62,22",1262991,766954,2029945,756954,"100,00",31163521536,"26,67","0,00","0,00",,7155
product.Caffeine,"63,90",1297192,732753,2029945,722753,"100,00",31163521536,"27,32","0,00","0,00",,7640
product.Cache2k,"64,29",1305109,724836,2029945,714837,"100,00",31163521536,"27,51","0,00","0,00",,7084
linked.Mru_TinyLfuMulti,"17,49",355045,1674900,2029945,1664900,"1,20",31163521536,"15,99","0,00","0,00",2029945,2511
linked.Mru_TinyLfuBoost,"55,57",1128076,901869,2029945,891869,"1,46",31163521536,"25,00","0,00","0,00",2029945,1737
linked.Mru_TinyLfu,"57,44",1165916,864029,2029945,854029,"0,86",31163521536,"23,80","0,00","0,00",2029945,1295
linked.Mru_Threshold15,"8,10",164425,1865520,2029945,1855520,"85,05",31163521536,"5,38","0,00","0,00",2029945,2377
linked.Mru_Secondary,"56,31",1143023,886922,2029945,876922,"1,23",31163521536,"24,28","0,00","0,00",2029945,1483
linked.Mru_Comparison,"4,02",81675,1948270,2029945,1938270,"12,25",31163521536,"5,89","0,00","0,00",2029945,1436
linked.Mru,"8,27",167962,1861983,2029945,1851983,"100,00",31163521536,"5,34","0,00","0,00",2029945,1386
linked.Mfu_TinyLfuMulti,"7,48",151767,1878178,2029945,1868178,"0,09",31163521536,"8,07","0,00","0,00",2039945,2588
linked.Mfu_TinyLfuBoost,"40,30",817979,1211966,2029945,1201966,"0,17",31163521536,"17,65","0,00","0,00",2039945,1849
linked.Mfu_TinyLfu,"42,10",854700,1175245,2029945,1165245,"0,02",31163521536,"16,80","0,00","0,00",2039945,1783
