Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
linked.Lfucostboost_TinyLfu,"85,13",1728105,301840,2029945,201840,"12,02",2029945,"85,13","0,00","0,00",2129945,1513
linked.Lfucostboost_TinyLfuBoost,"85,13",1728105,301840,2029945,201840,"12,02",2029945,"85,13","0,00","0,00",2129945,1441
linked.Lfu_TinyLfuMulti,"85,13",1728105,301840,2029945,201840,"12,02",2029945,"85,13","0,00","0,00",2129945,1326
linked.Lfu_TinyLfu,"85,13",1728105,301840,2029945,201840,"12,02",2029945,"85,13","0,00","0,00",2129945,1411
linked.Lfucostboost_Secondary,"85,13",1728105,301840,2029945,201840,"12,02",2029945,"85,13","0,00","0,00",2129945,1216
linked.Lfucostboost_TinyLfuMulti,"85,13",1728105,301840,2029945,201840,"12,02",2029945,"85,13","0,00","0,00",2129945,1338
linked.Lfu_Secondary,"85,13",1728105,301840,2029945,201840,"12,02",2029945,"85,13","0,00","0,00",2129945,1309
linked.Lfu_TinyLfuBoost,"85,13",1728105,301840,2029945,201840,"12,02",2029945,"85,13","0,00","0,00",2129945,1251
sampled.Hyperbolic_TinyLfuMulti,"85,03",1725987,303958,2029945,203958,"11,76",2029945,"85,03","0,00","0,00",3661609,52001
sampled.Hyperbolic_TinyLfuBoost,"85,03",1725987,303958,2029945,203958,"11,76",2029945,"85,03","0,00","0,00",3661609,57051
sampled.Hyperbolic_TinyLfu,"85,03",1725987,303958,2029945,203958,"11,76",2029945,"85,03","0,00","0,00",3661609,59791
sampled.Lfu_TinyLfu,"85,00",1725531,304414,2029945,204414,"11,74",2029945,"85,00","0,00","0,00",3665257,54575
sampled.Lfu_TinyLfuMulti,"85,00",1725531,304414,2029945,204414,"11,74",2029945,"85,00","0,00","0,00",3665257,57378
sampled.Lfu_TinyLfuBoost,"85,00",1725531,304414,2029945,204414,"11,74",2029945,"85,00","0,00","0,00",3665257,54875
sampled.Lru_TinyLfuBoost,"84,82",1721714,308231,2029945,208231,"12,04",2029945,"84,82","0,00","0,00",3695793,52494
sampled.Lru_TinyLfu,"84,82",1721714,308231,2029945,208231,"12,04",2029945,"84,82","0,00","0,00",3695793,51484
sampled.Lru_TinyLfuMulti,"84,82",1721714,308231,2029945,208231,"12,04",2029945,"84,82","0,00","0,00",3695793,57158
linked.Clock_TinyLfu,"84,62",1717680,312265,2029945,212265,"10,57",2029945,"84,62","0,00","0,00",2107629,978
linked.Clock_TinyLfuBoost,"84,62",1717680,312265,2029945,212265,"10,57",2029945,"84,62","0,00","0,00",2107629,950
linked.Clock_Secondary,"84,62",1717680,312265,2029945,212265,"10,57",2029945,"84,62","0,00","0,00",2107629,942
linked.Clock_TinyLfuMulti,"84,62",1717680,312265,2029945,212265,"10,57",2029945,"84,62","0,00","0,00",2107629,1125
product.Caffeine,"84,52",1715672,314273,2029945,214273,"100,00",2029945,"84,52","0,00","0,00",,2995
sampled.Random_TinyLfuBoost,"84,29",1711038,318907,2029945,218907,"7,95",2029945,"84,29","0,00","0,00",2029945,56283
sampled.Random_TinyLfuMulti,"84,29",1711038,318907,2029945,218907,"7,95",2029945,"84,29","0,00","0,00",2029945,55093
sampled.Random_TinyLfu,"84,29",1711038,318907,2029945,218907,"7,95",2029945,"84,29","0,00","0,00",2029945,54397
sampled.Fifo_TinyLfuBoost,"83,91",1703404,326541,2029945,226541,"5,12",2029945,"83,91","0,00","0,00",3842273,57508
sampled.Fifo_TinyLfu,"83,91",1703404,326541,2029945,226541,"5,12",2029945,"83,91","0,00","0,00",3842273,56314
sampled.Fifo_TinyLfuMulti,"83,91",1703404,326541,2029945,226541,"5,12",2029945,"83,91","0,00","0,00",3842273,60006
linked.Lfu,"83,77",1700497,329448,2029945,229448,"100,00",2029945,"83,77","0,00","0,00",2129945,1039
linked.Lfu_Threshold15,"83,77",1700497,329448,2029945,229448,"100,00",2029945,"83,77","0,00","0,00",2129945,1015
linked.Lfucostboost,"83,77",1700497,329448,2029945,229448,"100,00",2029945,"83,77","0,00","0,00",2129945,939
linked.Lfucostboost_Threshold15,"83,77",1700497,329448,2029945,229448,"100,00",2029945,"83,77","0,00","0,00",2129945,1130
product.Cache2k,"83,72",1699445,330500,2029945,230501,"100,00",2029945,"83,72","0,00","0,00",,3416
sampled.Mru_TinyLfuMulti,"83,40",1692957,336988,2029945,236988,"3,38",2029945,"83,40","0,00","0,00",3925849,59857
sampled.Mru_TinyLfu,"83,40",1692957,336988,2029945,236988,"3,38",2029945,"83,40","0,00","0,00",3925849,65801
sampled.Mru_TinyLfuBoost,"83,40",1692957,336988,2029945,236988,"3,38",2029945,"83,40","0,00","0,00",3925849,61866
sampled.Mfu_TinyLfuMulti,"83,20",1688856,341089,2029945,241089,"1,96",2029945,"83,20","0,00","0,00",3958657,62572
sampled.Mfu_TinyLfuBoost,"83,20",1688856,341089,2029945,241089,"1,96",2029945,"83,20","0,00","0,00",3958657,62611
sampled.Mfu_TinyLfu,"83,20",1688856,341089,2029945,241089,"1,96",2029945,"83,20","0,00","0,00",3958657,63314
sampled.Hyperbolic_Threshold15,"82,81",1680896,349049,2029945,249049,"100,00",2029945,"82,81","0,00","0,00",4022337,55177
sampled.Hyperbolic,"82,81",1680896,349049,2029945,249049,"100,00",2029945,"82,81","0,00","0,00",4022337,47366
sampled.Hyperbolic_Secondary,"82,81",1680896,349049,2029945,249049,"100,00",2029945,"82,81","0,00","0,00",4022337,50971
linked.Clock,"82,75",1679812,350133,2029945,250133,"100,00",2029945,"82,75","0,00","0,00",2144779,610
linked.Clock_Threshold15,"82,75",1679812,350133,2029945,250133,"100,00",2029945,"82,75","0,00","0,00",2144779,1047
sampled.Lfu_Secondary,"82,73",1679303,350642,2029945,250642,"100,00",2029945,"82,73","0,00","0,00",4035081,48015
sampled.Lfu_Threshold15,"82,73",1679303,350642,2029945,250642,"100,00",2029945,"82,73","0,00","0,00",4035081,46565
sampled.Lfu,"82,73",1679303,350642,2029945,250642,"100,00",2029945,"82,73","0,00","0,00",4035081,50816
linked.Lru,"82,65",1677651,352294,2029945,252294,"100,00",2029945,"82,65","0,00","0,00",2029945,1039
product.ElasticSearch,"82,65",1677651,352294,2029945,252294,"100,00",2029945,"82,65","0,00","0,00",,3641
