Policy,Hit rate,Hits,Misses,Requests,Evictions,Admit rate,Requests weight,Weighted hit rate,Average miss penalty,Average penalty,Steps,Time
sampled.Random_TinyLfuMulti,"55,59",2545234,2033585,4578819,1533585,"12,59",138024592,"49,28","0,00","0,00",4578819,2384906
sampled.Random_TinyLfuBoost,"55,59",2545234,2033585,4578819,1533585,"12,59",138024592,"49,28","0,00","0,00",4578819,2398703
sampled.Random_TinyLfu,"55,59",2545234,2033585,4578819,1533585,"12,59",138024592,"49,28","0,00","0,00",4578819,2324168
sampled.Random_Threshold15,"45,81",2097413,2481406,4578819,1981406,"100,00",138024592,"41,28","0,00","0,00",4578819,1753340
sampled.Random_Secondary,"45,81",2097413,2481406,4578819,1981406,"100,00",138024592,"41,28","0,00","0,00",4578819,1801324
sampled.Random_Comparison,"52,12",2386514,2192305,4578819,1692305,"100,00",138024592,"46,29","0,00","0,00",4578819,2395958
sampled.Random,"45,81",2097413,2481406,4578819,1981406,"100,00",138024592,"41,28","0,00","0,00",4578819,1720837
sampled.Mru_TinyLfuMulti,"53,17",2434486,2144333,4578819,1644333,"4,75",138024592,"46,98","0,00","0,00",17733483,2354065
sampled.Mru_TinyLfuBoost,"53,17",2434486,2144333,4578819,1644333,"4,75",138024592,"46,98","0,00","0,00",17733483,2372444
sampled.Mru_TinyLfu,"53,17",2434486,2144333,4578819,1644333,"4,75",138024592,"46,98","0,00","0,00",17733483,2485625
sampled.Mru_Threshold15,"37,30",1707958,2870861,4578819,2370861,"100,00",138024592,"34,92","0,00","0,00",23545707,3045185
sampled.Mru_Secondary,"37,30",1707958,2870861,4578819,2370861,"100,00",138024592,"34,92","0,00","0,00",23545707,2823094
sampled.Mru_Comparison,"52,12",2386514,2192305,4578819,1692305,"100,00",138024592,"46,29","0,00","0,00",18117259,2410081
sampled.Mru,"37,30",1707958,2870861,4578819,2370861,"100,00",138024592,"34,92","0,00","0,00",23545707,3051574
sampled.Mfu_TinyLfuMulti,"52,42",2400283,2178536,4578819,1678536,"1,32",138024592,"46,42","0,00","0,00",18007107,2519670
sampled.Mfu_TinyLfuBoost,"52,42",2400283,2178536,4578819,1678536,"1,32",138024592,"46,42","0,00","0,00",18007107,2414595
sampled.Mfu_TinyLfu,"52,42",2400283,2178536,4578819,1678536,"1,32",138024592,"46,42","0,00","0,00",18007107,2361683
sampled.Mfu_Threshold15,"38,49",1762466,2816353,4578819,2316353,"100,00",138024592,"35,76","0,00","0,00",23109643,1968062
sampled.Mfu_Secondary,"38,49",1762466,2816353,4578819,2316353,"100,00",138024592,"35,76","0,00","0,00",23109643,1957805
sampled.Mfu_Comparison,"52,12",2386514,2192305,4578819,1692305,"100,00",138024592,"46,29","0,00","0,00",18117259,2706783
sampled.Mfu,"38,49",1762466,2816353,4578819,2316353,"100,00",138024592,"35,76","0,00","0,00",23109643,2150266
sampled.Lru_TinyLfuMulti,"56,99",2609502,1969317,4578819,1469317,"18,42",138024592,"50,66","0,00","0,00",16333355,2064793
sampled.Lru_TinyLfuBoost,"56,99",2609502,1969317,4578819,1469317,"18,42",138024592,"50,66","0,00","0,00",16333355,2034163
sampled.Lru_TinyLfu,"56,99",2609502,1969317,4578819,1469317,"18,42",138024592,"50,66","0,00","0,00",16333355,2011374
sampled.Lru_Threshold15,"50,50",2312415,2266404,4578819,1766404,"100,00",138024592,"44,73","0,00","0,00",18710051,1220074
sampled.Lru_Secondary,"50,50",2312415,2266404,4578819,1766404,"100,00",138024592,"44,73","0,00","0,00",18710051,1307795
sampled.Lru_Comparison,"52,12",2386514,2192305,4578819,1692305,"100,00",138024592,"46,29","0,00","0,00",18117259,2422007
sampled.Lru,"50,50",2312415,2266404,4578819,1766404,"100,00",138024592,"44,73","0,00","0,00",18710051,1265889
sampled.Lfu_TinyLfuMulti,"56,85",2602987,1975832,4578819,1475832,"18,26",138024592,"50,49","0,00","0,00",16385475,2088616
sampled.Lfu_TinyLfuBoost,"56,85",2602987,1975832,4578819,1475832,"18,26",138024592,"50,49","0,00","0,00",16385475,2049681
sampled.Lfu_TinyLfu,"56,85",2602987,1975832,4578819,1475832,"18,26",138024592,"50,49","0,00","0,00",16385475,2021822
sampled.Lfu_Threshold15,"54,30",2486256,2092563,4578819,1592563,"100,00",138024592,"47,83","0,00","0,00",17319323,1825277
sampled.Lfu_Secondary,"54,30",2486256,2092563,4578819,1592563,"100,00",138024592,"47,83","0,00","0,00",17319323,1874903
