,Policy,Weighted Hit Rate
0,linked.Clock,"17,68"
1,linked.Clock_ThresholdAdmittor,"9,31"
2,linked.Clock_TinyLfu,"20,41"
3,linked.Clock_TinyLfuCostMulti,"10,16"
4,linked.Clock_TinyLfuEqCost,"9,73"
5,linked.Fifo,"15,66"
6,linked.Fifo_ThresholdAdmittor,"2,61"
7,linked.Fifo_TinyLfu,"11,55"
8,linked.Fifo_TinyLfuCostMulti,"8,96"
9,linked.Fifo_TinyLfuEqCost,"8,32"
10,linked.Lfu,"19,96"
11,linked.Lfu_ThresholdAdmittor,"8,78"
12,linked.Lfu_TinyLfu,"18,27"
13,linked.Lfu_TinyLfuCostMulti,"14,32"
14,linked.Lfu_TinyLfuEqCost,"13,92"
15,linked.Lru,"17,63"
16,linked.Lru_ThresholdAdmittor,"2,50"
17,linked.Lru_TinyLfu,"20,45"
18,linked.Lru_TinyLfuCostMulti,"9,63"
19,linked.Lru_TinyLfuEqCost,"8,34"
20,linked.Mfu,"15,07"
21,linked.Mfu_ThresholdAdmittor,"0,02"
22,linked.Mfu_TinyLfu,"11,58"
23,linked.Mfu_TinyLfuCostMulti,"0,38"
24,linked.Mfu_TinyLfuEqCost,"0,36"
25,linked.Mru,"7,86"
26,linked.Mru_ThresholdAdmittor,"0,34"
27,linked.Mru_TinyLfu,"14,03"
28,linked.Mru_TinyLfuCostMulti,"1,16"
29,linked.Mru_TinyLfuEqCost,"1,08"
30,product.Cache2k,"22,91"
31,product.Caffeine,"21,17"
32,product.ElasticSearch,"17,63"
33,product.Guava,"19,16"
34,sampled.Fifo,"15,68"
35,sampled.Fifo_ThresholdAdmittor,"11,58"
36,sampled.Fifo_TinyLfu,"17,74"
37,sampled.Fifo_TinyLfuCostMulti,"17,74"
38,sampled.Fifo_TinyLfuEqCost,"17,74"
39,sampled.Hyperbolic,"18,17"
40,sampled.Hyperbolic_ThresholdAdmittor,"11,58"
41,sampled.Hyperbolic_TinyLfu,"19,69"
42,sampled.Hyperbolic_TinyLfuCostMulti,"19,69"
43,sampled.Hyperbolic_TinyLfuEqCost,"19,69"
44,sampled.Lfu,"20,78"
45,sampled.Lfu_ThresholdAdmittor,"11,58"
46,sampled.Lfu_TinyLfu,"19,69"
47,sampled.Lfu_TinyLfuCostMulti,"19,69"
48,sampled.Lfu_TinyLfuEqCost,"19,69"
49,sampled.Lru,"17,59"
50,sampled.Lru_ThresholdAdmittor,"11,58"
51,sampled.Lru_TinyLfu,"20,52"
52,sampled.Lru_TinyLfuCostMulti,"20,52"
53,sampled.Lru_TinyLfuEqCost,"20,52"
54,sampled.Mfu,"13,81"
55,sampled.Mfu_ThresholdAdmittor,"11,58"
56,sampled.Mfu_TinyLfu,"19,18"
57,sampled.Mfu_TinyLfuCostMulti,"19,18"
58,sampled.Mfu_TinyLfuEqCost,"19,18"
59,sampled.Mru,"8,35"
60,sampled.Mru_ThresholdAdmittor,"11,58"
61,sampled.Mru_TinyLfu,"14,85"
62,sampled.Mru_TinyLfuCostMulti,"14,85"
63,sampled.Mru_TinyLfuEqCost,"14,85"
64,sampled.Random,"15,07"
65,sampled.Random_ThresholdAdmittor,"11,58"
66,sampled.Random_TinyLfu,"18,23"
67,sampled.Random_TinyLfuCostMulti,"18,23"
68,sampled.Random_TinyLfuEqCost,"18,23"
